lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.4929793,13.6500465,100.4929793,13.6500465,0,45.97,46.11,28:46.1,0,0
100.4929793,13.6500465,100.4929793,13.6500465,0,46.11,46.25,28:46.2,0,0
100.4929793,13.6500465,100.4929793,13.6500465,0,46.25,46.39,28:46.4,0,0
100.4929793,13.6500465,100.4929793,13.6500465,0,46.39,46.54,28:46.5,0,0
100.4929795,13.65004683,100.4929793,13.6500465,0.04,46.54,46.68,28:46.7,0.285714286,1.028571429
100.4929798,13.65004767,100.4929795,13.65004683,0.1,46.68,46.82,28:46.8,0.714285714,2.571428571
100.4929803,13.65004867,100.4929798,13.65004767,0.12,46.82,46.97,28:47.0,0.8,2.88
100.4929808,13.65005017,100.4929803,13.65004867,0.18,46.97,47.11,28:47.1,1.285714286,4.628571429
100.4929813,13.65005217,100.4929808,13.65005017,0.23,47.11,47.25,28:47.3,1.642857143,5.914285714
100.4929818,13.65005433,100.4929813,13.65005217,0.25,47.25,47.4,28:47.4,1.666666667,6
100.4929823,13.65005667,100.4929818,13.65005433,0.27,47.4,47.54,28:47.5,1.928571429,6.942857143
100.4929827,13.65005933,100.4929823,13.65005667,0.3,47.54,47.68,28:47.7,2.142857143,7.714285714
100.492983,13.65006217,100.4929827,13.65005933,0.32,47.68,47.82,28:47.8,2.285714286,8.228571429
100.4929833,13.650065,100.492983,13.65006217,0.32,47.82,47.97,28:48.0,2.133333333,7.68
100.4929837,13.650068,100.4929833,13.650065,0.34,47.97,48.11,28:48.1,2.428571429,8.742857143
100.4929838,13.65007133,100.4929837,13.650068,0.37,48.11,48.25,28:48.3,2.642857143,9.514285714
100.4929843,13.65007467,100.4929838,13.65007133,0.37,48.25,48.4,28:48.4,2.466666667,8.88
100.4929843,13.650078,100.4929843,13.65007467,0.37,48.4,48.54,28:48.5,2.642857143,9.514285714
100.4929845,13.6500815,100.4929843,13.650078,0.39,48.54,48.68,28:48.7,2.785714286,10.02857143
100.4929843,13.65008533,100.4929845,13.6500815,0.43,48.68,48.83,28:48.8,2.866666667,10.32
100.492984,13.650089,100.4929843,13.65008533,0.41,48.83,48.97,28:49.0,2.928571429,10.54285714
100.4929838,13.65009267,100.492984,13.650089,0.41,48.97,49.11,28:49.1,2.928571429,10.54285714
100.492984,13.6500965,100.4929838,13.65009267,0.43,49.11,49.25,28:49.3,3.071428571,11.05714286
100.4929838,13.6501,100.492984,13.6500965,0.39,49.25,49.4,28:49.4,2.6,9.36
100.4929837,13.650104,100.4929838,13.6501,0.45,49.4,49.54,28:49.5,3.214285714,11.57142857
100.4929837,13.650108,100.4929837,13.650104,0.44,49.54,49.68,28:49.7,3.142857143,11.31428571
100.4929837,13.65011217,100.4929837,13.650108,0.46,49.68,49.83,28:49.8,3.066666667,11.04
100.4929837,13.65011633,100.4929837,13.65011217,0.46,49.83,49.97,28:50.0,3.285714286,11.82857143
100.4929835,13.6501205,100.4929837,13.65011633,0.46,49.97,50.11,28:50.1,3.285714286,11.82857143
100.4929833,13.65012467,100.4929835,13.6501205,0.46,50.11,50.26,28:50.3,3.066666667,11.04
100.4929832,13.65012917,100.4929833,13.65012467,0.5,50.26,50.4,28:50.4,3.571428571,12.85714286
