lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.492995,13.650272,100.492995,13.650272,0,37.68,37.82,40:37.8,0,0
100.492995,13.650272,100.492995,13.650272,0,37.82,37.96,40:38.0,0,0
100.492995,13.650272,100.492995,13.650272,0,37.96,38.1,40:38.1,0,0
100.4929952,13.650272,100.492995,13.650272,0.02,38.1,38.25,40:38.3,0.133333333,0.48
100.4929952,13.65027217,100.4929952,13.650272,0.02,38.25,38.39,40:38.4,0.142857143,0.514285714
100.4929952,13.65027233,100.4929952,13.65027217,0.02,38.39,38.53,40:38.5,0.142857143,0.514285714
100.4929953,13.650273,100.4929952,13.65027233,0.08,38.53,38.68,40:38.7,0.533333333,1.92
100.4929953,13.650274,100.4929953,13.650273,0.11,38.68,38.82,40:38.8,0.785714286,2.828571429
100.4929955,13.65027533,100.4929953,13.650274,0.15,38.82,38.96,40:39.0,1.071428571,3.857142857
100.4929955,13.65027717,100.4929955,13.65027533,0.2,38.96,39.11,40:39.1,1.333333333,4.8
100.4929955,13.650279,100.4929955,13.65027717,0.2,39.11,39.25,40:39.2,1.428571429,5.142857143
100.4929957,13.65028083,100.4929955,13.650279,0.2,39.25,39.39,40:39.4,1.428571429,5.142857143
100.4929957,13.65028283,100.4929957,13.65028083,0.22,39.39,39.53,40:39.5,1.571428571,5.657142857
100.4929955,13.65028483,100.4929957,13.65028283,0.22,39.53,39.68,40:39.7,1.466666667,5.28
100.4929955,13.65028683,100.4929955,13.65028483,0.22,39.68,39.82,40:39.8,1.571428571,5.657142857
100.4929953,13.65028883,100.4929955,13.65028683,0.22,39.82,39.96,40:40.0,1.571428571,5.657142857
100.4929952,13.650291,100.4929953,13.65028883,0.24,39.96,40.11,40:40.1,1.6,5.76
100.4929952,13.65029333,100.4929952,13.650291,0.26,40.11,40.25,40:40.3,1.857142857,6.685714286
100.4929952,13.6502955,100.4929952,13.65029333,0.24,40.25,40.39,40:40.4,1.714285714,6.171428571
100.4929952,13.6502975,100.4929952,13.6502955,0.22,40.39,40.54,40:40.5,1.466666667,5.28
100.492995,13.6502995,100.4929952,13.6502975,0.22,40.54,40.68,40:40.7,1.571428571,5.657142857
100.492995,13.65030167,100.492995,13.6502995,0.24,40.68,40.82,40:40.8,1.714285714,6.171428571
100.492995,13.65030383,100.492995,13.65030167,0.24,40.82,40.96,40:41.0,1.714285714,6.171428571
100.492995,13.650306,100.492995,13.65030383,0.24,40.96,41.11,40:41.1,1.6,5.76
100.4929948,13.650308,100.492995,13.650306,0.22,41.11,41.25,40:41.3,1.571428571,5.657142857
100.4929947,13.65031017,100.4929948,13.650308,0.24,41.25,41.39,40:41.4,1.714285714,6.171428571
100.4929945,13.65031233,100.4929947,13.65031017,0.24,41.39,41.54,40:41.5,1.6,5.76
100.4929943,13.65031433,100.4929945,13.65031233,0.22,41.54,41.68,40:41.7,1.571428571,5.657142857
100.4929942,13.6503165,100.4929943,13.65031433,0.24,41.68,41.82,40:41.8,1.714285714,6.171428571
100.4929938,13.65031867,100.4929942,13.6503165,0.24,41.82,41.97,40:42.0,1.6,5.76
100.4929937,13.65032067,100.4929938,13.65031867,0.22,41.97,42.11,40:42.1,1.571428571,5.657142857
100.4929933,13.65032267,100.4929937,13.65032067,0.23,42.11,42.25,40:42.3,1.642857143,5.914285714
100.492993,13.65032483,100.4929933,13.65032267,0.24,42.25,42.39,40:42.4,1.714285714,6.171428571
100.4929928,13.65032683,100.492993,13.65032483,0.22,42.39,42.54,40:42.5,1.466666667,5.28
100.4929927,13.650329,100.4929928,13.65032683,0.24,42.54,42.68,40:42.7,1.714285714,6.171428571
100.4929927,13.65033117,100.4929927,13.650329,0.24,42.68,42.82,40:42.8,1.714285714,6.171428571
100.4929925,13.65033317,100.4929927,13.65033117,0.22,42.82,42.97,40:43.0,1.466666667,5.28
100.4929927,13.6503355,100.4929925,13.65033317,0.26,42.97,43.11,40:43.1,1.857142857,6.685714286
100.4929927,13.65033767,100.4929927,13.6503355,0.24,43.11,43.25,40:43.3,1.714285714,6.171428571
100.4929927,13.65033967,100.4929927,13.65033767,0.22,43.25,43.4,40:43.4,1.466666667,5.28
100.4929927,13.65034183,100.4929927,13.65033967,0.24,43.4,43.54,40:43.5,1.714285714,6.171428571
100.4929925,13.650344,100.4929927,13.65034183,0.24,43.54,43.68,40:43.7,1.714285714,6.171428571
100.4929923,13.65034617,100.4929925,13.650344,0.24,43.68,43.82,40:43.8,1.714285714,6.171428571
100.4929922,13.65034817,100.4929923,13.65034617,0.22,43.82,43.97,40:44.0,1.466666667,5.28
100.4929922,13.65035033,100.4929922,13.65034817,0.24,43.97,44.11,40:44.1,1.714285714,6.171428571
100.4929922,13.6503525,100.4929922,13.65035033,0.24,44.11,44.25,40:44.2,1.714285714,6.171428571
100.492992,13.6503545,100.4929922,13.6503525,0.22,44.25,44.4,40:44.4,1.466666667,5.28
100.492992,13.65035667,100.492992,13.6503545,0.24,44.4,44.54,40:44.5,1.714285714,6.171428571
100.492992,13.65035867,100.492992,13.65035667,0.22,44.54,44.68,40:44.7,1.571428571,5.657142857
100.4929918,13.650361,100.492992,13.65035867,0.26,44.68,44.83,40:44.8,1.733333333,6.24
100.4929918,13.650363,100.4929918,13.650361,0.22,44.83,44.97,40:45.0,1.571428571,5.657142857
100.4929917,13.65036517,100.4929918,13.650363,0.24,44.97,45.11,40:45.1,1.714285714,6.171428571
100.4929917,13.65036733,100.4929917,13.65036517,0.24,45.11,45.25,40:45.3,1.714285714,6.171428571
100.4929915,13.6503695,100.4929917,13.65036733,0.24,45.25,45.4,40:45.4,1.6,5.76
