time_operate,speed_kmhr_raw,speed_kmhr_filter
0.16,0.91,0.55
0.32,0.58,0.57
0.48,0.41,0.57
0.64,1.29,0.61
0.8,0.91,0.65
0.96,1.47,0.7
1.12,1.29,0.75
1.28,1.29,0.82
1.44,1.16,0.86
1.6,0.91,0.86
1.76,1.29,0.87
1.92,1.29,0.9
2.08,0.91,0.93
2.24,1.29,0.98
2.4,1.67,1.02
2.56,1.67,1.07
2.72,2.05,1.07
2.88,2.19,1.12
3.04,2.05,1.14
3.2,2.38,1.2
3.36,2.95,1.28
3.52,2.62,1.37
3.68,2.73,1.48
3.84,2.91,1.54
4.0,3.2,1.65
4.16,2.62,1.73
4.32,3.2,1.83
4.48,3.2,1.94
4.64,2.95,2.07
4.8,3.52,2.22
4.96,2.95,2.32
5.12,2.95,2.43
5.28,3.29,2.57
5.44,3.85,2.73
5.6,3.29,2.81
5.76,3.52,2.91
5.92,3.52,2.98
6.08,3.29,3.04
6.24,3.52,3.12
6.4,3.52,3.17
6.56,3.52,3.2
6.72,3.29,3.23
6.88,4.09,3.3
7.04,3.52,3.34
7.2,3.52,3.35
7.36,3.85,3.41
7.52,3.52,3.43
7.68,3.65,3.45
7.84,3.85,3.5
8.0,3.85,3.51
8.16,3.85,3.56
8.32,3.85,3.61
8.48,3.85,3.63
8.64,3.52,3.62
8.8,4.09,3.66
8.96,3.85,3.67
9.12,4.09,3.7
9.28,4.09,3.74
9.44,4.42,3.79
9.6,4.09,3.82
9.76,4.09,3.84
9.92,4.2,3.89
10.08,4.42,3.91
10.24,4.09,3.94
10.4,4.42,3.98
10.56,4.2,4.0
10.72,4.2,4.03
10.88,3.85,4.04
11.04,4.42,4.07
11.2,4.2,4.09
11.36,4.2,4.1
11.52,4.2,4.12
11.68,4.2,4.14
11.84,4.42,4.18
12.0,3.85,4.17
12.16,4.2,4.19
12.32,4.2,4.19
12.48,4.2,4.2
12.64,4.2,4.19
12.8,4.42,4.21
12.96,3.65,4.18
13.12,4.2,4.18
13.28,4.09,4.17
13.44,3.85,4.16
13.6,4.56,4.16
13.76,3.85,4.15
13.92,4.38,4.15
14.08,4.01,4.16
14.24,4.38,4.16
14.4,4.01,4.14
14.56,4.2,4.14
14.72,4.2,4.14
14.88,4.01,4.13
15.04,4.2,4.12
15.2,4.2,4.14
15.36,4.01,4.13
15.52,4.2,4.13
15.68,4.01,4.12
15.84,4.56,4.14
16.0,4.01,4.12
16.16,4.2,4.15
16.32,4.2,4.15
16.48,4.38,4.16
16.64,4.2,4.18
16.8,4.38,4.17
16.96,4.76,4.22
17.12,4.2,4.21
17.28,4.56,4.24
17.44,16.57,3.85
17.6,4.42,3.88
17.76,4.2,3.88
17.92,4.92,3.91
18.08,4.01,3.91
18.24,4.38,3.91
18.4,4.67,3.94
18.56,4.42,3.96
18.72,4.76,3.99
18.88,4.38,4.01
19.04,4.92,4.02
19.2,4.56,4.05
19.36,4.56,4.07
19.52,4.76,4.1
19.68,4.42,4.11
19.84,4.42,4.12
20.0,4.42,4.13
20.16,4.42,4.12
20.32,4.42,4.13
20.48,4.76,4.15
20.64,4.76,4.52
20.8,4.67,4.53
20.96,4.67,4.55
21.12,4.2,4.51
21.28,4.67,4.55
21.44,4.42,4.55
21.6,4.42,4.54
21.76,4.65,4.55
21.92,4.07,4.51
22.08,4.76,4.53
22.24,4.76,4.52
22.4,5.96,4.58
22.56,4.65,4.58
22.72,4.76,4.58
22.88,4.36,4.58
23.04,4.38,4.57
23.2,4.38,4.57
23.36,4.42,4.57
