time_operate,raw_speed,raw_speed_filter,filter_speed,filter_speed_filter
0.16,0.0,0,0.82,0
0.32,0.41,0,0.7,0
0.48,0.41,0,0.64,0
0.64,0.91,0,0.51,0
0.8,0.58,0,0.39,0
0.96,0.0,0,0.34,0
1.12,0.42,0,0.26,0
1.28,0.41,0,0.18,0
1.44,0.0,0,0.12,0
1.6,0.41,0,0.09,0
1.76,0.58,0,0.07,0
1.92,2.19,0,0.16,0
2.08,1.67,0,0.21,0
2.24,2.05,0,0.29,0
2.4,1.47,0,0.35,0
2.56,2.38,0,0.44,0
2.72,2.05,0,0.52,0
2.88,2.05,0,0.61,0
3.04,2.62,0,0.75,0
3.2,2.57,0,0.89,0
3.36,2.62,1.29,1.02,0.43
3.52,2.62,1.4,1.16,0.45
3.68,2.91,1.53,1.29,0.48
3.84,2.73,1.62,1.47,0.53
4.0,2.91,1.73,1.64,0.59
4.16,2.95,1.88,1.79,0.67
4.32,2.91,2.01,1.94,0.75
4.48,3.52,2.16,2.13,0.85
4.64,3.29,2.33,2.3,0.96
4.8,2.91,2.45,2.42,1.07
4.96,3.2,2.58,2.55,1.2
5.12,3.52,2.65,2.62,1.32
5.28,3.2,2.72,2.71,1.44
5.44,3.52,2.8,2.78,1.57
5.6,3.52,2.9,2.88,1.7
5.76,3.52,2.96,2.94,1.82
5.92,3.52,3.03,3.01,1.94
6.08,3.52,3.1,3.09,2.07
6.24,3.52,3.15,3.13,2.19
6.4,3.52,3.2,3.19,2.3
6.56,3.52,3.24,3.23,2.41
6.72,3.52,3.29,3.28,2.52
6.88,3.52,3.32,3.31,2.62
7.04,3.78,3.37,3.36,2.71
7.2,3.85,3.42,3.41,2.8
7.36,3.52,3.45,3.44,2.89
7.52,4.09,3.5,3.5,2.96
7.68,3.2,3.49,3.48,3.03
7.84,3.65,3.51,3.5,3.09
8.0,3.85,3.55,3.55,3.15
8.16,3.85,3.59,3.58,3.2
8.32,4.09,3.61,3.61,3.25
8.48,4.07,3.66,3.65,3.3
8.64,3.78,3.67,3.66,3.34
8.8,3.78,3.68,3.68,3.38
8.96,3.85,3.7,3.69,3.42
9.12,4.09,3.73,3.72,3.45
9.28,3.85,3.75,3.74,3.49
9.44,3.52,3.75,3.74,3.52
9.6,4.09,3.77,3.77,3.54
9.76,3.52,3.77,3.77,3.57
9.92,4.42,3.82,3.81,3.6
10.08,3.85,3.84,3.83,3.62
10.24,3.85,3.84,3.83,3.65
10.4,3.85,3.84,3.83,3.67
10.56,3.85,3.86,3.85,3.69
10.72,4.2,3.86,3.85,3.71
10.88,4.01,3.9,3.89,3.73
11.04,3.85,3.91,3.9,3.75
11.2,3.85,3.91,3.9,3.76
11.36,3.85,3.91,3.9,3.78
11.52,3.85,3.9,3.89,3.79
11.68,3.65,3.88,3.87,3.81
11.84,3.52,3.87,3.86,3.82
12.0,4.2,3.89,3.88,3.83
12.16,3.85,3.89,3.88,3.84
12.32,4.2,3.89,3.89,3.84
12.48,3.52,3.88,3.87,3.85
12.64,4.01,3.9,3.89,3.86
12.8,3.52,3.87,3.87,3.86
12.96,4.09,3.9,3.89,3.87
13.12,3.65,3.86,3.86,3.87
13.28,3.78,3.86,3.85,3.87
13.44,4.38,3.88,3.87,3.87
13.6,3.85,3.88,3.87,3.88
13.76,3.85,3.88,3.87,3.88
13.92,3.85,3.87,3.86,3.88
14.08,3.85,3.86,3.85,3.88
14.24,3.52,3.84,3.83,3.87
14.4,3.85,3.84,3.83,3.87
14.56,3.78,3.84,3.83,3.87
14.72,4.01,3.85,3.83,3.86
14.88,4.09,3.87,3.85,3.86
15.04,4.09,3.9,3.88,3.86
15.2,3.85,3.88,3.87,3.86
15.36,3.78,3.88,3.86,3.86
15.52,3.78,3.86,3.84,3.86
15.68,4.42,3.9,3.88,3.86
15.84,4.09,3.9,3.89,3.86
16.0,4.09,3.93,3.92,3.86
16.16,4.09,3.93,3.92,3.86
16.32,4.09,3.95,3.94,3.87
16.48,4.36,3.98,3.97,3.87
16.64,4.36,3.98,3.97,3.88
16.8,3.78,3.98,3.97,3.88
16.96,4.2,4.0,3.99,3.89
17.12,3.52,3.98,3.97,3.89
17.28,4.09,3.99,3.98,3.9
17.44,4.42,4.04,4.03,3.91
17.6,4.2,4.05,4.04,3.92
17.76,4.09,4.07,4.06,3.93
17.92,3.65,4.05,4.04,3.94
18.08,4.76,4.09,4.08,3.96
18.24,3.85,4.07,4.06,3.96
18.4,4.42,4.1,4.09,3.98
18.56,4.42,4.13,4.13,3.99
18.72,1.49,4.02,4.01,4.0
18.88,2.19,3.91,3.89,4.0
19.04,3.65,3.89,3.87,4.0
19.2,3.52,3.86,3.84,3.99
19.36,3.85,3.85,3.83,3.99
19.52,4.2,3.85,3.83,3.98
19.68,4.2,3.84,3.83,3.98
19.84,4.09,3.83,3.81,3.97
