time_operate,raw_speed,raw_speed_filter,filter_speed,filter_speed_filter
0.16,0.0,0,0.08,0
0.32,0.58,0,0.12,0
0.48,0.0,0,0.12,0
0.64,0.41,0,0.18,0
0.8,0.0,0,0.18,0
0.96,0.0,0,0.18,0
1.12,0.0,0,0.08,0
1.28,0.58,0,0.08,0
1.44,0.0,0,0.12,0
1.6,0.0,0,0.12,0
1.76,0.0,0,0.12,0
1.92,0.0,0,0.12,0
2.08,0.0,0,0.0,0
2.24,0.0,0,0.0,0
2.4,0.42,0,0.08,0
2.56,0.83,0,0.25,0
2.72,1.67,0,0.58,0
2.88,2.08,0,1.0,0
3.04,2.08,0,1.42,0
3.2,2.5,0,1.83,0
3.36,2.95,0.71,2.25,0.44
3.52,2.92,0.82,2.5,0.56
3.68,3.34,0.99,2.75,0.69
3.84,3.34,1.14,3.0,0.83
4.0,3.36,1.3,3.17,0.98
4.16,3.75,1.49,3.34,1.14
4.32,3.77,1.68,3.51,1.31
4.48,4.17,1.86,3.67,1.49
4.64,3.77,2.05,3.75,1.67
4.8,4.59,2.28,4.0,1.87
4.96,4.17,2.49,4.09,2.07
5.12,4.17,2.69,4.17,2.27
5.28,4.17,2.9,4.17,2.48
5.44,4.6,3.13,4.34,2.69
5.6,4.59,3.34,4.34,2.91
5.76,4.6,3.53,4.42,3.12
5.92,4.6,3.68,4.5,3.31
6.08,5.0,3.82,4.67,3.49
6.24,4.59,3.95,4.67,3.66
6.4,5.02,4.07,4.75,3.8
6.56,5.02,4.18,4.84,3.93
6.72,5.0,4.28,4.92,4.05
6.88,4.6,4.34,4.84,4.16
7.04,5.02,4.43,4.93,4.25
7.2,5.0,4.51,4.93,4.34
7.36,5.42,4.59,5.01,4.43
7.52,5.02,4.66,5.01,4.5
7.68,5.02,4.7,5.09,4.57
7.84,5.44,4.78,5.18,4.64
8.0,5.0,4.8,5.18,4.7
8.16,5.02,4.84,5.1,4.75
8.32,5.44,4.91,5.18,4.8
8.48,5.02,4.95,5.18,4.85
8.64,5.44,4.99,5.18,4.9
8.8,5.42,5.03,5.26,4.94
8.96,5.02,5.06,5.26,4.98
9.12,5.42,5.1,5.26,5.02
9.28,5.02,5.1,5.26,5.05
9.44,5.42,5.14,5.26,5.08
9.6,5.44,5.16,5.26,5.11
9.76,5.0,5.16,5.26,5.13
9.92,5.42,5.18,5.26,5.14
10.08,5.44,5.22,5.34,5.17
10.24,5.42,5.24,5.34,5.19
10.4,5.0,5.24,5.25,5.21
10.56,5.42,5.24,5.34,5.22
10.72,5.44,5.26,5.34,5.24
10.88,5.42,5.28,5.34,5.25
11.04,5.0,5.26,5.25,5.26
11.2,5.42,5.28,5.34,5.26
11.36,5.42,5.3,5.34,5.28
11.52,5.42,5.3,5.34,5.28
11.68,5.42,5.32,5.34,5.29
11.84,5.44,5.32,5.42,5.3
12.0,5.84,5.34,5.5,5.32
12.16,5.85,5.38,5.59,5.33
12.32,5.44,5.38,5.59,5.35
12.48,5.42,5.4,5.59,5.36
12.64,5.84,5.43,5.67,5.39
12.8,5.44,5.43,5.59,5.4
12.96,5.42,5.45,5.51,5.41
13.12,5.84,5.47,5.59,5.43
13.28,5.42,5.47,5.59,5.44
13.44,6.25,5.51,5.67,5.46
13.6,5.85,5.55,5.75,5.48
13.76,5.42,5.55,5.75,5.51
13.92,5.44,5.55,5.67,5.52
14.08,5.85,5.57,5.76,5.54
14.24,5.84,5.61,5.68,5.56
14.4,5.84,5.63,5.67,5.58
14.56,5.84,5.66,5.76,5.6
14.72,5.85,5.68,5.84,5.63
14.88,5.84,5.7,5.84,5.65
15.04,6.25,5.74,5.92,5.68
15.2,5.85,5.74,5.92,5.7
15.36,5.84,5.74,5.92,5.71
15.52,5.84,5.76,5.92,5.73
15.68,6.27,5.8,6.01,5.75
15.84,5.84,5.8,5.92,5.76
16.0,5.84,5.82,5.92,5.78
16.16,5.84,5.84,5.92,5.8
16.32,5.84,5.84,5.92,5.82
16.48,5.84,5.86,5.84,5.83
16.64,5.84,5.84,5.84,5.84
16.8,6.25,5.86,5.92,5.85
16.96,5.84,5.88,5.92,5.86
17.12,5.85,5.9,5.92,5.87
17.28,5.84,5.9,5.92,5.88
17.44,5.44,5.88,5.84,5.88
17.6,5.85,5.88,5.76,5.89
17.76,5.84,5.88,5.76,5.89
17.92,5.84,5.88,5.76,5.88
18.08,5.85,5.88,5.76,5.88
18.24,5.84,5.86,5.84,5.88
18.4,5.84,5.86,5.84,5.87
18.56,5.84,5.86,5.84,5.87
18.72,5.42,5.84,5.75,5.86
18.88,5.84,5.82,5.75,5.85
19.04,5.84,5.82,5.75,5.84
19.2,5.85,5.82,5.75,5.83
19.36,5.84,5.82,5.75,5.82
19.52,5.84,5.82,5.84,5.82
19.68,5.84,5.82,5.84,5.82
19.84,5.84,5.82,5.84,5.82
20.0,5.84,5.8,5.84,5.81
20.16,5.84,5.8,5.84,5.81
20.32,5.85,5.8,5.84,5.81
