time_operate,raw_speed,filter_speed
0.16,0.0,0.02
0.32,0.0,0.02
0.48,0.0,0.02
0.64,0.0,0.02
0.8,0.0,0.0
0.96,0.42,0.02
1.12,0.0,0.03
1.28,0.42,0.02
1.44,0.0,0.02
1.6,0.42,0.03
1.76,0.83,0.03
1.92,0.83,0.07
2.08,1.67,0.15
2.24,2.12,0.25
2.4,2.5,0.38
2.56,2.53,0.5
2.72,2.95,0.65
2.88,2.92,0.79
3.04,2.5,0.92
3.2,3.36,1.08
3.36,2.92,1.23
3.52,2.95,1.38
3.68,3.03,1.52
3.84,3.36,1.69
4.0,2.92,1.83
4.16,3.36,2.02
4.32,2.95,2.17
4.48,3.36,2.31
4.64,2.92,2.46
4.8,2.92,2.63
4.96,3.34,2.75
5.12,2.92,2.86
5.28,3.34,2.94
5.44,2.95,2.98
5.6,3.03,3.0
5.76,2.92,3.02
5.92,3.36,3.04
6.08,2.95,3.04
6.24,3.34,3.09
6.4,2.95,3.06
6.56,3.34,3.09
6.72,2.95,3.09
6.88,3.77,3.13
7.04,2.92,3.11
7.2,3.43,3.13
7.36,3.34,3.13
7.52,2.53,3.11
7.68,2.95,3.09
7.84,3.36,3.11
8.0,3.34,3.13
8.16,3.75,3.15
8.32,3.36,3.17
8.48,3.34,3.17
8.64,3.36,3.19
8.8,3.34,3.21
8.96,3.34,3.23
9.12,2.95,3.21
9.28,2.92,3.21
9.44,3.34,3.21
9.6,3.75,3.25
9.76,2.92,3.23
9.92,3.34,3.25
10.08,2.92,3.21
10.24,3.34,3.23
10.4,2.92,3.21
10.56,3.36,3.21
10.72,3.34,3.25
10.88,2.95,3.25
11.04,3.36,3.25
11.2,3.34,3.25
11.36,3.36,3.23
11.52,3.34,3.23
11.68,3.34,3.23
11.84,2.92,3.21
12.0,2.95,3.19
12.16,3.34,3.19
12.32,3.36,3.21
12.48,2.92,3.21
12.64,3.36,3.21
12.8,3.34,3.19
12.96,2.92,3.19
13.12,2.92,3.17
13.28,3.34,3.19
13.44,3.34,3.19
13.6,2.92,3.19
13.76,3.34,3.19
13.92,2.95,3.17
14.08,3.34,3.19
14.24,3.36,3.19
14.4,2.95,3.17
14.56,2.95,3.15
14.72,2.92,3.13
14.88,2.92,3.11
15.04,3.34,3.13
15.2,2.92,3.13
15.36,2.92,3.11
15.52,3.36,3.11
15.68,2.92,3.11
15.84,3.36,3.11
16.0,2.92,3.09
16.16,3.77,3.13
16.32,2.92,3.13
16.48,3.34,3.13
16.64,2.92,3.11
16.8,2.95,3.11
16.96,2.95,3.09
17.12,3.34,3.11
17.28,3.03,3.09
17.44,2.95,3.07
17.6,3.75,3.11
17.76,2.95,3.11
17.92,2.95,3.11
18.08,3.34,3.13
18.24,3.43,3.13
18.4,3.34,3.15
18.56,2.95,3.16
18.72,2.92,3.13
18.88,3.75,3.18
19.04,2.92,3.15
19.2,3.34,3.17
19.36,2.92,3.13
19.52,3.36,3.15
19.68,3.34,3.15
19.84,2.92,3.15
20.0,3.34,3.17
20.16,2.95,3.18
20.32,3.34,3.18
20.48,2.92,3.17
20.64,3.36,3.19
20.8,2.95,3.15
20.96,3.34,3.17
21.12,3.34,3.19
21.28,2.92,3.17
21.44,2.95,3.15
21.6,2.95,3.13
21.76,3.36,3.15
21.92,2.92,3.15
22.08,2.95,3.11
22.24,3.36,3.13
22.4,2.92,3.11
22.56,3.36,3.13
22.72,2.92,3.11
22.88,2.92,3.09
