time_operate,raw_speed,filter_speed
0.16,0.0,0.86
0.32,0.0,0.79
0.48,0.0,0.73
0.64,0.0,0.65
0.8,0.0,0.56
0.96,0.0,0.48
1.12,0.0,0.4
1.28,0.0,0.31
1.44,0.0,0.25
1.6,0.0,0.19
1.76,0.0,0.13
1.92,0.0,0.06
2.08,0.0,0.02
2.24,0.0,0.0
2.4,0.0,0.0
2.56,0.0,0.0
2.72,0.0,0.0
2.88,0.0,0.0
3.04,0.42,0.02
3.2,0.83,0.06
3.36,1.25,0.13
3.52,1.72,0.21
3.68,1.31,0.27
3.84,1.67,0.35
4.0,2.08,0.46
4.16,1.67,0.54
4.32,2.08,0.65
4.48,1.67,0.73
4.64,1.67,0.81
4.8,2.08,0.92
4.96,1.67,1.0
5.12,2.08,1.1
5.28,2.12,1.21
5.44,1.67,1.29
5.6,2.08,1.4
5.76,2.08,1.5
5.92,2.08,1.61
6.08,2.08,1.71
6.24,2.08,1.79
6.4,1.67,1.83
6.56,1.72,1.86
6.72,1.67,1.86
6.88,2.08,1.9
7.04,1.72,1.9
7.2,1.67,1.88
7.36,1.67,1.88
7.52,2.08,1.88
7.68,1.72,1.88
7.84,1.72,1.88
8.0,2.08,1.88
8.16,1.72,1.88
8.32,2.08,1.88
8.48,2.08,1.88
8.64,1.67,1.88
8.8,2.08,1.88
8.96,1.67,1.86
9.12,2.08,1.86
9.28,2.08,1.86
9.44,1.67,1.83
9.6,1.67,1.83
9.76,1.67,1.83
9.92,1.67,1.83
10.08,1.67,1.81
10.24,1.67,1.81
10.4,1.67,1.81
10.56,1.67,1.81
10.72,2.12,1.81
10.88,1.67,1.81
11.04,2.08,1.83
11.2,1.67,1.81
11.36,2.08,1.83
11.52,1.67,1.81
11.68,2.08,1.81
11.84,2.08,1.83
12.0,2.08,1.83
12.16,1.72,1.83
12.32,2.08,1.83
12.48,2.08,1.83
12.64,1.72,1.83
12.8,2.08,1.86
12.96,1.67,1.86
13.12,2.08,1.88
13.28,2.12,1.9
13.44,1.72,1.9
13.6,2.12,1.92
13.76,1.72,1.92
13.92,2.08,1.92
14.08,1.67,1.92
14.24,2.12,1.92
14.4,2.08,1.94
14.56,1.67,1.92
14.72,1.67,1.92
14.88,2.12,1.92
15.04,1.67,1.9
15.2,2.12,1.9
15.36,1.67,1.9
15.52,1.67,1.88
15.68,2.08,1.88
15.84,2.12,1.9
16.0,2.08,1.9
16.16,1.67,1.9
16.32,1.67,1.88
16.48,2.08,1.88
16.64,1.67,1.88
16.8,2.08,1.88
16.96,1.67,1.88
17.12,1.72,1.86
17.28,2.08,1.88
17.44,1.67,1.86
17.6,1.67,1.84
17.76,1.67,1.84
17.92,1.72,1.84
18.08,1.67,1.81
18.24,1.72,1.81
18.4,2.08,1.82
18.56,1.67,1.82
18.72,1.67,1.82
18.88,1.72,1.8
19.04,2.08,1.79
19.2,1.72,1.77
19.36,2.12,1.79
19.52,1.67,1.79
19.68,2.12,1.8
19.84,2.08,1.82
20.0,1.72,1.8
20.16,1.67,1.8
20.32,2.08,1.82
20.48,1.67,1.8
20.64,1.67,1.8
20.8,2.12,1.82
20.96,1.67,1.82
21.12,1.67,1.82
21.28,1.67,1.82
21.44,1.67,1.82
21.6,2.08,1.82
21.76,1.67,1.82
21.92,1.67,1.82
22.08,2.12,1.84
22.24,1.67,1.82
22.4,2.08,1.84
22.56,2.08,1.84
22.72,1.67,1.84
22.88,1.67,1.82
23.04,1.72,1.8
23.2,2.08,1.82
23.36,1.67,1.82
23.52,1.67,1.79
23.68,2.08,1.82
23.84,1.72,1.82
24.0,1.67,1.79
24.16,1.67,1.79
24.32,1.72,1.8
24.48,2.12,1.81
24.64,1.72,1.82
24.8,1.67,1.79
24.96,2.12,1.82
25.12,1.67,1.82
25.28,1.67,1.79
25.44,2.08,1.82
25.6,1.72,1.8
25.76,1.67,1.78
25.92,2.12,1.8
26.08,1.67,1.8
26.24,1.67,1.8
26.4,2.12,1.8
26.56,1.67,1.8
26.72,2.08,1.82
26.88,1.67,1.8
27.04,2.12,1.82
27.2,2.08,1.84
27.36,2.12,1.86
27.52,1.72,1.86
27.68,2.08,1.86
27.84,1.72,1.86
28.0,1.67,1.86
28.16,2.12,1.86
28.32,2.08,1.88
28.48,1.72,1.89
28.64,1.67,1.86
28.8,1.72,1.86
28.96,2.08,1.89
29.12,1.72,1.86
29.28,2.08,1.89
29.44,1.72,1.89
29.6,2.08,1.89
29.76,1.72,1.89
29.92,2.08,1.89
30.08,1.72,1.89
30.24,2.08,1.89
30.4,1.67,1.87
30.56,2.12,1.87
30.72,1.67,1.86
30.88,2.12,1.87
31.04,1.67,1.86
31.2,1.72,1.87
31.36,2.12,1.87
31.52,1.67,1.85
31.68,1.67,1.84
31.84,1.67,1.84
32.0,2.12,1.86
32.16,1.72,1.85
32.32,1.67,1.84
32.48,1.72,1.83
32.64,1.67,1.82
32.8,2.12,1.83
32.96,1.67,1.82
33.12,1.72,1.8
33.28,2.08,1.82
33.44,1.72,1.8
33.6,1.67,1.8
33.76,1.67,1.78
33.92,1.72,1.78
34.08,2.08,1.78
34.24,1.72,1.78
34.4,1.72,1.78
34.56,1.67,1.76
34.72,2.08,1.78
34.88,1.72,1.78
35.04,1.72,1.79
35.2,2.08,1.78
35.36,1.72,1.78
35.52,1.67,1.78
35.68,2.12,1.8
35.84,1.72,1.81
36.0,1.72,1.79
36.16,1.72,1.79
36.32,1.67,1.79
36.48,1.72,1.77
36.64,1.72,1.77
36.8,2.12,1.79
36.96,1.67,1.79
37.12,2.12,1.81
37.28,1.72,1.79
37.44,1.67,1.79
37.6,1.72,1.79
37.76,2.12,1.82
37.92,1.72,1.8
38.08,2.12,1.82
38.24,1.72,1.82
38.4,1.72,1.8
38.56,2.12,1.82
38.72,1.72,1.83
38.88,1.25,1.78
39.04,1.67,1.78
39.2,1.72,1.78
39.36,2.12,1.8
39.52,1.67,1.8
39.68,1.67,1.79
39.84,1.72,1.79
40.0,1.67,1.77
40.16,2.08,1.79
40.32,1.72,1.77
40.48,2.08,1.79
40.64,1.67,1.79
40.8,1.72,1.79
40.96,2.12,1.78
41.12,1.67,1.78
41.28,1.67,1.76
41.44,2.08,1.78
41.6,1.67,1.78
41.76,2.12,1.77
41.92,1.67,1.77
42.08,2.12,1.81
42.24,2.08,1.84
42.4,1.67,1.83
42.56,2.08,1.83
42.72,1.72,1.83
42.88,2.12,1.86
43.04,1.72,1.86
43.2,1.67,1.86
43.36,2.12,1.86
43.52,2.12,1.88
43.68,1.72,1.86
43.84,1.72,1.86
44.0,2.08,1.89
44.16,1.72,1.87
44.32,2.12,1.89
44.48,1.72,1.89
44.64,2.12,1.89
44.8,2.08,1.92
44.96,1.85,1.9
45.12,2.12,1.92
45.28,2.08,1.92
45.44,1.72,1.9
45.6,2.12,1.92
45.76,1.72,1.91
45.92,2.12,1.93
46.08,1.85,1.91
46.24,1.72,1.91
46.4,2.12,1.94
46.56,1.85,1.92
46.72,1.72,1.9
46.88,1.72,1.9
47.04,2.12,1.92
47.2,2.24,1.93
47.36,1.72,1.93
47.52,2.12,1.93
47.68,1.72,1.93
47.84,2.12,1.93
48.0,1.85,1.92
48.16,2.12,1.93
48.32,1.67,1.91
48.48,2.12,1.91
48.64,1.72,1.91
48.8,2.12,1.91
48.96,1.72,1.91
49.12,2.12,1.91
49.28,1.72,1.91
49.44,2.12,1.93
49.6,1.72,1.91
49.76,2.12,1.92
49.92,2.08,1.94
50.08,1.72,1.94
50.24,2.12,1.94
50.4,1.72,1.92
50.56,2.12,1.94
50.72,2.08,1.93
50.88,2.12,1.95
51.04,2.12,1.95
51.2,2.08,1.97
51.36,2.12,1.97
51.52,1.72,1.97
51.68,2.08,1.97
51.84,1.67,1.96
52.0,2.12,1.96
52.16,2.12,1.98
52.32,1.72,1.96
52.48,1.67,1.95
52.64,2.08,1.95
52.8,2.08,1.97
52.96,1.72,1.95
53.12,1.67,1.93
53.28,2.08,1.95
53.44,1.72,1.92
53.6,2.12,1.94
53.76,1.67,1.92
53.92,1.67,1.9
54.08,2.08,1.9
54.24,1.67,1.88
54.4,1.72,1.86
54.56,2.08,1.86
54.72,1.67,1.86
54.88,1.72,1.84
55.04,1.67,1.84
55.2,2.08,1.84
55.36,1.72,1.81
55.52,1.67,1.82
55.68,2.12,1.84
55.84,1.67,1.82
56.0,1.67,1.8
56.16,2.08,1.82
56.32,1.67,1.82
56.48,1.67,1.8
56.64,1.72,1.8
56.8,1.67,1.78
56.96,2.08,1.8
57.12,1.67,1.8
57.28,2.08,1.8
57.44,1.72,1.8
57.6,2.12,1.82
57.76,2.08,1.82
