lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.4925638,13.64911717,100.4925638,13.64911717,0,46.41,46.55,02:46.6,0,0
100.4925638,13.64911717,100.4925638,13.64911717,0,46.55,46.69,02:46.7,0,0
100.4925638,13.64911717,100.4925638,13.64911717,0,46.69,46.84,02:46.8,0,0
100.492564,13.64911717,100.4925638,13.64911717,0.02,46.84,46.98,02:47.0,0.142857143,0.514285714
100.4925637,13.64911733,100.492564,13.64911717,0.04,46.98,47.12,02:47.1,0.285714286,1.028571429
100.4925633,13.6491175,100.4925637,13.64911733,0.04,47.12,47.26,02:47.3,0.285714286,1.028571429
100.4925628,13.64911783,100.4925633,13.6491175,0.07,47.26,47.41,02:47.4,0.466666667,1.68
100.4925623,13.64911817,100.4925628,13.64911783,0.07,47.41,47.55,02:47.6,0.5,1.8
100.4925617,13.64911883,100.4925623,13.64911817,0.1,47.55,47.69,02:47.7,0.714285714,2.571428571
100.492561,13.64911933,100.4925617,13.64911883,0.09,47.69,47.84,02:47.8,0.6,2.16
100.4925603,13.64911983,100.492561,13.64911933,0.09,47.84,47.98,02:48.0,0.642857143,2.314285714
100.4925595,13.6491205,100.4925603,13.64911983,0.12,47.98,48.12,02:48.1,0.857142857,3.085714286
100.4925585,13.649121,100.4925595,13.6491205,0.12,48.12,48.27,02:48.3,0.8,2.88
100.4925577,13.64912167,100.4925585,13.649121,0.12,48.27,48.41,02:48.4,0.857142857,3.085714286
100.4925567,13.64912233,100.4925577,13.64912167,0.13,48.41,48.55,02:48.6,0.928571429,3.342857143
100.4925558,13.649123,100.4925567,13.64912233,0.12,48.55,48.69,02:48.7,0.857142857,3.085714286
100.4925548,13.6491235,100.4925558,13.649123,0.12,48.69,48.84,02:48.8,0.8,2.88
100.4925538,13.64912417,100.4925548,13.6491235,0.13,48.84,48.98,02:49.0,0.928571429,3.342857143
100.4925528,13.64912483,100.4925538,13.64912417,0.13,48.98,49.12,02:49.1,0.928571429,3.342857143
100.4925518,13.6491255,100.4925528,13.64912483,0.13,49.12,49.27,02:49.3,0.866666667,3.12
100.4925508,13.64912617,100.4925518,13.6491255,0.13,49.27,49.41,02:49.4,0.928571429,3.342857143
100.4925497,13.64912683,100.4925508,13.64912617,0.15,49.41,49.55,02:49.6,1.071428571,3.857142857
100.4925487,13.6491275,100.4925497,13.64912683,0.13,49.55,49.7,02:49.7,0.866666667,3.12
100.4925475,13.64912817,100.4925487,13.6491275,0.15,49.7,49.84,02:49.8,1.071428571,3.857142857
100.4925463,13.649129,100.4925475,13.64912817,0.16,49.84,49.98,02:50.0,1.142857143,4.114285714
100.492545,13.64912983,100.4925463,13.649129,0.17,49.98,50.12,02:50.1,1.214285714,4.371428571
100.4925438,13.6491305,100.492545,13.64912983,0.15,50.12,50.27,02:50.3,1,3.6
100.4925427,13.64913133,100.4925438,13.6491305,0.16,50.27,50.41,02:50.4,1.142857143,4.114285714
100.4925415,13.64913217,100.4925427,13.64913133,0.16,50.41,50.55,02:50.6,1.142857143,4.114285714
100.4925403,13.64913283,100.4925415,13.64913217,0.15,50.55,50.7,02:50.7,1,3.6
100.4925392,13.6491335,100.4925403,13.64913283,0.15,50.7,50.84,02:50.8,1.071428571,3.857142857
