time_operate,raw_speed,raw_speed_filter,filter_speed,filter_speed_filter
0.16,0.0,0,0.09,0
0.32,0.42,0,0.06,0
0.48,0.0,0,0.06,0
0.64,0.0,0,0.06,0
0.8,0.0,0,0.05,0
0.96,0.0,0,0.05,0
1.12,0.42,0,0.04,0
1.28,0.0,0,0.03,0
1.44,0.0,0,0.04,0
1.6,0.0,0,0.04,0
1.76,0.0,0,0.04,0
1.92,0.0,0,0.05,0
2.08,0.42,0,0.05,0
2.24,0.58,0,0.04,0
2.4,0.0,0,0.06,0
2.56,0.0,0,0.07,0
2.72,0.41,0,0.09,0
2.88,1.29,0,0.15,0
3.04,2.43,0,0.25,0
3.2,4.07,0,0.44,0
3.36,5.33,0.77,0.69,0.12
3.52,5.81,1.04,0.97,0.16
3.68,7.0,1.39,1.32,0.23
3.84,7.8,1.78,1.71,0.31
4.0,8.11,2.18,2.11,0.41
4.16,9.0,2.63,2.56,0.54
4.32,8.95,3.06,3.01,0.69
4.48,9.87,3.55,3.5,0.86
4.64,10.21,4.06,4.01,1.06
4.8,10.21,4.57,4.52,1.28
4.96,10.67,5.11,5.06,1.53
5.12,10.74,5.65,5.59,1.81
5.28,11.14,6.18,6.15,2.12
5.44,11.47,6.73,6.71,2.45
5.6,11.47,7.3,7.28,2.81
5.76,11.93,7.9,7.88,3.2
5.92,11.93,8.47,8.45,3.62
6.08,12.27,9.02,9.01,4.06
6.24,12.22,9.51,9.5,4.52
6.4,12.81,9.95,9.94,5.0
6.56,12.67,10.31,10.31,5.48
6.72,12.59,10.65,10.64,5.96
6.88,13.53,10.98,10.97,6.45
7.04,13.07,11.24,11.24,6.92
7.2,13.93,11.53,11.53,7.39
7.36,13.03,11.74,11.73,7.85
7.52,13.53,11.96,11.96,8.3
7.68,13.8,12.16,12.15,8.73
7.84,13.43,12.32,12.31,9.15
8.0,14.24,12.52,12.51,9.55
8.16,14.21,12.7,12.69,9.93
8.32,14.24,12.88,12.86,10.29
8.48,14.28,13.03,13.02,10.63
8.64,14.21,13.17,13.16,10.96
8.8,14.61,13.33,13.31,11.26
8.96,14.61,13.46,13.45,11.54
9.12,14.59,13.59,13.58,11.79
9.28,14.21,13.69,13.68,12.03
9.44,15.42,13.85,13.84,12.24
9.6,15.0,13.96,13.95,12.44
9.76,15.02,14.08,14.07,12.63
9.92,15.02,14.2,14.19,12.81
10.08,15.4,14.29,14.28,12.98
10.24,15.02,14.39,14.38,13.13
10.4,15.94,14.49,14.48,13.28
10.56,15.85,14.63,14.62,13.42
10.72,15.4,14.72,14.72,13.56
