time_operate,raw_speed,filter_speed
0.16,0.00,0.02
0.32,0.41,0.00
0.48,0.00,0.00
0.64,0.00,0.00
0.80,0.00,0.00
0.96,0.41,0.02
1.12,0.00,0.02
1.28,0.00,0.02
1.44,0.00,0.02
1.60,0.00,0.02
1.76,0.00,0.02
1.92,0.00,0.02
2.08,0.00,0.02
2.24,0.00,0.02
2.40,0.42,0.03
2.56,0.83,0.07
2.72,0.83,0.11
2.88,0.83,0.15
3.04,0.83,0.19
3.20,0.83,0.23
3.36,0.93,0.27
3.52,1.25,0.34
3.68,0.83,0.38
3.84,0.83,0.42
4.00,1.31,0.48
4.16,0.83,0.52
4.32,0.83,0.56
4.48,1.25,0.63
4.64,0.83,0.67
4.80,1.25,0.73
4.96,0.83,0.77
5.12,0.83,0.81
5.28,0.83,0.85
5.44,0.58,0.88
5.60,1.25,0.92
5.76,0.83,0.92
5.92,0.83,0.92
6.08,0.83,0.92
6.24,0.83,0.92
6.40,1.25,0.94
6.56,0.83,0.94
6.72,1.25,0.94
6.88,0.83,0.94
7.04,0.83,0.94
7.20,0.83,0.92
7.36,1.25,0.94
7.52,0.83,0.94
7.68,1.25,0.94
7.84,1.25,0.96
8.00,0.83,0.94
8.16,0.83,0.94
8.32,0.93,0.94
8.48,1.25,0.96
8.64,0.83,0.98
8.80,1.31,0.98
8.96,0.83,0.98
9.12,0.83,0.98
9.28,1.25,1.00
9.44,1.25,1.00
9.60,0.83,0.98
9.76,0.83,0.98
9.92,1.31,0.98
10.08,0.83,0.98
10.24,0.83,0.98
10.40,0.83,0.98
10.56,0.93,0.96
10.72,0.83,0.96
10.88,0.83,0.94
11.04,0.93,0.92
11.20,0.83,0.92
11.36,0.93,0.92
11.52,0.83,0.92
11.68,1.31,0.92
11.84,0.83,0.92
12.00,0.83,0.90
12.16,0.83,0.90
12.32,0.83,0.90
12.48,1.31,0.90
12.64,0.83,0.90
12.80,1.25,0.92
12.96,0.83,0.92
13.12,0.83,0.90
13.28,0.83,0.90
13.44,0.83,0.90
13.60,1.25,0.92
13.76,0.83,0.92
13.92,0.83,0.92
14.08,0.83,0.92
14.24,0.93,0.92
14.40,0.93,0.92
14.56,1.25,0.94
14.72,0.93,0.94
14.88,0.83,0.92
15.04,0.83,0.92
15.20,0.83,0.92
15.36,0.93,0.92
15.52,0.83,0.92
15.68,0.93,0.90
15.84,0.42,0.88
16.00,0.83,0.86
16.16,0.83,0.86
16.32,0.83,0.86
16.48,0.83,0.86
16.64,0.83,0.86
16.80,0.83,0.83
16.96,0.83,0.83
17.12,0.93,0.83
17.28,0.83,0.83
17.44,0.93,0.83
17.60,0.83,0.83
17.76,0.83,0.81
17.92,0.93,0.81
18.08,0.42,0.79
18.24,0.83,0.79
18.40,0.42,0.77
18.56,0.83,0.77
18.72,0.83,0.77
18.88,0.83,0.77
19.04,0.83,0.79
19.20,0.83,0.79
19.36,0.83,0.79
19.52,1.25,0.81
19.68,0.83,0.81
19.84,0.83,0.81
20.00,1.25,0.83
20.16,0.83,0.83
20.32,0.83,0.83
20.48,1.25,0.85
20.64,0.83,0.86
20.80,0.83,0.86
20.96,0.83,0.86
21.12,0.83,0.85
21.28,0.58,0.86
21.44,0.83,0.86
21.60,0.83,0.88
21.76,0.42,0.86
21.92,0.83,0.86
22.08,0.83,0.86
22.24,0.93,0.86
22.40,0.83,0.86
22.56,0.83,0.86
22.72,0.83,0.83
22.88,0.83,0.83
23.04,0.83,0.83
23.20,0.93,0.82
23.36,0.83,0.82
23.52,0.83,0.82
23.68,0.83,0.79
23.84,0.83,0.79
24.00,0.83,0.79
24.16,0.83,0.79
24.32,0.83,0.79
24.48,1.31,0.83
24.64,0.93,0.83
24.80,0.83,0.83
24.96,0.93,0.86
25.12,0.83,0.86
25.28,0.93,0.86
25.44,0.93,0.86
25.60,0.83,0.86
25.76,0.83,0.86
25.92,0.83,0.86
26.08,0.83,0.86
26.24,0.83,0.86
26.40,0.83,0.86
26.56,0.83,0.86
26.72,0.83,0.86
26.88,0.93,0.85
27.04,0.93,0.86
27.20,0.83,0.86
27.36,0.83,0.86
27.52,0.83,0.86
27.68,0.42,0.81
27.84,0.83,0.81
28.00,0.83,0.81
28.16,0.83,0.81
28.32,0.93,0.81
28.48,0.83,0.81
28.64,0.83,0.81
28.80,0.93,0.81
28.96,0.93,0.81
29.12,0.83,0.81
29.28,0.83,0.81
29.44,0.83,0.81
29.60,1.25,0.83
29.76,0.83,0.83
29.92,0.93,0.83
30.08,0.83,0.84
30.24,1.25,0.86
30.40,0.93,0.86
30.56,0.93,0.86
30.72,1.25,0.88
30.88,0.93,0.90
31.04,0.83,0.90
31.20,1.25,0.92
31.36,0.42,0.90
31.52,1.31,0.92
31.68,0.83,0.92
31.84,0.83,0.92
32.00,1.25,0.94
32.16,0.83,0.94
32.32,0.83,0.94
32.48,0.83,0.94
32.64,0.83,0.94
32.80,0.83,0.92
32.96,0.93,0.92
33.12,0.83,0.92
33.28,0.42,0.90
33.44,0.93,0.88
33.60,0.83,0.88
33.76,0.83,0.88
33.92,0.83,0.86
34.08,0.83,0.86
34.24,1.25,0.88
34.40,0.83,0.86
