time_operate,raw_speed,raw_speed_filter,filter_speed,filter_speed_filter
0.16,0.58,0,0.71,0
0.32,0.42,0,0.62,0
0.48,0.42,0,0.56,0
0.64,0.58,0,0.53,0
0.8,0.58,0,0.49,0
0.96,0.42,0,0.47,0
1.12,0.42,0,0.47,0
1.28,0.42,0,0.45,0
1.44,0.42,0,0.45,0
1.6,0.41,0,0.43,0
1.76,0.83,0,0.44,0
1.92,0.58,0,0.44,0
2.08,0.42,0,0.44,0
2.24,0.42,0,0.44,0
2.4,0.41,0,0.44,0
2.56,0.42,0,0.44,0
2.72,0.42,0,0.43,0
2.88,22.61,0,1.53,0
3.04,0.41,0,1.51,0
3.2,0.81,0,1.52,0
3.36,1.22,0,1.53,0
3.52,1.62,1.69,1.56,0.74
3.68,1.62,1.75,1.6,0.79
3.84,2.03,1.83,1.64,0.84
4.0,2.43,1.92,1.7,0.9
4.16,2.03,2.0,1.77,0.96
4.32,2.87,2.12,1.84,1.03
4.48,2.47,2.22,1.94,1.1
4.64,2.84,2.34,2.05,1.18
4.8,2.84,2.46,2.15,1.27
4.96,2.84,2.57,2.26,1.36
5.12,2.84,2.68,2.36,1.46
5.28,2.87,2.8,2.47,1.56
5.44,3.27,2.94,2.62,1.67
5.6,3.65,3.11,2.78,1.79
5.76,3.24,3.25,2.92,1.91
5.92,3.65,3.41,3.09,2.04
6.08,3.27,2.44,2.43,2.09
6.24,3.67,2.6,2.59,2.14
6.4,3.67,2.75,2.74,2.2
6.56,3.65,2.87,2.86,2.27
6.72,4.07,2.99,2.98,2.34
6.88,3.65,3.09,3.08,2.41
7.04,4.07,3.19,3.18,2.49
7.2,4.05,3.28,3.26,2.57
7.36,3.65,3.36,3.34,2.65
7.52,4.07,3.42,3.4,2.72
7.68,3.67,3.48,3.46,2.8
7.84,4.05,3.54,3.53,2.87
8.0,4.07,3.6,3.59,2.95
8.16,4.05,3.66,3.65,3.02
8.32,4.46,3.74,3.73,3.08
8.48,4.48,3.82,3.81,3.15
8.64,4.46,3.88,3.87,3.21
8.8,4.05,3.9,3.89,3.27
8.96,4.07,3.94,3.93,3.32
9.12,4.46,3.98,3.97,3.36
9.28,4.46,4.04,4.03,3.44
9.44,4.05,4.06,4.05,3.52
9.6,4.48,4.1,4.09,3.58
9.76,4.46,4.14,4.13,3.65
9.92,4.07,4.14,4.13,3.71
10.08,4.46,4.18,4.17,3.76
10.24,4.48,4.2,4.19,3.81
10.4,4.05,4.2,4.19,3.86
10.56,4.48,4.24,4.24,3.9
10.72,4.05,4.24,4.24,3.94
10.88,4.48,4.28,4.28,3.99
11.04,4.48,4.3,4.3,4.02
11.2,4.46,4.32,4.32,4.06
11.36,4.48,4.35,4.34,4.09
11.52,4.46,4.35,4.34,4.13
11.68,4.46,4.34,4.34,4.15
11.84,4.46,4.34,4.34,4.18
12.0,4.48,4.37,4.36,4.2
12.16,4.05,4.37,4.36,4.22
12.32,4.46,4.37,4.36,4.24
12.48,4.48,4.37,4.36,4.26
12.64,4.46,4.39,4.38,4.27
12.8,4.48,4.39,4.38,4.29
12.96,4.46,4.39,4.38,4.3
13.12,4.86,4.43,4.42,4.31
13.28,4.48,4.43,4.42,4.33
13.44,4.48,4.43,4.42,4.34
13.6,4.46,4.45,4.44,4.35
13.76,4.86,4.47,4.46,4.36
13.92,4.46,4.49,4.48,4.37
14.08,4.48,4.49,4.48,4.38
14.24,4.86,4.51,4.5,4.39
14.4,4.88,4.53,4.52,4.4
14.56,4.48,4.53,4.52,4.41
14.72,4.48,4.53,4.52,4.42
14.88,5.27,4.57,4.56,4.43
15.04,4.88,4.59,4.58,4.44
15.2,4.86,4.61,4.6,4.46
15.36,4.46,4.63,4.62,4.47
15.52,4.88,4.65,4.64,4.48
15.68,4.86,4.67,4.66,4.5
15.84,4.86,4.69,4.68,4.51
16.0,4.86,4.71,4.7,4.53
16.16,4.88,4.73,4.72,4.55
16.32,4.86,4.73,4.72,4.56
16.48,4.86,4.75,4.74,4.58
16.64,4.86,4.77,4.76,4.59
16.8,5.27,4.81,4.8,4.61
16.96,4.86,4.81,4.8,4.63
17.12,4.86,4.83,4.82,4.65
17.28,4.88,4.85,4.84,4.66
17.44,4.86,4.85,4.84,4.68
17.6,4.86,4.85,4.84,4.7
17.76,4.88,4.87,4.86,4.71
17.92,4.46,4.87,4.86,4.73
18.08,5.27,4.87,4.86,4.75
18.24,4.86,4.86,4.86,4.76
18.4,4.48,4.85,4.84,4.77
18.56,4.86,4.87,4.86,4.78
18.72,4.88,4.87,4.86,4.8
18.88,4.86,4.87,4.86,4.81
19.04,4.86,4.87,4.86,4.81
19.2,4.86,4.87,4.86,4.82
19.36,4.46,4.84,4.84,4.83
19.52,4.88,4.85,4.84,4.83
19.68,4.88,4.85,4.84,4.84
19.84,4.46,4.83,4.82,4.84
20.0,4.88,4.81,4.8,4.84
20.16,4.86,4.81,4.8,4.84
20.32,4.86,4.81,4.8,4.84
20.48,4.48,4.79,4.78,4.84
20.64,4.86,4.79,4.78,4.84
20.8,4.86,4.79,4.78,4.83
20.96,4.86,4.79,4.78,4.83
21.12,4.86,4.81,4.8,4.83
21.28,4.88,4.79,4.78,4.82
21.44,4.48,4.77,4.76,4.82
21.6,4.48,4.77,4.76,4.81
21.76,5.28,4.79,4.78,4.81
21.92,4.46,4.77,4.76,4.8
22.08,4.88,4.77,4.76,4.8
22.24,4.46,4.75,4.74,4.79
22.4,4.48,4.73,4.72,4.79
22.56,4.88,4.75,4.74,4.78
22.72,4.48,4.73,4.72,4.78
22.88,4.86,4.73,4.72,4.77
23.04,4.46,4.73,4.72,4.76
23.2,4.86,4.73,4.72,4.76
23.36,4.07,4.69,4.68,4.75
23.52,4.46,4.67,4.66,4.75
23.68,4.86,4.69,4.68,4.74
23.84,4.05,4.65,4.64,4.74
24.0,4.46,4.63,4.62,4.73
24.16,4.07,4.59,4.58,4.72
24.32,4.05,4.55,4.54,4.7
24.48,4.46,4.53,4.52,4.69
24.64,4.07,4.51,4.5,4.68
24.8,4.05,4.48,4.48,4.66
24.96,4.46,4.44,4.44,4.65
25.12,4.05,4.42,4.42,4.63
25.28,4.05,4.38,4.38,4.61
25.44,3.65,4.34,4.34,4.59
25.6,4.05,4.32,4.32,4.57
25.76,4.07,4.28,4.28,4.55
25.92,3.65,4.24,4.23,4.52
26.08,4.05,4.2,4.19,4.5
26.24,3.65,4.16,4.15,4.47
26.4,4.05,4.12,4.11,4.44
26.56,3.67,4.1,4.09,4.41
26.72,3.65,4.06,4.05,4.38
26.88,4.05,4.02,4.01,4.34
27.04,3.67,4.0,3.99,4.31
27.2,3.65,3.96,3.95,4.28
27.36,4.05,3.95,3.95,4.25
27.52,3.65,3.93,3.93,4.22
27.68,3.65,3.89,3.89,4.19
27.84,4.05,3.89,3.89,4.15
28.0,3.67,3.87,3.87,4.12
28.16,3.65,3.83,3.83,4.09
28.32,3.65,3.81,3.81,4.06
28.48,4.05,3.81,3.81,4.03
28.64,3.67,3.81,3.81,4.01
28.8,3.65,3.79,3.79,3.98
28.96,4.05,3.79,3.79,3.96
29.12,3.67,3.79,3.79,3.94
29.28,4.07,3.8,3.79,3.92
29.44,3.67,3.8,3.79,3.9
29.6,3.65,3.78,3.77,3.88
29.76,3.65,3.78,3.77,3.86
29.92,4.05,3.8,3.79,3.85
