time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0.0,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
0.16,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
0.32,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
0.48,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
0.64,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
0.8,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
0.96,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
1.12,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
1.28,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
1.44,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
1.6,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
1.76,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
1.92,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
2.08,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
2.24,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
2.4,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
2.56,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
2.72,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
2.88,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
3.04,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
3.2,661488.6768877067,1509689.3969673296,661488.6768877067,1509689.3969673296,13.6515745,100.49301983333334
3.36,661488.6767742867,1509689.4154049123,661488.6768650227,1509689.4006548463,13.651574533333335,100.49301983333334
