time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0.0,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
0.16,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
0.32,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
0.48,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
0.64,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
0.8,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
0.96,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
1.12,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
1.28,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
1.44,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
1.6,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
1.76,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
1.92,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
2.08,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
2.24,661485.9710257149,1509695.4465164621,661485.9710257121,1509695.4465164624,13.651629333333336,100.49299516666665
2.4,661485.9529949945,1509695.4464055463,661485.967419568,1509695.4464942792,13.651629333333336,100.49299513333331
2.56,661485.9529949945,1509695.4464055463,661485.9638134239,1509695.446472096,13.651629333333336,100.49299509999996
2.72,661485.9529949945,1509695.4464055463,661485.9602072799,1509695.4464499129,13.651629333333336,100.49299506666662
2.88,661485.9529949945,1509695.4464055463,661485.956601133,1509695.4464277297,13.651629333333336,100.49299503333327
3.04,661485.9529949945,1509695.4464055463,661485.9529949862,1509695.4464055465,13.651629333333336,100.49299499999992
3.2,661485.9529949945,1509695.4464055463,661485.9529949862,1509695.4464055465,13.651629333333336,100.49299499999992
3.36,661485.9529949945,1509695.4464055463,661485.9529949862,1509695.4464055465,13.651629333333336,100.49299499999992
