time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661486.9273,1509583.956,661486.9273,1509583.956,13.6506215,100.4929977
0.16,661486.9274,1509583.938,661486.9273,1509583.952,13.65062147,100.4929977
0.32,661486.9454,1509583.938,661486.931,1509583.949,13.65062143,100.4929977
0.48,661486.9454,1509583.938,661486.9346,1509583.945,13.6506214,100.4929977
0.64,661486.9454,1509583.938,661486.9382,1509583.941,13.65062137,100.4929978
0.8,661486.9454,1509583.938,661486.9418,1509583.938,13.65062133,100.4929978
0.96,661486.9454,1509583.938,661486.9454,1509583.938,13.65062133,100.4929978
1.12,661486.9454,1509583.938,661486.9454,1509583.938,13.65062133,100.4929978
1.28,661486.9454,1509583.938,661486.9454,1509583.938,13.65062133,100.4929978
1.44,661486.9454,1509583.938,661486.9454,1509583.938,13.65062133,100.4929978
1.6,661486.9454,1509583.938,661486.9454,1509583.938,13.65062133,100.4929978
1.76,661486.9454,1509583.938,661486.9454,1509583.938,13.65062133,100.4929978
1.92,661486.9453,1509583.956,661486.9454,1509583.941,13.65062137,100.4929978
2.08,661486.9453,1509583.956,661486.9454,1509583.945,13.6506214,100.4929978
2.24,661486.9453,1509583.956,661486.9454,1509583.949,13.65062143,100.4929978
2.4,661486.9453,1509583.956,661486.9454,1509583.953,13.65062147,100.4929978
2.56,661486.9453,1509583.956,661486.9453,1509583.956,13.6506215,100.4929978
2.72,661486.9453,1509583.956,661486.9453,1509583.956,13.6506215,100.4929978
2.88,661486.9453,1509583.956,661486.9453,1509583.956,13.6506215,100.4929978
3.04,661486.9453,1509583.956,661486.9453,1509583.956,13.6506215,100.4929978
3.2,661486.9453,1509583.956,661486.9453,1509583.956,13.6506215,100.4929978
3.36,661486.9452,1509583.975,661486.9453,1509583.96,13.65062153,100.4929978
3.52,661486.9451,1509583.993,661486.9453,1509583.967,13.6506216,100.4929978
3.68,661486.945,1509584.012,661486.9452,1509583.978,13.6506217,100.4929978
3.84,661486.9447,1509584.067,661486.9451,1509584,13.6506219,100.4929978
4,661486.9443,1509584.122,661486.9449,1509584.034,13.6506222,100.4929978
4.16,661486.9258,1509584.196,661486.941,1509584.078,13.6506226,100.4929978
4.32,661486.9253,1509584.288,661486.937,1509584.137,13.65062313,100.4929978
4.48,661486.9248,1509584.362,661486.933,1509584.207,13.65062377,100.4929977
4.64,661486.9062,1509584.454,661486.9253,1509584.284,13.65062447,100.4929977
4.8,661486.9055,1509584.564,661486.9175,1509584.373,13.65062527,100.4929976
4.96,661486.905,1509584.657,661486.9134,1509584.465,13.6506261,100.4929976
5.12,661486.9043,1509584.767,661486.9092,1509584.561,13.65062697,100.4929975
5.28,661486.9035,1509584.896,661486.9049,1509584.668,13.65062793,100.4929975
5.44,661486.9027,1509585.025,661486.9042,1509584.782,13.65062897,100.4929975
