time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
0.16,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
0.32,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
0.48,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
0.64,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
0.8,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
0.96,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
1.12,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
1.28,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
1.44,661484.0614,1509583.773,661484.047,1509583.772,13.65062,100.492971
1.6,661484.0614,1509583.773,661484.0506,1509583.772,13.65062,100.4929711
1.76,661484.0614,1509583.773,661484.0542,1509583.773,13.65062,100.4929711
1.92,661484.0614,1509583.773,661484.0578,1509583.773,13.65062,100.4929711
2.08,661484.0614,1509583.773,661484.0614,1509583.773,13.65062,100.4929712
2.24,661484.0614,1509583.773,661484.0614,1509583.773,13.65062,100.4929712
2.4,661484.0614,1509583.773,661484.0614,1509583.773,13.65062,100.4929712
2.56,661484.0614,1509583.773,661484.0614,1509583.773,13.65062,100.4929712
2.72,661484.0614,1509583.773,661484.0614,1509583.773,13.65062,100.4929712
2.88,661484.0614,1509583.773,661484.0614,1509583.773,13.65062,100.4929712
3.04,661484.0434,1509583.772,661484.0578,1509583.773,13.65062,100.4929711
3.2,661484.0434,1509583.772,661484.0542,1509583.773,13.65062,100.4929711
3.36,661484.0434,1509583.772,661484.0506,1509583.772,13.65062,100.4929711
3.52,661484.0434,1509583.772,661484.047,1509583.772,13.65062,100.492971
3.68,661484.0434,1509583.772,661484.0434,1509583.772,13.65062,100.492971
3.84,661484.0432,1509583.809,661484.0434,1509583.78,13.65062007,100.492971
4,661484.0429,1509583.846,661484.0433,1509583.795,13.6506202,100.492971
4.16,661484.0426,1509583.902,661484.0431,1509583.82,13.65062043,100.492971
4.32,661484.0423,1509583.957,661484.0429,1509583.857,13.65062077,100.492971
4.48,661484.0418,1509584.031,661484.0426,1509583.909,13.65062123,100.492971
4.64,661484.0412,1509584.123,661484.0422,1509583.972,13.6506218,100.492971
4.8,661484.0226,1509584.215,661484.0381,1509584.045,13.65062247,100.492971
4.96,661484.04,1509584.326,661484.0376,1509584.13,13.65062323,100.492971
5.12,661484.0393,1509584.436,661484.037,1509584.226,13.6506241,100.492971
5.28,661484.0206,1509584.547,661484.0328,1509584.329,13.65062503,100.4929709
5.44,661484.02,1509584.639,661484.0285,1509584.432,13.65062597,100.4929709
5.6,661484.0013,1509584.749,661484.0243,1509584.539,13.65062693,100.4929709
5.76,661484.0006,1509584.86,661484.0164,1509584.646,13.6506279,100.4929708
5.92,661484.0179,1509584.989,661484.0121,1509584.757,13.6506289,100.4929708
6.08,661484.0351,1509585.118,661484.015,1509584.871,13.65062993,100.4929708
6.24,661484.0163,1509585.247,661484.0143,1509584.993,13.65063103,100.4929708
6.4,661484.0334,1509585.395,661484.0207,1509585.122,13.6506322,100.4929709
6.56,661484.0505,1509585.543,661484.0307,1509585.258,13.65063343,100.492971
6.72,661484.0496,1509585.69,661484.037,1509585.399,13.6506347,100.492971
6.88,661484.0487,1509585.838,661484.0397,1509585.542,13.650636,100.4929711
7.04,661484.0659,1509585.985,661484.0496,1509585.69,13.65063733,100.4929712
7.2,661484.0648,1509586.151,661484.0559,1509585.841,13.6506387,100.4929712
7.36,661484.0459,1509586.298,661484.055,1509585.992,13.65064007,100.4929712
7.52,661484.0268,1509586.464,661484.0504,1509586.147,13.65064147,100.4929712
7.68,661484.0257,1509586.649,661484.0458,1509586.31,13.65064293,100.4929712
7.84,661484.0067,1509586.815,661484.034,1509586.475,13.65064443,100.4929711
8,661484.0237,1509586.981,661484.0258,1509586.641,13.65064593,100.492971
8.16,661484.0226,1509587.147,661484.0211,1509586.811,13.65064747,100.492971
8.32,661484.0216,1509587.312,661484.0201,1509586.981,13.650649,100.492971
8.48,661484.0206,1509587.478,661484.019,1509587.146,13.6506505,100.492971
8.64,661484.0196,1509587.644,661484.0216,1509587.312,13.650652,100.492971
8.8,661484.0186,1509587.81,661484.0206,1509587.478,13.6506535,100.492971
8.96,661483.9995,1509587.976,661484.016,1509587.644,13.650655,100.492971
9.12,661483.9985,1509588.142,661484.0113,1509587.81,13.6506565,100.4929709
9.28,661483.9974,1509588.326,661484.0067,1509587.98,13.65065803,100.4929709
9.44,661483.9963,1509588.492,661484.0021,1509588.149,13.65065957,100.4929709
9.6,661483.9952,1509588.677,661483.9974,1509588.323,13.65066113,100.4929708
9.76,661483.9942,1509588.843,661483.9963,1509588.496,13.6506627,100.4929708
9.92,661483.993,1509589.027,661483.9952,1509588.673,13.6506643,100.4929708
10.08,661483.992,1509589.193,661483.9942,1509588.846,13.65066587,100.4929708
10.24,661483.9909,1509589.377,661483.9931,1509589.023,13.65066747,100.4929708
10.4,661483.9899,1509589.543,661483.992,1509589.197,13.65066903,100.4929708
10.56,661483.9887,1509589.728,661483.9909,1509589.374,13.65067063,100.4929708
10.72,661484.0056,1509589.912,661483.9934,1509589.551,13.65067223,100.4929709
10.88,661484.0225,1509590.097,661483.9995,1509589.731,13.65067387,100.4929709
11.04,661484.0214,1509590.281,661484.0056,1509589.912,13.6506755,100.492971
11.2,661484.0022,1509590.465,661484.0081,1509590.097,13.65067717,100.492971
11.36,661484.0012,1509590.631,661484.0106,1509590.277,13.6506788,100.4929711
11.52,661484.0001,1509590.816,661484.0095,1509590.458,13.65068043,100.4929711
11.68,661483.9992,1509590.963,661484.0048,1509590.631,13.650682,100.492971
11.84,661483.998,1509591.147,661484.0001,1509590.805,13.65068357,100.492971
12,661484.015,1509591.314,661484.0027,1509590.974,13.6506851,100.492971
12.16,661484.014,1509591.479,661484.0053,1509591.144,13.65068663,100.4929711
12.32,661484.013,1509591.645,661484.0079,1509591.31,13.65068813,100.4929711
12.48,661484.012,1509591.811,661484.0104,1509591.479,13.65068967,100.4929711
12.64,661484.011,1509591.977,661484.013,1509591.645,13.65069117,100.4929712
12.8,661484.0099,1509592.143,661484.012,1509591.811,13.65069267,100.4929712
12.96,661484.0088,1509592.328,661484.0109,1509591.981,13.6506942,100.4929712
13.12,661483.9898,1509592.493,661484.0063,1509592.151,13.65069573,100.4929711
13.28,661483.9887,1509592.659,661484.0016,1509592.32,13.65069727,100.4929711
13.44,661484.0056,1509592.844,661484.0006,1509592.493,13.65069883,100.4929711
