time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
0.16,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
0.32,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
0.48,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
0.64,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
0.8,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
0.96,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
1.12,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
1.28,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
1.44,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
1.6,661489.2015,1509583.601,661489.2015,1509583.601,13.65061817,100.4930187
1.76,661489.1834,1509583.601,661489.1978,1509583.601,13.65061817,100.4930186
1.92,661489.1834,1509583.601,661489.1942,1509583.601,13.65061817,100.4930186
2.08,661489.1834,1509583.601,661489.1906,1509583.601,13.65061817,100.4930186
2.24,661489.1834,1509583.601,661489.187,1509583.601,13.65061817,100.4930185
2.4,661489.1834,1509583.601,661489.1834,1509583.601,13.65061817,100.4930185
2.56,661489.1834,1509583.601,661489.1834,1509583.601,13.65061817,100.4930185
2.72,661489.1834,1509583.601,661489.1834,1509583.601,13.65061817,100.4930185
2.88,661489.1834,1509583.601,661489.1834,1509583.601,13.65061817,100.4930185
3.04,661489.1834,1509583.601,661489.1834,1509583.601,13.65061817,100.4930185
3.2,661489.1834,1509583.601,661489.1834,1509583.601,13.65061817,100.4930185
3.36,661489.1833,1509583.62,661489.1834,1509583.605,13.6506182,100.4930185
3.52,661489.1831,1509583.657,661489.1833,1509583.616,13.6506183,100.4930185
3.68,661489.1827,1509583.712,661489.1832,1509583.638,13.6506185,100.4930185
3.84,661489.1824,1509583.767,661489.183,1509583.671,13.6506188,100.4930185
4,661489.1819,1509583.841,661489.1827,1509583.719,13.65061923,100.4930185
4.16,661489.1814,1509583.933,661489.1823,1509583.782,13.6506198,100.4930185
4.32,661489.1808,1509584.025,661489.1819,1509583.856,13.65062047,100.4930185
4.48,661489.162,1509584.154,661489.1777,1509583.944,13.65062127,100.4930185
4.64,661489.1792,1509584.283,661489.1771,1509584.047,13.6506222,100.4930185
4.8,661489.1604,1509584.412,661489.1728,1509584.162,13.65062323,100.4930184
4.96,661489.1595,1509584.56,661489.1684,1509584.287,13.65062437,100.4930184
5.12,661489.1586,1509584.707,661489.1639,1509584.423,13.6506256,100.4930184
5.28,661489.1756,1509584.873,661489.1667,1509584.567,13.6506269,100.4930184
5.44,661489.1747,1509585.021,661489.1658,1509584.715,13.65062823,100.4930184
5.6,661489.1738,1509585.168,661489.1684,1509584.866,13.6506296,100.4930184
5.76,661489.1728,1509585.334,661489.1711,1509585.021,13.650631,100.4930185
5.92,661489.1719,1509585.482,661489.1737,1509585.176,13.6506324,100.4930185
6.08,661489.1708,1509585.648,661489.1728,1509585.331,13.6506338,100.4930185
6.24,661489.1698,1509585.814,661489.1718,1509585.489,13.65063523,100.4930185
6.4,661489.1868,1509585.98,661489.1744,1509585.652,13.6506367,100.4930185
6.56,661489.1858,1509586.146,661489.177,1509585.814,13.65063817,100.4930186
6.72,661489.2028,1509586.312,661489.1832,1509585.98,13.65063967,100.4930186
6.88,661489.2018,1509586.478,661489.1894,1509586.146,13.65064117,100.4930187
7.04,661489.2007,1509586.662,661489.1956,1509586.315,13.6506427,100.4930188
7.2,661489.2177,1509586.828,661489.2017,1509586.485,13.65064423,100.4930188
7.36,661489.2166,1509586.994,661489.2079,1509586.655,13.65064577,100.4930189
7.52,661489.2156,1509587.16,661489.2105,1509586.824,13.6506473,100.4930189
7.68,661489.1966,1509587.326,661489.2094,1509586.994,13.65064883,100.4930189
7.84,661489.2136,1509587.492,661489.212,1509587.16,13.65065033,100.493019
8,661489.2126,1509587.658,661489.211,1509587.326,13.65065183,100.493019
8.16,661489.2115,1509587.824,661489.21,1509587.492,13.65065333,100.493019
8.32,661489.2105,1509587.99,661489.209,1509587.658,13.65065483,100.493019
8.48,661489.2275,1509588.156,661489.2152,1509587.824,13.65065633,100.493019
8.64,661489.2264,1509588.34,661489.2177,1509587.993,13.65065787,100.4930191
8.8,661489.2434,1509588.506,661489.2239,1509588.163,13.6506594,100.4930191
8.96,661489.2244,1509588.672,661489.2264,1509588.333,13.65066093,100.4930192
9.12,661489.2233,1509588.838,661489.229,1509588.502,13.65066247,100.4930192
9.28,661489.2222,1509589.022,661489.2279,1509588.676,13.65066403,100.4930192
9.44,661489.2392,1509589.188,661489.2305,1509588.845,13.65066557,100.4930192
9.6,661489.2381,1509589.373,661489.2294,1509589.019,13.65066713,100.4930192
9.76,661489.2371,1509589.539,661489.232,1509589.192,13.6506687,100.4930193
9.92,661489.254,1509589.723,661489.2381,1509589.369,13.6506703,100.4930193
10.08,661489.271,1509589.889,661489.2479,1509589.542,13.65067187,100.4930194
10.24,661489.2699,1509590.055,661489.254,1509589.716,13.65067343,100.4930195
10.4,661489.2868,1509590.24,661489.2638,1509589.889,13.650675,100.4930196
10.56,661489.2858,1509590.406,661489.2735,1509590.063,13.65067657,100.4930197
10.72,661489.2847,1509590.59,661489.2797,1509590.236,13.65067813,100.4930198
10.88,661489.2837,1509590.756,661489.2822,1509590.409,13.6506797,100.4930198
11.04,661489.2825,1509590.94,661489.2847,1509590.586,13.6506813,100.4930198
11.2,661489.2814,1509591.125,661489.2836,1509590.763,13.6506829,100.4930198
11.36,661489.2982,1509591.328,661489.2861,1509590.948,13.65068457,100.4930199
11.52,661489.3152,1509591.494,661489.2922,1509591.128,13.6506862,100.4930199
11.68,661489.3139,1509591.696,661489.2982,1509591.317,13.6506879,100.49302
11.84,661489.3308,1509591.881,661489.3079,1509591.505,13.6506896,100.4930201
12,661489.3297,1509592.065,661489.3176,1509591.693,13.6506913,100.4930202
12.16,661489.3286,1509592.25,661489.3237,1509591.877,13.65069297,100.4930203
12.32,661489.3455,1509592.434,661489.3297,1509592.065,13.65069467,100.4930203
12.48,661489.3443,1509592.619,661489.3358,1509592.25,13.65069633,100.4930204
12.64,661489.3431,1509592.821,661489.3382,1509592.438,13.65069803,100.4930204
12.8,661489.3421,1509592.987,661489.3407,1509592.622,13.6506997,100.4930205
12.96,661489.341,1509593.153,661489.3432,1509592.803,13.65070133,100.4930205
13.12,661489.3581,1509593.319,661489.3457,1509592.98,13.65070293,100.4930205
13.28,661489.3571,1509593.467,661489.3483,1509593.15,13.65070447,100.4930206
13.44,661489.3742,1509593.633,661489.3545,1509593.312,13.65070593,100.4930206
13.6,661489.3733,1509593.78,661489.3607,1509593.47,13.65070737,100.4930207
13.76,661489.3904,1509593.928,661489.3706,1509593.625,13.65070877,100.4930208
13.92,661489.4074,1509594.094,661489.3805,1509593.78,13.65071017,100.4930209
14.08,661489.4065,1509594.241,661489.3903,1509593.935,13.65071157,100.493021
14.24,661489.4056,1509594.389,661489.3966,1509594.087,13.65071293,100.4930211
14.4,661489.4047,1509594.536,661489.4029,1509594.238,13.6507143,100.4930211
14.56,661489.3858,1509594.665,661489.402,1509594.385,13.65071563,100.4930211
14.72,661489.3849,1509594.813,661489.3975,1509594.529,13.65071693,100.4930211
14.88,661489.4021,1509594.961,661489.3966,1509594.673,13.65071823,100.4930211
15.04,661489.4013,1509595.09,661489.3957,1509594.813,13.6507195,100.4930211
15.2,661489.3824,1509595.219,661489.3913,1509594.949,13.65072073,100.4930211
15.36,661489.3996,1509595.366,661489.394,1509595.09,13.650722,100.4930211
15.52,661489.3988,1509595.495,661489.3968,1509595.226,13.65072323,100.4930211
15.68,661489.3979,1509595.643,661489.396,1509595.362,13.65072447,100.4930211
15.84,661489.3971,1509595.772,661489.3951,1509595.499,13.6507257,100.4930211
16,661489.396,1509595.938,661489.3979,1509595.643,13.650727,100.4930212
16.16,661489.4133,1509596.067,661489.4006,1509595.783,13.65072827,100.4930212
16.32,661489.4124,1509596.214,661489.4033,1509595.927,13.65072957,100.4930212
16.48,661489.4115,1509596.362,661489.406,1509596.071,13.65073087,100.4930213
16.64,661489.4107,1509596.491,661489.4088,1509596.214,13.65073217,100.4930213
16.8,661489.4099,1509596.62,661489.4115,1509596.351,13.6507334,100.4930213
16.96,661489.409,1509596.768,661489.4107,1509596.491,13.65073467,100.4930213
17.12,661489.4082,1509596.897,661489.4098,1509596.627,13.6507359,100.4930213
17.28,661489.4253,1509597.044,661489.4126,1509596.764,13.65073713,100.4930214
17.44,661489.4244,1509597.192,661489.4153,1509596.904,13.6507384,100.4930214
17.6,661489.4236,1509597.321,661489.4181,1509597.044,13.65073967,100.4930214
17.76,661489.4226,1509597.487,661489.4208,1509597.188,13.65074097,100.4930215
17.92,661489.4217,1509597.634,661489.4235,1509597.336,13.6507423,100.4930215
18.08,661489.4207,1509597.8,661489.4226,1509597.487,13.65074367,100.4930215
18.24,661489.4378,1509597.948,661489.4253,1509597.638,13.65074503,100.4930215
18.4,661489.4369,1509598.095,661489.4279,1509597.793,13.65074643,100.4930216
18.56,661489.4179,1509598.243,661489.427,1509597.944,13.6507478,100.4930216
18.72,661489.4169,1509598.409,661489.426,1509598.099,13.6507492,100.4930216
18.88,661489.4159,1509598.575,661489.4251,1509598.254,13.6507506,100.4930216
19.04,661489.4149,1509598.74,661489.4205,1509598.412,13.65075203,100.4930215
19.2,661489.432,1509598.888,661489.4195,1509598.571,13.65075347,100.4930215
19.36,661489.4131,1509599.035,661489.4185,1509598.729,13.6507549,100.4930215
19.52,661489.4301,1509599.202,661489.4212,1509598.888,13.65075633,100.4930216
19.68,661489.4111,1509599.349,661489.4202,1509599.043,13.65075773,100.4930216
19.84,661489.4102,1509599.496,661489.4193,1509599.194,13.6507591,100.4930216
20,661489.3913,1509599.644,661489.4111,1509599.345,13.65076047,100.4930215
20.16,661489.3904,1509599.791,661489.4066,1509599.496,13.65076183,100.4930215
20.32,661489.3715,1509599.92,661489.3949,1509599.64,13.65076313,100.4930214
20.48,661489.3526,1509600.068,661489.3832,1509599.784,13.65076443,100.4930213
20.64,661489.3518,1509600.197,661489.3715,1509599.924,13.6507657,100.4930212
20.8,661489.333,1509600.326,661489.3599,1509600.06,13.65076693,100.4930211
20.96,661489.3322,1509600.455,661489.3482,1509600.193,13.65076813,100.493021
21.12,661489.3314,1509600.584,661489.3402,1509600.326,13.65076933,100.4930209
21.28,661489.3125,1509600.731,661489.3322,1509600.458,13.65077053,100.4930208
21.44,661489.3116,1509600.879,661489.3241,1509600.595,13.65077177,100.4930208
21.6,661489.3106,1509601.026,661489.3197,1509600.735,13.65077303,100.4930207
21.76,661489.3097,1509601.174,661489.3152,1509600.879,13.65077433,100.4930207
