time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
0.16,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
0.32,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
0.48,661486.316,1509583.676,661486.3015,1509583.676,13.650619,100.4929919
0.64,661486.2979,1509583.676,661486.3015,1509583.676,13.650619,100.4929919
0.8,661486.2979,1509583.676,661486.3015,1509583.676,13.650619,100.4929919
0.96,661486.2979,1509583.676,661486.3015,1509583.676,13.650619,100.4929919
1.12,661486.2979,1509583.676,661486.3015,1509583.676,13.650619,100.4929919
1.28,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
1.44,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
1.6,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
1.76,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
1.92,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
2.08,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
2.24,661486.2978,1509583.694,661486.2979,1509583.679,13.65061903,100.4929918
2.4,661486.2979,1509583.676,661486.2979,1509583.679,13.65061903,100.4929918
2.56,661486.2979,1509583.676,661486.2979,1509583.679,13.65061903,100.4929918
2.72,661486.2979,1509583.676,661486.2979,1509583.679,13.65061903,100.4929918
2.88,661486.2979,1509583.676,661486.2979,1509583.679,13.65061903,100.4929918
3.04,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
3.2,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
3.36,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
3.52,661486.2979,1509583.676,661486.2979,1509583.676,13.650619,100.4929918
3.68,661486.2798,1509583.694,661486.2943,1509583.679,13.65061903,100.4929918
3.84,661486.2798,1509583.694,661486.2907,1509583.683,13.65061907,100.4929918
4,661486.2976,1509583.731,661486.2906,1509583.694,13.65061917,100.4929918
4.16,661486.2972,1509583.786,661486.2905,1509583.716,13.65061937,100.4929918
4.32,661486.2969,1509583.842,661486.2903,1509583.749,13.65061967,100.4929918
4.48,661486.2784,1509583.915,661486.29,1509583.794,13.65062007,100.4929918
4.64,661486.2779,1509584.007,661486.2896,1509583.856,13.65062063,100.4929918
4.8,661486.2772,1509584.118,661486.2855,1509583.934,13.65062133,100.4929917
4.96,661486.2765,1509584.229,661486.2814,1509584.022,13.65062213,100.4929917
5.12,661486.2757,1509584.358,661486.2771,1509584.125,13.65062307,100.4929917
5.28,661486.2749,1509584.487,661486.2764,1509584.24,13.6506241,100.4929917
5.44,661486.256,1509584.634,661486.2721,1509584.365,13.65062523,100.4929916
5.6,661486.2552,1509584.763,661486.2677,1509584.494,13.6506264,100.4929916
5.76,661486.2543,1509584.911,661486.2632,1509584.631,13.65062763,100.4929916
5.92,661486.2534,1509585.058,661486.2587,1509584.771,13.6506289,100.4929915
6.08,661486.2525,1509585.206,661486.2542,1509584.914,13.6506302,100.4929915
6.24,661486.2515,1509585.353,661486.2534,1509585.058,13.6506315,100.4929915
6.4,661486.2326,1509585.501,661486.2488,1509585.206,13.65063283,100.4929915
6.56,661486.2316,1509585.667,661486.2443,1509585.357,13.6506342,100.4929914
6.72,661486.2307,1509585.814,661486.2398,1509585.508,13.65063557,100.4929914
6.88,661486.2116,1509585.98,661486.2316,1509585.663,13.65063697,100.4929913
7.04,661486.2106,1509586.146,661486.2234,1509585.821,13.6506384,100.4929913
7.2,661486.2096,1509586.312,661486.2188,1509585.984,13.65063987,100.4929912
7.36,661486.1905,1509586.478,661486.2106,1509586.146,13.65064133,100.4929912
7.52,661486.2077,1509586.625,661486.206,1509586.308,13.6506428,100.4929911
7.68,661486.1886,1509586.791,661486.2014,1509586.47,13.65064427,100.4929911
7.84,661486.1876,1509586.957,661486.1968,1509586.633,13.65064573,100.4929911
8,661486.1866,1509587.123,661486.1922,1509586.795,13.6506472,100.492991
8.16,661486.1854,1509587.307,661486.1912,1509586.961,13.6506487,100.492991
8.32,661486.1665,1509587.455,661486.1829,1509587.127,13.6506502,100.492991
8.48,661486.1835,1509587.621,661486.1819,1509587.293,13.6506517,100.492991
8.64,661486.1645,1509587.787,661486.1773,1509587.458,13.6506532,100.4929909
8.8,661486.1633,1509587.971,661486.1726,1509587.628,13.65065473,100.4929909
8.96,661486.1443,1509588.137,661486.1644,1509587.794,13.65065623,100.4929908
9.12,661486.1432,1509588.303,661486.1598,1509587.964,13.65065777,100.4929908
9.28,661486.1421,1509588.487,661486.1515,1509588.137,13.65065933,100.4929907
9.44,661486.1411,1509588.653,661486.1468,1509588.31,13.6506609,100.4929907
9.6,661486.1401,1509588.819,661486.1422,1509588.48,13.65066243,100.4929907
9.76,661486.1389,1509589.003,661486.1411,1509588.653,13.650664,100.4929907
9.92,661486.1199,1509589.169,661486.1364,1509588.826,13.65066557,100.4929906
10.08,661486.1189,1509589.335,661486.1318,1509588.996,13.6506671,100.4929906
10.24,661486.1177,1509589.52,661486.1271,1509589.169,13.65066867,100.4929906
10.4,661486.0986,1509589.704,661486.1188,1509589.346,13.65067027,100.4929905
10.56,661486.0974,1509589.888,661486.1105,1509589.523,13.65067187,100.4929904
10.72,661486.0963,1509590.073,661486.1058,1509589.704,13.6506735,100.4929904
10.88,661486.0952,1509590.257,661486.101,1509589.888,13.65067517,100.4929904
11.04,661486.094,1509590.441,661486.0963,1509590.073,13.65067683,100.4929903
11.2,661486.0929,1509590.626,661486.0952,1509590.257,13.6506785,100.4929903
11.36,661486.0918,1509590.81,661486.094,1509590.441,13.65068017,100.4929903
11.52,661486.0906,1509590.994,661486.0929,1509590.626,13.65068183,100.4929903
11.68,661486.0894,1509591.197,661486.0917,1509590.814,13.65068353,100.4929903
11.84,661486.0702,1509591.381,661486.087,1509591.002,13.65068523,100.4929903
12,661486.0691,1509591.566,661486.0822,1509591.19,13.65068693,100.4929903
12.16,661486.0679,1509591.75,661486.0775,1509591.378,13.65068863,100.4929902
12.32,661486.0669,1509591.916,661486.0727,1509591.562,13.6506903,100.4929902
12.48,661486.0659,1509592.082,661486.068,1509591.739,13.6506919,100.4929902
12.64,661486.0648,1509592.266,661486.0669,1509591.916,13.6506935,100.4929902
12.8,661486.0818,1509592.433,661486.0695,1509592.09,13.65069507,100.4929902
12.96,661486.0808,1509592.598,661486.072,1509592.259,13.6506966,100.4929902
13.12,661486.0796,1509592.783,661486.0746,1509592.432,13.65069817,100.4929903
13.28,661486.0785,1509592.967,661486.0771,1509592.61,13.65069977,100.4929903
13.44,661486.0775,1509593.133,661486.0796,1509592.783,13.65070133,100.4929903
13.6,661486.0944,1509593.318,661486.0821,1509592.96,13.65070293,100.4929904
13.76,661486.1113,1509593.502,661486.0882,1509593.141,13.65070457,100.4929904
13.92,661486.1102,1509593.668,661486.0944,1509593.318,13.65070617,100.4929905
14.08,661486.1092,1509593.834,661486.1005,1509593.491,13.65070773,100.4929906
14.24,661486.1261,1509594.018,661486.1102,1509593.668,13.65070933,100.4929907
14.4,661486.1431,1509594.185,661486.12,1509593.841,13.6507109,100.4929908
14.56,661486.1421,1509594.35,661486.1262,1509594.011,13.65071243,100.4929908
14.72,661486.1591,1509594.517,661486.1359,1509594.181,13.65071397,100.4929909
14.88,661486.1581,1509594.682,661486.1457,1509594.351,13.6507155,100.492991
15.04,661486.175,1509594.867,661486.1555,1509594.52,13.65071703,100.4929911
15.2,661486.1739,1509595.051,661486.1616,1509594.694,13.6507186,100.4929912
15.36,661486.1727,1509595.236,661486.1678,1509594.871,13.6507202,100.4929913
15.52,661486.1717,1509595.402,661486.1703,1509595.048,13.6507218,100.4929913
15.68,661486.1706,1509595.586,661486.1728,1509595.228,13.65072343,100.4929913
15.84,661486.1694,1509595.77,661486.1717,1509595.409,13.65072507,100.4929913
16,661486.1684,1509595.936,661486.1706,1509595.586,13.65072667,100.4929913
16.16,661486.1673,1509596.121,661486.1695,1509595.763,13.65072827,100.4929913
16.32,661486.1664,1509596.268,661486.1684,1509595.936,13.65072983,100.4929913
16.48,661486.1834,1509596.434,661486.171,1509596.106,13.65073137,100.4929914
16.64,661486.1823,1509596.619,661486.1735,1509596.276,13.6507329,100.4929914
16.8,661486.1632,1509596.784,661486.1725,1509596.445,13.65073443,100.4929914
16.96,661486.1622,1509596.95,661486.1715,1509596.611,13.65073593,100.4929914
17.12,661486.1612,1509597.116,661486.1704,1509596.781,13.65073747,100.4929914
17.28,661486.1601,1509597.282,661486.1658,1509596.95,13.650739,100.4929914
17.44,661486.1591,1509597.448,661486.1612,1509597.116,13.6507405,100.4929913
