time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
0.16,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
0.32,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
0.48,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
0.64,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
0.8,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
0.96,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
1.12,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
1.28,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
1.44,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
1.6,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
1.76,661488.1372,1509583.669,661488.1372,1509583.669,13.65061883,100.4930088
1.92,661488.1552,1509583.669,661488.1408,1509583.669,13.65061883,100.4930089
2.08,661488.1552,1509583.669,661488.1444,1509583.669,13.65061883,100.4930089
2.24,661488.1552,1509583.669,661488.148,1509583.669,13.65061883,100.4930089
2.4,661488.1552,1509583.669,661488.1516,1509583.669,13.65061883,100.493009
2.56,661488.1552,1509583.669,661488.1552,1509583.669,13.65061883,100.493009
2.72,661488.1552,1509583.669,661488.1552,1509583.669,13.65061883,100.493009
2.88,661488.1552,1509583.669,661488.1552,1509583.669,13.65061883,100.493009
3.04,661488.1552,1509583.669,661488.1552,1509583.669,13.65061883,100.493009
3.2,661488.1551,1509583.687,661488.1552,1509583.672,13.65061887,100.493009
3.36,661488.155,1509583.706,661488.1551,1509583.68,13.65061893,100.493009
3.52,661488.1546,1509583.761,661488.155,1509583.698,13.6506191,100.493009
3.68,661488.1544,1509583.798,661488.1549,1509583.724,13.65061933,100.493009
3.84,661488.154,1509583.871,661488.1546,1509583.765,13.6506197,100.493009
4,661488.1534,1509583.964,661488.1543,1509583.82,13.6506202,100.493009
4.16,661488.1527,1509584.074,661488.1538,1509583.894,13.65062087,100.493009
4.32,661488.1522,1509584.166,661488.1533,1509583.975,13.6506216,100.493009
4.48,661488.1695,1509584.277,661488.1563,1509584.071,13.65062247,100.493009
4.64,661488.1687,1509584.406,661488.1593,1509584.178,13.65062343,100.4930091
4.8,661488.1679,1509584.535,661488.1622,1509584.292,13.65062447,100.4930091
4.96,661488.1671,1509584.664,661488.1651,1509584.41,13.65062553,100.4930091
5.12,661488.1482,1509584.812,661488.1643,1509584.539,13.6506267,100.4930091
5.28,661488.1473,1509584.959,661488.1598,1509584.675,13.65062793,100.4930091
5.44,661488.1463,1509585.125,661488.1554,1509584.819,13.65062923,100.4930091
5.6,661488.1452,1509585.291,661488.1508,1509584.97,13.6506306,100.493009
5.76,661488.1443,1509585.439,661488.1463,1509585.125,13.650632,100.493009
5.92,661488.1613,1509585.605,661488.1489,1509585.284,13.65063343,100.493009
6.08,661488.1602,1509585.789,661488.1515,1509585.45,13.65063493,100.4930091
6.24,661488.1591,1509585.973,661488.154,1509585.619,13.65063647,100.4930091
6.4,661488.1579,1509586.158,661488.1566,1509585.793,13.65063803,100.4930091
6.56,661488.1568,1509586.342,661488.1591,1509585.973,13.65063967,100.4930092
6.72,661488.1375,1509586.545,661488.1543,1509586.162,13.65064137,100.4930091
6.88,661488.1364,1509586.729,661488.1495,1509586.35,13.65064307,100.4930091
7.04,661488.1351,1509586.932,661488.1448,1509586.541,13.6506448,100.4930091
7.2,661488.1338,1509587.153,661488.1399,1509586.74,13.6506466,100.493009
7.36,661488.1145,1509587.356,661488.1315,1509586.943,13.65064843,100.493009
7.52,661488.1133,1509587.559,661488.1266,1509587.146,13.65065027,100.4930089
7.68,661488.112,1509587.762,661488.1217,1509587.352,13.65065213,100.4930089
7.84,661488.0927,1509587.964,661488.1133,1509587.559,13.650654,100.4930088
8,661488.0914,1509588.186,661488.1048,1509587.765,13.65065587,100.4930088
8.16,661488.0721,1509588.388,661488.0963,1509587.972,13.65065773,100.4930087
8.32,661488.0708,1509588.591,661488.0878,1509588.178,13.6506596,100.4930086
8.48,661488.0517,1509588.775,661488.0757,1509588.381,13.65066143,100.4930085
8.64,661488.0504,1509588.978,661488.0673,1509588.584,13.65066327,100.4930085
8.8,661488.0492,1509589.181,661488.0588,1509588.783,13.65066507,100.4930084
8.96,661488.0479,1509589.384,661488.054,1509588.982,13.65066687,100.4930084
9.12,661488.0467,1509589.587,661488.0492,1509589.181,13.65066867,100.4930083
9.28,661488.0456,1509589.771,661488.048,1509589.38,13.65067047,100.4930083
9.44,661488.0443,1509589.974,661488.0467,1509589.579,13.65067227,100.4930083
9.6,661488.0432,1509590.158,661488.0455,1509589.775,13.65067403,100.4930083
9.76,661488.0419,1509590.361,661488.0443,1509589.97,13.6506758,100.4930083
9.92,661488.0407,1509590.564,661488.0431,1509590.166,13.65067757,100.4930083
10.08,661488.0393,1509590.785,661488.0419,1509590.368,13.6506794,100.4930083
10.24,661488.0561,1509590.988,661488.0442,1509590.571,13.65068123,100.4930084
10.4,661488.0729,1509591.191,661488.0502,1509590.778,13.6506831,100.4930084
10.56,661488.0716,1509591.394,661488.0561,1509590.984,13.65068497,100.4930085
10.72,661488.0703,1509591.615,661488.062,1509591.195,13.65068687,100.4930086
10.88,661488.069,1509591.818,661488.068,1509591.401,13.65068873,100.4930086
11.04,661488.0677,1509592.039,661488.0703,1509591.611,13.65069063,100.4930087
11.2,661488.0843,1509592.26,661488.0726,1509591.825,13.65069257,100.4930087
11.36,661488.083,1509592.482,661488.0749,1509592.043,13.65069453,100.4930087
11.52,661488.0816,1509592.703,661488.0771,1509592.26,13.6506965,100.4930088
11.68,661488.0803,1509592.924,661488.0794,1509592.482,13.6506985,100.4930088
11.84,661488.097,1509593.127,661488.0852,1509592.699,13.65070047,100.4930089
12,661488.0957,1509593.348,661488.0875,1509592.917,13.65070243,100.4930089
12.16,661488.0944,1509593.551,661488.0898,1509593.131,13.65070437,100.4930089
12.32,661488.0931,1509593.772,661488.0921,1509593.345,13.6507063,100.493009
12.48,661488.0918,1509593.975,661488.0944,1509593.555,13.6507082,100.493009
12.64,661488.0905,1509594.197,661488.0931,1509593.769,13.65071013,100.493009
12.8,661488.0712,1509594.399,661488.0882,1509593.979,13.65071203,100.493009
12.96,661488.0698,1509594.62,661488.0833,1509594.193,13.65071397,100.4930089
13.12,661488.0865,1509594.842,661488.082,1509594.407,13.6507159,100.4930089
13.28,661488.0671,1509595.063,661488.077,1509594.624,13.65071787,100.4930089
13.44,661488.0657,1509595.284,661488.0721,1509594.842,13.65071983,100.4930089
13.6,661488.0463,1509595.505,661488.0671,1509595.063,13.65072183,100.4930088
13.76,661488.063,1509595.727,661488.0657,1509595.284,13.65072383,100.4930088
13.92,661488.0796,1509595.967,661488.0644,1509595.509,13.65072587,100.4930088
14.08,661488.0781,1509596.206,661488.0666,1509595.738,13.65072793,100.4930089
14.24,661488.0587,1509596.427,661488.0651,1509595.966,13.65073,100.4930089
14.4,661488.0573,1509596.649,661488.0673,1509596.195,13.65073207,100.4930089
14.56,661488.056,1509596.87,661488.0659,1509596.424,13.65073413,100.4930089
14.72,661488.0366,1509597.091,661488.0573,1509596.649,13.65073617,100.4930088
14.88,661488.0533,1509597.312,661488.0524,1509596.87,13.65073817,100.4930088
15.04,661488.0519,1509597.534,661488.051,1509597.091,13.65074017,100.4930088
15.2,661488.0505,1509597.755,661488.0497,1509597.312,13.65074217,100.4930088
15.36,661488.0492,1509597.976,661488.0483,1509597.534,13.65074417,100.4930088
15.52,661488.0658,1509598.197,661488.0541,1509597.755,13.65074617,100.4930089
15.68,661488.0646,1509598.4,661488.0564,1509597.972,13.65074813,100.4930089
15.84,661488.0632,1509598.622,661488.0587,1509598.19,13.6507501,100.4930089
16,661488.08,1509598.824,661488.0646,1509598.404,13.65075203,100.493009
16.16,661488.0787,1509599.046,661488.0705,1509598.618,13.65075397,100.4930091
16.32,661488.0954,1509599.249,661488.0764,1509598.828,13.65075587,100.4930091
16.48,661488.1121,1509599.47,661488.0859,1509599.042,13.6507578,100.4930092
16.64,661488.1108,1509599.691,661488.0954,1509599.256,13.65075973,100.4930093
16.8,661488.1094,1509599.913,661488.1013,1509599.474,13.6507617,100.4930094
16.96,661488.1262,1509600.115,661488.1108,1509599.688,13.65076363,100.4930095
17.12,661488.1248,1509600.337,661488.1166,1509599.905,13.6507656,100.4930096
17.28,661488.1236,1509600.539,661488.1189,1509600.119,13.65076753,100.4930096
17.44,661488.1043,1509600.742,661488.1176,1509600.329,13.65076943,100.4930096
17.6,661488.1212,1509600.927,661488.12,1509600.532,13.65077127,100.4930096
17.76,661488.1019,1509601.129,661488.1152,1509600.735,13.6507731,100.4930096
17.92,661488.1186,1509601.351,661488.1139,1509600.938,13.65077493,100.4930096
18.08,661488.1173,1509601.554,661488.1127,1509601.141,13.65077677,100.4930096
18.24,661488.0982,1509601.738,661488.1114,1509601.34,13.65077857,100.4930096
18.4,661488.0968,1509601.959,661488.1066,1509601.546,13.65078043,100.4930096
18.56,661488.0957,1509602.143,661488.1053,1509601.749,13.65078227,100.4930096
18.72,661488.0765,1509602.328,661488.0969,1509601.944,13.65078403,100.4930095
18.88,661488.0933,1509602.531,661488.0921,1509602.14,13.6507858,100.4930095
19.04,661488.092,1509602.733,661488.0909,1509602.339,13.6507876,100.4930095
19.2,661488.0908,1509602.936,661488.0897,1509602.534,13.65078937,100.4930095
19.36,661488.0895,1509603.139,661488.0884,1509602.733,13.65079117,100.4930095
19.52,661488.0884,1509603.323,661488.0908,1509602.933,13.65079297,100.4930095
19.68,661488.087,1509603.545,661488.0896,1509603.135,13.6507948,100.4930095
19.84,661488.0679,1509603.729,661488.0847,1509603.334,13.6507966,100.4930095
20,661488.0666,1509603.932,661488.0799,1509603.534,13.6507984,100.4930094
20.16,661488.0833,1509604.153,661488.0787,1509603.736,13.65080023,100.4930094
20.32,661488.0821,1509604.356,661488.0774,1509603.943,13.6508021,100.4930094
20.48,661488.0808,1509604.559,661488.0761,1509604.146,13.65080393,100.4930094
20.64,661488.0976,1509604.762,661488.0821,1509604.352,13.6508058,100.4930095
20.8,661488.0963,1509604.965,661488.088,1509604.559,13.65080767,100.4930096
20.96,661488.0951,1509605.167,661488.0904,1509604.762,13.6508095,100.4930096
21.12,661488.1119,1509605.37,661488.0963,1509604.965,13.65081133,100.4930097
21.28,661488.1106,1509605.573,661488.1023,1509605.167,13.65081317,100.4930097
21.44,661488.1093,1509605.794,661488.1046,1509605.374,13.65081503,100.4930098
21.6,661488.108,1509605.997,661488.107,1509605.58,13.6508169,100.4930098
21.76,661488.1068,1509606.2,661488.1093,1509605.787,13.65081877,100.4930098
21.92,661488.0874,1509606.421,661488.1044,1509605.997,13.65082067,100.4930098
22.08,661488.086,1509606.642,661488.0995,1509606.211,13.6508226,100.4930098
22.24,661488.0666,1509606.863,661488.091,1509606.425,13.65082453,100.4930097
22.4,661488.0472,1509607.085,661488.0788,1509606.642,13.6508265,100.4930096
22.56,661488.046,1509607.287,661488.0667,1509606.86,13.65082847,100.4930095
22.72,661488.0266,1509607.509,661488.0545,1509607.077,13.65083043,100.4930094
22.88,661488.0071,1509607.748,661488.0387,1509607.298,13.65083243,100.4930093
23.04,661488.0238,1509607.97,661488.0301,1509607.52,13.65083443,100.4930092
23.2,661488.0224,1509608.191,661488.0252,1509607.741,13.65083643,100.4930092
23.36,661488.0209,1509608.43,661488.0202,1509607.969,13.6508385,100.4930091
23.52,661488.0376,1509608.652,661488.0224,1509608.198,13.65084057,100.4930092
23.68,661488.0361,1509608.891,661488.0282,1509608.427,13.65084263,100.4930092
23.84,661488.0348,1509609.113,661488.0304,1509608.655,13.6508447,100.4930093
24,661488.0153,1509609.352,661488.0289,1509608.888,13.6508468,100.4930093
24.16,661488.0318,1509609.592,661488.0311,1509609.12,13.6508489,100.4930093
24.32,661488.0303,1509609.832,661488.0297,1509609.356,13.65085103,100.4930093
24.48,661488.0107,1509610.09,661488.0246,1509609.596,13.6508532,100.4930093
24.64,661488.0093,1509610.33,661488.0195,1509609.839,13.6508554,100.4930092
24.8,661488.0078,1509610.569,661488.018,1509610.082,13.6508576,100.4930092
24.96,661488.0243,1509610.809,661488.0165,1509610.326,13.6508598,100.4930092
25.12,661488.0227,1509611.067,661488.015,1509610.573,13.65086203,100.4930092
25.28,661488.0213,1509611.307,661488.0171,1509610.816,13.65086423,100.4930093
25.44,661488.0197,1509611.565,661488.0192,1509611.063,13.65086647,100.4930093
25.6,661488.0182,1509611.805,661488.0212,1509611.311,13.6508687,100.4930093
