
############################################################   data hex round1  ###################################################################################

    canbustest@ubuntu:~/Documents$ /bin/python3 /home/canbustest/Documents/use70recv.py
    posix
    Message sent on Enable state data: Timestamp:        0.000000    ID: 06000001    X Rx                DL:  8    23 0d 20 01 00 00 00 00
    Angle_sent , 0 , Receive , Timestamp: 1679748604.643736    ID: 07000001    X Rx                DL:  8    01 aa 00 00 00 00 00 00     Channel: can0
    Angle_sent , 10 , Receive , Timestamp: 1679748605.643613    ID: 07000001    X Rx                DL:  8    02 25 ff fe 00 00 00 00     Channel: can0
    Angle_sent , 20 , Receive , Timestamp: 1679748606.643541    ID: 07000001    X Rx                DL:  8    03 af 00 00 00 00 00 00     Channel: can0
    Angle_sent , 30 , Receive , Timestamp: 1679748607.644032    ID: 07000001    X Rx                DL:  8    01 78 00 00 00 00 00 00     Channel: can0
    Angle_sent , 40 , Receive , Timestamp: 1679748608.644219    ID: 07000001    X Rx                DL:  8    03 28 00 00 00 00 00 00     Channel: can0
    Angle_sent , 50 , Receive , Timestamp: 1679748609.644496    ID: 07000001    X Rx                DL:  8    00 ef 00 00 00 00 00 00     Channel: can0
    Angle_sent , 60 , Receive , Timestamp: 1679748610.643787    ID: 07000001    X Rx                DL:  8    02 9f 00 00 00 00 00 00     Channel: can0
    Angle_sent , 70 , Receive , Timestamp: 1679748611.643870    ID: 07000001    X Rx                DL:  8    00 68 00 00 00 00 00 00     Channel: can0
    Angle_sent , 80 , Receive , Timestamp: 1679748612.644298    ID: 07000001    X Rx                DL:  8    02 18 00 00 00 00 00 00     Channel: can0
    Angle_sent , 90 , Receive , Timestamp: 1679748613.644043    ID: 07000001    X Rx                DL:  8    03 c7 00 00 00 00 00 00     Channel: can0
    Angle_sent , 100 , Receive , Timestamp: 1679748614.644426    ID: 07000001    X Rx                DL:  8    01 90 00 00 00 00 00 00     Channel: can0
    Angle_sent , 110 , Receive , Timestamp: 1679748615.644702    ID: 07000001    X Rx                DL:  8    03 3f 00 00 00 00 00 00     Channel: can0
    Angle_sent , 120 , Receive , Timestamp: 1679748616.644584    ID: 07000001    X Rx                DL:  8    01 07 00 00 00 00 00 00     Channel: can0
    Angle_sent , 130 , Receive , Timestamp: 1679748617.644295    ID: 07000001    X Rx                DL:  8    02 b8 00 00 00 00 00 00     Channel: can0
    Angle_sent , 140 , Receive , Timestamp: 1679748618.644455    ID: 07000001    X Rx                DL:  8    00 80 00 00 00 00 00 00     Channel: can0
    Angle_sent , 150 , Receive , Timestamp: 1679748619.644532    ID: 07000001    X Rx                DL:  8    02 31 00 00 00 00 00 00     Channel: can0
    Angle_sent , 160 , Receive , Timestamp: 1679748620.645525    ID: 07000001    X Rx                DL:  8    03 e1 00 00 00 00 00 00     Channel: can0
    Angle_sent , 170 , Receive , Timestamp: 1679748621.644996    ID: 07000001    X Rx                DL:  8    01 a7 00 00 00 00 00 00     Channel: can0
    Angle_sent , 180 , Receive , Timestamp: 1679748622.645309    ID: 07000001    X Rx                DL:  8    03 57 00 00 00 00 00 00     Channel: can0
    Angle_sent , 190 , Receive , Timestamp: 1679748623.644924    ID: 07000001    X Rx                DL:  8    01 20 00 00 00 00 00 00     Channel: can0
    Angle_sent , 200 , Receive , Timestamp: 1679748624.644949    ID: 07000001    X Rx                DL:  8    02 d0 00 00 00 00 00 00     Channel: can0
    Angle_sent , 210 , Receive , Timestamp: 1679748625.645068    ID: 07000001    X Rx                DL:  8    00 97 00 00 00 00 00 00     Channel: can0
    Angle_sent , 220 , Receive , Timestamp: 1679748626.645218    ID: 07000001    X Rx                DL:  8    02 48 00 00 00 00 00 00     Channel: can0
    Angle_sent , 230 , Receive , Timestamp: 1679748627.645256    ID: 07000001    X Rx                DL:  8    00 11 00 00 00 00 00 00     Channel: can0
    Angle_sent , 240 , Receive , Timestamp: 1679748628.645953    ID: 07000001    X Rx                DL:  8    01 c0 00 00 00 00 00 00     Channel: can0
    Angle_sent , 250 , Receive , Timestamp: 1679748629.645691    ID: 07000001    X Rx                DL:  8    03 6f 00 00 00 00 00 00     Channel: can0
    Angle_sent , 260 , Receive , Timestamp: 1679748630.645501    ID: 07000001    X Rx                DL:  8    01 38 00 00 00 00 00 00     Channel: can0
    Angle_sent , 270 , Receive , Timestamp: 1679748631.645955    ID: 07000001    X Rx                DL:  8    02 e8 00 00 00 00 00 00     Channel: can0
    Angle_sent , 280 , Receive , Timestamp: 1679748632.646120    ID: 07000001    X Rx                DL:  8    00 b1 00 00 00 00 00 00     Channel: can0
    Angle_sent , 290 , Receive , Timestamp: 1679748633.646295    ID: 07000001    X Rx                DL:  8    02 5e 00 00 00 00 00 00     Channel: can0
    Angle_sent , 300 , Receive , Timestamp: 1679748634.646691    ID: 07000001    X Rx                DL:  8    00 26 00 00 00 00 00 00     Channel: can0
    Angle_sent , 310 , Receive , Timestamp: 1679748635.646018    ID: 07000001    X Rx                DL:  8    01 d8 00 00 00 00 00 00     Channel: can0
    Angle_sent , 320 , Receive , Timestamp: 1679748636.646125    ID: 07000001    X Rx                DL:  8    03 86 00 00 00 00 00 00     Channel: can0
    Angle_sent , 330 , Receive , Timestamp: 1679748637.646480    ID: 07000001    X Rx                DL:  8    01 4d 00 00 00 00 00 00     Channel: can0
    Angle_sent , 340 , Receive , Timestamp: 1679748638.646651    ID: 07000001    X Rx                DL:  8    03 00 00 00 00 00 00 00     Channel: can0
    Angle_sent , 350 , Receive , Timestamp: 1679748639.646395    ID: 07000001    X Rx                DL:  8    00 c6 00 00 00 00 00 00     Channel: can0
    Angle_sent , 360 , Receive , Timestamp: 1679748640.647235    ID: 07000001    X Rx                DL:  8    02 78 00 00 00 00 00 00     Channel: can0
    Angle_sent , 370 , Receive , Timestamp: 1679748641.646909    ID: 07000001    X Rx                DL:  8    00 40 00 00 00 00 00 00     Channel: can0
    Angle_sent , 380 , Receive , Timestamp: 1679748642.646824    ID: 07000001    X Rx                DL:  8    01 ef 00 00 00 00 00 00     Channel: can0
