raw_x_east,raw_y_north,x_east,y_north
661486.9711,1509582.703,661486.9639,1509582.703
661486.9711,1509582.703,661486.9657,1509582.703
661486.9711,1509582.703,661486.9675,1509582.703
661486.953,1509582.702,661486.9675,1509582.703
661486.953,1509582.702,661486.9675,1509582.703
661486.953,1509582.702,661486.9657,1509582.703
661486.9711,1509582.703,661486.9657,1509582.703
661486.9711,1509582.703,661486.9657,1509582.703
661486.953,1509582.702,661486.9639,1509582.703
661486.9711,1509582.703,661486.9639,1509582.703
661486.9711,1509582.703,661486.9639,1509582.703
661486.9711,1509582.703,661486.9639,1509582.703
661486.9711,1509582.703,661486.9639,1509582.703
661486.9711,1509582.703,661486.9657,1509582.703
661486.9711,1509582.703,661486.9675,1509582.703
661486.9711,1509582.703,661486.9693,1509582.703
661486.9711,1509582.703,661486.9693,1509582.703
661486.9711,1509582.703,661486.9693,1509582.703
661486.9711,1509582.703,661486.9711,1509582.703
661486.9711,1509582.703,661486.9711,1509582.703
661486.9711,1509582.703,661486.9711,1509582.703
661486.9711,1509582.703,661486.9711,1509582.703
661486.9711,1509582.703,661486.9711,1509582.703
661486.9711,1509582.703,661486.9711,1509582.703
661486.9711,1509582.703,661486.9711,1509582.703
661486.9711,1509582.703,661486.9711,1509582.703
661486.9711,1509582.703,661486.9711,1509582.703
661486.971,1509582.721,661486.9711,1509582.704
661486.9709,1509582.739,661486.971,1509582.708
661486.9706,1509582.776,661486.971,1509582.715
661486.9704,1509582.813,661486.9709,1509582.727
661486.9701,1509582.869,661486.9708,1509582.743
661486.9697,1509582.924,661486.9707,1509582.765
661486.9693,1509582.998,661486.9705,1509582.795
661486.9688,1509583.071,661486.9703,1509582.832
661486.9682,1509583.164,661486.97,1509582.878
661486.9676,1509583.274,661486.9697,1509582.935
661486.9668,1509583.403,661486.9692,1509583.003
661486.9659,1509583.551,661486.9687,1509583.084
661486.9648,1509583.717,661486.9682,1509583.178
661486.9637,1509583.901,661486.9675,1509583.287
661486.9626,1509584.085,661486.9667,1509583.409
661486.9614,1509584.27,661486.9659,1509583.543
661486.9602,1509584.473,661486.965,1509583.691
661486.9589,1509584.675,661486.964,1509583.851
661486.9396,1509584.897,661486.9611,1509584.025
661486.9381,1509585.136,661486.9582,1509584.211
661486.9366,1509585.376,661486.9552,1509584.408
661486.9349,1509585.652,661486.9521,1509584.618
661486.9152,1509585.929,661486.9471,1509584.839
661486.9134,1509586.224,661486.9421,1509585.072
661486.8935,1509586.519,661486.9352,1509585.315
661486.8918,1509586.795,661486.9282,1509585.568
661486.89,1509587.09,661486.9212,1509585.829
661486.8882,1509587.385,661486.9141,1509586.1
661486.8865,1509587.662,661486.9088,1509586.377
661486.8848,1509587.939,661486.9035,1509586.657
661486.883,1509588.234,661486.8981,1509586.943
661486.8813,1509588.51,661486.8928,1509587.229
661486.8975,1509588.805,661486.891,1509587.516
661486.9136,1509589.119,661486.891,1509587.806
661486.9118,1509589.414,661486.8928,1509588.095
661486.9098,1509589.727,661486.8946,1509588.388
661486.908,1509590.022,661486.8964,1509588.682
661486.9062,1509590.317,661486.8982,1509588.975
661486.9044,1509590.612,661486.9,1509589.27
