time_operate,x_east,y_north,cte,yaw_control
0.0,661487.5991170724,1509530.4339295186,0,0
0.16,661487.5991170724,1509530.4339295186,0,0
0.32,661487.5991170724,1509530.4339295186,0,0
0.48,661487.5991170724,1509530.4339295186,0,0
0.64,661487.5991170724,1509530.4339295186,0,0
0.8,661487.5991170724,1509530.4339295186,0,0
0.96,661487.5991170724,1509530.4339295186,0,0
1.12,661487.5991170724,1509530.4339295186,0,0
1.28,661487.5991170724,1509530.4339295186,0,0
1.44,661487.5991170724,1509530.4339295186,0,0
1.6,661487.6172613134,1509530.4156028428,0,0
1.76,661487.6172613134,1509530.4156028428,0,0
1.92,661487.6172613134,1509530.4156028428,0,0
2.08,661487.6171479063,1509530.4340404237,0,0
2.24,661487.6171479063,1509530.4340404237,0,0
2.4,661487.6171479063,1509530.4340404237,0,0
2.56,661487.6171479063,1509530.4340404237,0,0
2.72,661487.6171479063,1509530.4340404237,0,0
2.88,661487.6351787401,1509530.434151329,0,0
3.04,661487.6172613134,1509530.4156028428,0,0
3.2,661487.6172613134,1509530.4156028428,0,0
3.36,661487.6172613134,1509530.4156028428,0,0
3.52,661487.6172613134,1509530.4156028428,0,0
3.68,661487.6352921472,1509530.4157137482,0,0
3.84,661487.6352921472,1509530.4157137482,0,0
4.0,661487.6352921472,1509530.4157137482,0,0
4.16,661487.6352921472,1509530.4157137482,0,0
4.32,661487.6352921472,1509530.4157137482,0,0
4.48,661487.6352921472,1509530.4157137482,0,0
4.64,661487.6352921472,1509530.4157137482,0,0
4.8,661487.6352921472,1509530.4157137482,0,0
4.96,661487.6533229811,1509530.415824653,0,0
5.12,661487.6533229811,1509530.415824653,0,0
5.28,661487.6533229811,1509530.415824653,0,0
5.44,661487.6533229811,1509530.415824653,0,0
5.6,661487.6533229811,1509530.415824653,0,0
5.76,661487.6533229811,1509530.415824653,0,0
5.92,661487.6533229811,1509530.415824653,0,0
6.08,661487.6533229811,1509530.415824653,0,0
6.24,661487.671353815,1509530.4159355583,0,0
6.4,661487.671353815,1509530.4159355583,0,0
6.56,661487.671353815,1509530.4159355583,0,0
6.72,661487.6533229811,1509530.415824653,0,0
6.88,661487.671353815,1509530.4159355583,0,0
7.04,661487.671353815,1509530.4159355583,0,0
7.2,661487.671353815,1509530.4159355583,0,0
7.36,661487.671353815,1509530.4159355583,0,0
7.52,661487.671353815,1509530.4159355583,0,0
7.68,661487.671353815,1509530.4159355583,0,0
7.84,661487.671353815,1509530.4159355583,0,0
8.0,661487.671353815,1509530.4159355583,0,0
8.16,661487.671240408,1509530.4343731392,0,0
8.32,661487.6893846489,1509530.4160464637,0,0
8.48,661487.6893846489,1509530.4160464637,0,0
8.64,661487.6893846489,1509530.4160464637,0,0
8.8,661487.6892712419,1509530.4344840446,0,0
8.96,661487.6892712419,1509530.4344840446,0,0
9.12,661487.6893846489,1509530.4160464637,0,0
9.28,661487.6892712419,1509530.4344840446,0,0
9.44,661487.7073020758,1509530.4345949495,0,0
9.6,661487.7073020758,1509530.4345949495,0,0
9.76,661487.7073020758,1509530.4345949495,0,0
9.92,661487.7074154828,1509530.4161573688,0,0
10.08,661487.7074154828,1509530.4161573688,0,0
10.24,661487.7254463168,1509530.4162682742,0,0
10.4,661487.7074154828,1509530.4161573688,0,0
10.56,661487.7254463168,1509530.4162682742,0,0
10.72,661487.7254463168,1509530.4162682742,0,0
10.88,661487.7252195026,1509530.4531434358,0,0
11.04,661487.7069618546,1509530.4899076917,0,0
11.2,661487.7065082265,1509530.5636580156,0,0
11.36,661487.7059411912,1509530.65584592,0,0
11.52,661487.7052607487,1509530.766471405,0,0
11.68,661487.7046937133,1509530.8586593096,0,0
11.84,661487.6859824373,1509530.9691738898,0,0
12.0,661487.7033328284,1509531.0799102804,0,0
12.16,661487.7026523857,1509531.1905357656,0,0
12.32,661487.6838277027,1509531.319487927,0,0
12.48,661487.6829204459,1509531.4669885742,0,0
12.64,661487.6640957629,1509531.5959407354,0,0
12.8,661487.681219339,1509531.7435522883,0,0
12.96,661487.6622812491,1509531.89094203,0,0
13.12,661487.6433431591,1509532.038331772,0,0
13.28,661487.642322495,1509532.2042699999,0,0
13.44,661487.6414152379,1509532.3517706473,0,0
13.6,661487.6403945734,1509532.5177088755,0,0
13.76,661487.6213430766,1509532.6835361982,0,0
13.92,661487.6203224121,1509532.8494744266,0,0
14.08,661487.6011575081,1509533.03373933,0,0
14.24,661487.5640751795,1509533.1994557476,0,0
14.4,661487.5629411079,1509533.383831557,0,0
14.56,661487.561807036,1509533.5682073657,0,0
14.72,661487.5426421325,1509533.752472269,0,0
14.88,661487.5235906362,1509533.918299592,0,0
15.04,661487.5044257329,1509534.1025644962,0,0
15.2,661487.4851474225,1509534.3052669805,0.16254708155202102,0
15.36,661487.4659825166,1509534.4895318842,0.17936422016243223,14.04853409396117
15.52,661487.4286733755,1509534.6921234636,0.21409077268301596,16.793600621922813
15.68,661487.40962188,1509534.8579507864,0.2310292726225922,18.154078593555603
15.84,661487.3904569746,1509535.04221569,0.24784641075866853,19.50794925799853
16.0,661487.3532612416,1509535.2263696885,0.2826943269800917,22.274144758856153
16.16,661487.3340963393,1509535.4106345924,0.29951146198555784,23.636798237820052
16.32,661487.3149314371,1509535.594899496,-0.31632859680129005,-24.452502209010298
16.48,661487.2958799424,1509535.7607268193,-0.33326709617166445,-25.830360566248686
16.64,661487.2769418549,1509535.9081165614,-0.3503269598120801,-27.22058551336916
16.8,661487.2578903602,1509536.073943884,-0.36726545899272056,-28.60422357748788
16.96,661487.2208080359,1509536.239660302,-0.4022347382509143,-31.400207265129644
17.12,661487.1837257119,1509536.4053767195,-0.4372040172245072,-34.20213570799805
17.28,661487.1647876222,1509536.552766462,-0.4542638831417303,-35.61003010967555
17.44,661487.1458495355,1509536.700156204,-0.4713237461180771,-37.020824458670674
17.6,661487.1087672124,1509536.865872622,-0.5062930241430003,-39.83449795871899
17.76,661487.0898291231,1509537.013262364,-0.5233528896807554,-41.25413746190963
17.92,661487.0708910369,1509537.1606521062,-0.5404127521827674,-42.67667690493763
18.08,661487.0519529507,1509537.3080418482,-0.5574726146847794,-44.102116524590976
18.24,661487.0150974428,1509537.4368831045,-0.5926846209651842,-46.94940940002663
18.4,661486.9961593569,1509537.584272847,-0.6097444831825951,-48.383735215125725
18.56,661486.9772212711,1509537.7316625891,-0.6268043452102723,-49.82096119197029
18.72,661486.9583965926,1509537.8606147505,-0.6439855716028576,-51.270574397764435
18.88,661486.9394585071,1509538.0080044928,-0.6610454334408007,-52.71362134480893
19.04,661486.920633829,1509538.136956654,-0.6782266596436521,-54.16905552077076
19.2,661486.9018091507,1509538.2659088157,-0.6954078859413705,-55.62741051260282
19.36,661486.8828710655,1509538.4132985582,-0.7124677473998458,-57.079199223421874
19.52,661486.8459021524,1509538.5605773951,-0.7475583873231357,-59.94335406328342
19.68,661486.8451083028,1509538.6896404617,-0.7467088343971036,-60.004029436900424
19.84,661486.826170218,1509538.837030204,-0.7637686955709779,-61.46453928670969
20.0,661486.8072321332,1509538.9844199468,-0.7808285564602513,-62.92794929067125
20.16,661486.7703766252,1509539.113261203,-0.81604056293039,-65.81321269104023
20.32,661486.7514385409,1509539.2606509451,-0.8331004235350625,-67.28550889020566
20.48,661486.7505312843,1509539.4081515924,-0.8321295060543881,-67.3512393427423
20.64,661486.7315932,1509539.555541335,-0.8491893664693266,-68.82627064740728
20.8,661486.712768523,1509539.684493496,-0.8663705915337743,-70.31368920299495
20.96,661486.7118612665,1509539.831994144,-0.865399673768499,-70.38507556184412
21.12,661486.7110674168,1509539.9610572106,-0.8645501211270677,-70.46578397640408
21.28,661486.6921293301,1509540.108446953,-0.8816099840085476,-71.94632697844096
21.44,661486.6551604192,1509540.25572579,-0.9167006216550302,-74.83923582054796
21.6,661486.6542531626,1509540.4032264375,-0.9157297041743558,-74.919178306765
21.76,661486.635315079,1509540.55061618,-0.9327895639252255,-76.40842159320013
21.92,661486.6164904026,1509540.6795683417,-0.9499707883256044,-77.91005213044504
22.08,661486.5975523193,1509540.826958084,-0.9670306478867401,-79.40511638635436
22.24,661486.5966450626,1509540.9744587317,-0.9660597304060657,-79.49361497703079
22.4,661486.595851213,1509541.1035217985,-0.9652101775749006,-79.59143558638765
22.56,661486.594943956,1509541.251022446,-0.9642392603788271,-79.67962471935832
22.72,661486.5940366992,1509541.3985230937,-0.9632683430878867,-79.7676487889899
22.88,661486.5749852088,1509541.5643504171,-0.9802068378097792,-81.25548653972518
23.04,661486.5739645447,1509541.730288646,-0.9791145559641966,-81.33673803028366
23.2,661486.5730572876,1509541.8777892932,-0.97814363886299,-81.42729091499625
23.36,661486.5720366233,1509542.0437275216,-0.9770513572071414,-81.50819167656527
23.52,661486.5711293659,1509542.1912281695,-0.9760804403905359,-81.59839383973642
23.68,661486.5701087014,1509542.357166398,-0.974988159019288,-81.67894387981238
