Speed_time,Speed_velocity,Speed_Setpoint,Speed_adjust,Speed_error
2.72,0.0,3.0,0.0,0.0
2.88,0.0,3.0,0.0,0.0
3.04,0.0,3.0,0.0,0.0
3.2,0.0,3.0,0.0,0.0
3.36,0.28,3.0,0.0,0.0
3.52,0.31,3.0,-2.2317638397216797,3.0
3.68,0.28,3.0,-2.2317638397216797,3.0
3.84,0.3,3.0,-2.2317638397216797,3.0
4.0,0.32,3.0,-2.2317638397216797,3.0
4.16,0.33,3.0,-2.2317638397216797,3.0
4.32,0.31,3.0,-2.2317638397216797,3.0
4.48,0.31,3.0,-2.5212013721466064,2.7200000286102295
4.64,0.34,3.0,-2.5212013721466064,2.7200000286102295
4.8,0.32,3.0,-2.5212013721466064,2.7200000286102295
4.96,0.32,3.0,-2.5212013721466064,2.7200000286102295
5.12,0.32,3.0,-2.5212013721466064,2.7200000286102295
5.28,0.3,3.0,-2.5212013721466064,2.7200000286102295
5.44,0.33,3.0,-2.135564088821411,2.690000057220459
5.6,0.33,3.0,-2.135564088821411,2.690000057220459
5.76,0.33,3.0,-2.135564088821411,2.690000057220459
5.92,0.35,3.0,-2.135564088821411,2.690000057220459
6.08,0.35,3.0,-2.135564088821411,2.690000057220459
6.24,0.35,3.0,-2.135564088821411,2.690000057220459
6.4,0.35,3.0,-2.00740385055542,2.6700000762939453
6.56,0.38,3.0,-2.00740385055542,2.6700000762939453
6.72,0.35,3.0,-2.00740385055542,2.6700000762939453
6.88,0.38,3.0,-2.00740385055542,2.6700000762939453
7.04,0.38,3.0,-2.00740385055542,2.6700000762939453
7.2,0.36,3.0,-2.00740385055542,2.6700000762939453
Speed_time,Speed_velocity,Speed_Setpoint,Speed_adjust,Speed_error
2.4,0.0,3.0,0.0,0.0
2.56,0.0,3.0,0.0,0.0
2.72,0.0,3.0,0.0,0.0
2.88,0.0,3.0,0.0,0.0
3.04,0.0,3.0,-2.402402877807617,3.0
3.2,0.0,3.0,-2.402402877807617,3.0
3.36,0.52,3.0,-2.402402877807617,3.0
3.52,0.54,3.0,-2.402402877807617,3.0
3.68,0.54,3.0,-2.402402877807617,3.0
3.84,0.54,3.0,-2.402402877807617,3.0
4.0,0.54,3.0,-2.402402877807617,3.0
4.16,0.52,3.0,-2.258401870727539,3.0
4.32,0.54,3.0,-2.258401870727539,3.0
4.48,0.52,3.0,-2.258401870727539,3.0
4.64,0.54,3.0,-2.258401870727539,3.0
4.8,0.54,3.0,-2.258401870727539,3.0
4.96,0.54,3.0,-2.258401870727539,3.0
5.12,0.54,3.0,-2.899522304534912,2.4800000190734863
5.28,0.52,3.0,-2.899522304534912,2.4800000190734863
5.44,0.52,3.0,-2.899522304534912,2.4800000190734863
5.6,0.5,3.0,-2.899522304534912,2.4800000190734863
5.76,0.5,3.0,-2.899522304534912,2.4800000190734863
5.92,0.5,3.0,-2.899522304534912,2.4800000190734863
6.08,0.5,3.0,-2.291442394256592,2.4600000381469727
6.24,0.5,3.0,-2.291442394256592,2.4600000381469727
6.4,0.48,3.0,-2.291442394256592,2.4600000381469727
6.56,0.48,3.0,-2.291442394256592,2.4600000381469727
6.72,0.46,3.0,-2.291442394256592,2.4600000381469727
6.88,0.46,3.0,-2.291442394256592,2.4600000381469727
7.04,0.44,3.0,-2.291442394256592,2.4600000381469727
7.2,0.45,3.0,-2.0914430618286133,2.5
7.36,0.43,3.0,-2.0914430618286133,2.5
7.52,0.41,3.0,-2.0914430618286133,2.5
7.68,0.38,3.0,-2.0914430618286133,2.5
7.84,0.36,3.0,-2.0914430618286133,2.5
8.0,0.36,3.0,-2.0914430618286133,2.5
8.16,0.36,3.0,-1.9136440753936768,2.549999952316284
8.32,0.36,3.0,-1.9136440753936768,2.549999952316284
8.48,0.36,3.0,-1.9136440753936768,2.549999952316284
8.64,0.34,3.0,-1.9136440753936768,2.549999952316284
8.8,0.34,3.0,-1.9136440753936768,2.549999952316284
8.96,0.34,3.0,-1.9136440753936768,2.549999952316284
9.12,0.34,3.0,-1.7019236087799072,2.6399998664855957
9.28,0.32,3.0,-1.7019236087799072,2.6399998664855957
9.44,0.32,3.0,-1.7019236087799072,2.6399998664855957
9.6,0.32,3.0,-1.7019236087799072,2.6399998664855957
9.76,0.32,3.0,-1.7019236087799072,2.6399998664855957
9.92,0.32,3.0,-1.7019236087799072,2.6399998664855957
10.08,0.32,3.0,-1.7019236087799072,2.6399998664855957
