time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
0.16,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
0.32,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
0.48,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
0.64,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
0.8,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
0.96,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
1.12,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
1.28,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
1.44,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
1.6,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
1.76,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
1.92,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
2.08,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
2.24,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
2.4,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
2.56,661487.0354,1509583.975,661487.0354,1509583.975,13.65062167,100.4929987
2.72,661487.0353,1509583.994,661487.0354,1509583.979,13.6506217,100.4929987
2.88,661487.035,1509584.031,661487.0353,1509583.99,13.6506218,100.4929987
3.04,661487.0348,1509584.067,661487.0352,1509584.008,13.65062197,100.4929987
3.2,661487.0344,1509584.141,661487.035,1509584.042,13.65062227,100.4929987
3.36,661487.0159,1509584.215,661487.0311,1509584.09,13.6506227,100.4929986
3.52,661487.0333,1509584.307,661487.0307,1509584.152,13.65062327,100.4929986
3.68,661487.0147,1509584.399,661487.0266,1509584.226,13.65062393,100.4929986
3.84,661487.0141,1509584.51,661487.0225,1509584.314,13.65062473,100.4929986
4,661487.0135,1509584.602,661487.0183,1509584.407,13.65062557,100.4929985
4.16,661487.0128,1509584.713,661487.0177,1509584.506,13.65062647,100.4929985
4.32,661487.0121,1509584.823,661487.0134,1509584.609,13.6506274,100.4929985
4.48,661487.0113,1509584.952,661487.0128,1509584.72,13.6506284,100.4929985
4.64,661487.0105,1509585.081,661487.0121,1509584.834,13.65062943,100.4929985
4.8,661486.9917,1509585.21,661487.0077,1509584.956,13.65063053,100.4929985
4.96,661486.9909,1509585.339,661487.0033,1509585.081,13.65063167,100.4929984
5.12,661486.9901,1509585.468,661486.9989,1509585.21,13.65063283,100.4929984
5.28,661486.9893,1509585.598,661486.9945,1509585.339,13.650634,100.4929984
5.44,661486.9704,1509585.745,661486.9865,1509585.472,13.6506352,100.4929983
5.6,661486.9696,1509585.874,661486.9821,1509585.605,13.6506364,100.4929983
5.76,661486.9687,1509586.021,661486.9776,1509585.741,13.65063763,100.4929982
5.92,661486.9678,1509586.169,661486.9732,1509585.881,13.6506389,100.4929982
6.08,661486.967,1509586.298,661486.9687,1509586.021,13.65064017,100.4929982
6.24,661486.9661,1509586.446,661486.9678,1509586.162,13.65064143,100.4929982
6.4,661486.9652,1509586.593,661486.9669,1509586.305,13.65064273,100.4929982
6.56,661486.9643,1509586.741,661486.9661,1509586.449,13.65064403,100.4929982
6.72,661486.9634,1509586.888,661486.9652,1509586.593,13.65064533,100.4929982
6.88,661486.9626,1509587.017,661486.9643,1509586.737,13.65064663,100.4929982
7.04,661486.9617,1509587.165,661486.9634,1509586.881,13.65064793,100.4929982
7.2,661486.9427,1509587.312,661486.9589,1509587.024,13.65064923,100.4929981
7.36,661486.9419,1509587.441,661486.9545,1509587.165,13.6506505,100.4929981
7.52,661486.941,1509587.589,661486.95,1509587.305,13.65065177,100.4929981
7.68,661486.9401,1509587.736,661486.9455,1509587.448,13.65065307,100.492998
7.84,661486.9393,1509587.865,661486.941,1509587.589,13.65065433,100.492998
8,661486.9204,1509588.012,661486.9366,1509587.729,13.6506556,100.492998
8.16,661486.9013,1509588.178,661486.9284,1509587.876,13.65065693,100.4929979
8.32,661486.9185,1509588.326,661486.9239,1509588.024,13.65065827,100.4929979
8.48,661486.9177,1509588.455,661486.9194,1509588.167,13.65065957,100.4929978
8.64,661486.9168,1509588.603,661486.9149,1509588.315,13.6506609,100.4929978
8.8,661486.8978,1509588.75,661486.9104,1509588.462,13.65066223,100.4929978
8.96,661486.9151,1509588.879,661486.9132,1509588.602,13.6506635,100.4929978
9.12,661486.914,1509589.045,661486.9123,1509588.746,13.6506648,100.4929978
9.28,661486.8951,1509589.192,661486.9078,1509588.894,13.65066613,100.4929978
9.44,661486.8942,1509589.34,661486.9032,1509589.041,13.65066747,100.4929977
9.6,661486.8933,1509589.487,661486.9023,1509589.189,13.6506688,100.4929977
9.76,661486.9104,1509589.635,661486.9014,1509589.34,13.65067017,100.4929977
9.92,661486.9094,1509589.801,661486.9005,1509589.491,13.65067153,100.4929977
10.08,661486.9084,1509589.967,661486.9031,1509589.646,13.65067293,100.4929978
10.24,661486.9075,1509590.114,661486.9058,1509589.801,13.65067433,100.4929978
10.4,661486.8884,1509590.28,661486.9048,1509589.959,13.65067577,100.4929978
10.56,661486.8875,1509590.428,661486.9002,1509590.118,13.6506772,100.4929978
10.72,661486.8865,1509590.594,661486.8956,1509590.277,13.65067863,100.4929977
10.88,661486.8855,1509590.76,661486.8911,1509590.435,13.65068007,100.4929977
11.04,661486.8844,1509590.926,661486.8865,1509590.597,13.65068153,100.4929977
11.2,661486.8834,1509591.091,661486.8855,1509590.76,13.650683,100.4929977
11.36,661486.8825,1509591.239,661486.8845,1509590.922,13.65068447,100.4929977
11.52,661486.8815,1509591.405,661486.8835,1509591.084,13.65068593,100.4929977
11.68,661486.8986,1509591.553,661486.8861,1509591.243,13.65068737,100.4929977
11.84,661486.8976,1509591.718,661486.8887,1509591.401,13.6506888,100.4929977
12,661486.8966,1509591.884,661486.8914,1509591.56,13.65069023,100.4929978
12.16,661486.8955,1509592.05,661486.894,1509591.722,13.6506917,100.4929978
12.32,661486.8946,1509592.198,661486.8966,1509591.881,13.65069313,100.4929978
12.48,661486.8936,1509592.364,661486.8956,1509592.043,13.6506946,100.4929978
12.64,661486.8926,1509592.53,661486.8946,1509592.205,13.65069607,100.4929978
12.8,661486.8916,1509592.696,661486.8936,1509592.367,13.65069753,100.4929978
12.96,661486.8906,1509592.862,661486.8926,1509592.53,13.650699,100.4929978
13.12,661486.8895,1509593.028,661486.8916,1509592.696,13.6507005,100.4929978
13.28,661486.8885,1509593.193,661486.8906,1509592.862,13.650702,100.4929978
13.44,661486.8875,1509593.359,661486.8895,1509593.028,13.6507035,100.4929978
13.6,661486.8865,1509593.525,661486.8885,1509593.193,13.650705,100.4929978
13.76,661486.8856,1509593.673,661486.8875,1509593.356,13.65070647,100.4929978
13.92,661486.8845,1509593.839,661486.8865,1509593.518,13.65070793,100.4929978
14.08,661486.8835,1509594.005,661486.8855,1509593.68,13.6507094,100.4929978
14.24,661486.8645,1509594.171,661486.8809,1509593.842,13.65071087,100.4929978
14.4,661486.8815,1509594.337,661486.8799,1509594.005,13.65071233,100.4929978
14.56,661486.8805,1509594.503,661486.8789,1509594.171,13.65071383,100.4929978
14.72,661486.8793,1509594.687,661486.8779,1509594.34,13.65071537,100.4929978
14.88,661486.8602,1509594.871,661486.8732,1509594.514,13.65071693,100.4929978
15.04,661486.841,1509595.055,661486.8685,1509594.691,13.65071853,100.4929977
15.2,661486.8579,1509595.24,661486.8638,1509594.871,13.65072017,100.4929977
15.36,661486.8569,1509595.406,661486.8591,1509595.052,13.6507218,100.4929977
15.52,661486.8378,1509595.572,661486.8508,1509595.229,13.6507234,100.4929976
15.68,661486.8367,1509595.756,661486.8461,1509595.406,13.650725,100.4929976
15.84,661486.8356,1509595.94,661486.845,1509595.583,13.6507266,100.4929976
16,661486.8525,1509596.125,661486.8439,1509595.76,13.6507282,100.4929976
16.16,661486.8512,1509596.328,661486.8427,1509595.944,13.65072987,100.4929976
16.32,661486.8501,1509596.512,661486.8452,1509596.132,13.65073157,100.4929976
16.48,661486.8489,1509596.696,661486.8476,1509596.32,13.65073327,100.4929976
16.64,661486.8478,1509596.881,661486.8501,1509596.508,13.65073497,100.4929977
16.8,661486.8467,1509597.065,661486.8489,1509596.696,13.65073667,100.4929977
16.96,661486.8454,1509597.268,661486.8478,1509596.885,13.65073837,100.4929977
17.12,661486.8263,1509597.452,661486.843,1509597.073,13.65074007,100.4929976
17.28,661486.8251,1509597.637,661486.8383,1509597.261,13.65074177,100.4929976
17.44,661486.824,1509597.821,661486.8335,1509597.449,13.65074347,100.4929976
17.6,661486.8227,1509598.024,661486.8287,1509597.64,13.6507452,100.4929975
17.76,661486.8216,1509598.208,661486.8239,1509597.828,13.6507469,100.4929975
17.92,661486.8023,1509598.411,661486.8192,1509598.02,13.65074863,100.4929975
18.08,661486.8192,1509598.595,661486.818,1509598.212,13.65075037,100.4929975
18.24,661486.818,1509598.798,661486.8168,1509598.407,13.65075213,100.4929975
18.4,661486.7988,1509598.983,661486.812,1509598.599,13.65075387,100.4929974
18.56,661486.8156,1509599.185,661486.8108,1509598.795,13.65075563,100.4929974
18.72,661486.8145,1509599.37,661486.8132,1509598.986,13.65075737,100.4929975
18.88,661486.8132,1509599.573,661486.812,1509599.182,13.65075913,100.4929975
19.04,661486.8121,1509599.757,661486.8108,1509599.373,13.65076087,100.4929975
19.2,661486.8108,1509599.96,661486.8132,1509599.569,13.65076263,100.4929975
19.36,661486.8096,1509600.163,661486.812,1509599.764,13.6507644,100.4929975
19.52,661486.8085,1509600.347,661486.8108,1509599.96,13.65076617,100.4929975
19.68,661486.8072,1509600.55,661486.8096,1509600.155,13.65076793,100.4929975
19.84,661486.8061,1509600.734,661486.8084,1509600.351,13.6507697,100.4929975
20,661486.8049,1509600.919,661486.8073,1509600.542,13.65077143,100.4929975
20.16,661486.8038,1509601.103,661486.8061,1509600.731,13.65077313,100.4929975
20.32,661486.8027,1509601.287,661486.8049,1509600.919,13.65077483,100.4929975
20.48,661486.8015,1509601.472,661486.8038,1509601.103,13.6507765,100.4929975
20.64,661486.8004,1509601.656,661486.8027,1509601.287,13.65077817,100.4929975
20.8,661486.7994,1509601.822,661486.8016,1509601.468,13.6507798,100.4929975
20.96,661486.7982,1509602.006,661486.8004,1509601.649,13.65078143,100.4929975
21.12,661486.8153,1509602.172,661486.803,1509601.826,13.65078303,100.4929975
21.28,661486.8142,1509602.338,661486.8055,1509601.999,13.6507846,100.4929976
21.44,661486.8312,1509602.504,661486.8117,1509602.169,13.65078613,100.4929976
21.6,661486.8122,1509602.67,661486.8142,1509602.338,13.65078767,100.4929977
21.76,661486.8292,1509602.836,661486.8204,1509602.504,13.65078917,100.4929977
21.92,661486.8283,1509602.984,661486.823,1509602.667,13.65079063,100.4929978
22.08,661486.8272,1509603.168,661486.8256,1509602.833,13.65079213,100.4929978
22.24,661486.8263,1509603.316,661486.8246,1509602.995,13.6507936,100.4929978
22.4,661486.8253,1509603.463,661486.8273,1509603.153,13.65079503,100.4929978
22.56,661486.8243,1509603.629,661486.8263,1509603.312,13.65079647,100.4929978
22.72,661486.8233,1509603.795,661486.8253,1509603.474,13.65079793,100.4929978
22.88,661486.8224,1509603.943,661486.8243,1509603.629,13.65079933,100.4929978
23.04,661486.8394,1509604.109,661486.827,1509603.788,13.65080077,100.4929979
23.2,661486.8384,1509604.275,661486.8296,1509603.95,13.65080223,100.4929979
23.36,661486.8374,1509604.44,661486.8322,1509604.112,13.6508037,100.4929979
23.52,661486.8544,1509604.607,661486.8384,1509604.275,13.65080517,100.492998
23.68,661486.8535,1509604.754,661486.8446,1509604.437,13.65080663,100.4929981
23.84,661486.8523,1509604.938,661486.8472,1509604.603,13.65080813,100.4929981
24,661486.8693,1509605.104,661486.8534,1509604.769,13.65080963,100.4929982
24.16,661486.8682,1509605.289,661486.8595,1509604.938,13.65081117,100.4929982
24.32,661486.8672,1509605.455,661486.8621,1509605.108,13.6508127,100.4929983
24.48,661486.8841,1509605.639,661486.8682,1509605.285,13.6508143,100.4929983
24.64,661486.8831,1509605.805,661486.8744,1509605.459,13.65081587,100.4929984
24.8,661486.8818,1509606.008,661486.8769,1509605.639,13.6508175,100.4929984
24.96,661486.8987,1509606.193,661486.883,1509605.82,13.65081913,100.4929985
25.12,661486.8977,1509606.358,661486.8891,1509606.001,13.65082077,100.4929986
25.28,661486.8784,1509606.561,661486.8879,1509606.185,13.65082243,100.4929986
25.44,661486.8773,1509606.746,661486.8868,1509606.373,13.65082413,100.4929986
25.6,661486.8763,1509606.911,661486.8857,1509606.554,13.65082577,100.4929986
25.76,661486.875,1509607.114,661486.8809,1509606.738,13.65082743,100.4929985
25.92,661486.8738,1509607.317,661486.8761,1509606.93,13.65082917,100.4929985
26.08,661486.8726,1509607.501,661486.875,1509607.118,13.65083087,100.4929985
26.24,661486.8894,1509607.704,661486.8774,1509607.31,13.6508326,100.4929985
26.4,661486.8883,1509607.889,661486.8798,1509607.505,13.65083437,100.4929986
26.56,661486.8689,1509608.11,661486.8786,1509607.704,13.65083617,100.4929986
26.72,661486.8676,1509608.313,661486.8774,1509607.903,13.65083797,100.4929986
26.88,661486.8664,1509608.516,661486.8761,1509608.106,13.6508398,100.4929986
27.04,661486.8651,1509608.718,661486.8713,1509608.309,13.65084163,100.4929985
27.2,661486.8819,1509608.921,661486.87,1509608.516,13.6508435,100.4929985
27.36,661486.8807,1509609.124,661486.8724,1509608.718,13.65084533,100.4929986
27.52,661486.8794,1509609.327,661486.8747,1509608.921,13.65084717,100.4929986
