time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661484.0443,1509583.625,661484.0443,1509583.632,13.65061873,100.492971
0.16,661484.0442,1509583.643,661484.0443,1509583.632,13.65061873,100.492971
0.32,661484.0442,1509583.643,661484.0443,1509583.632,13.65061873,100.492971
0.48,661484.0442,1509583.643,661484.0442,1509583.636,13.65061877,100.492971
0.64,661484.0443,1509583.625,661484.0442,1509583.636,13.65061877,100.492971
0.8,661484.0443,1509583.625,661484.0442,1509583.636,13.65061877,100.492971
0.96,661484.0443,1509583.625,661484.0443,1509583.632,13.65061873,100.492971
1.12,661484.0443,1509583.625,661484.0443,1509583.629,13.6506187,100.492971
1.28,661484.0443,1509583.625,661484.0443,1509583.625,13.65061867,100.492971
1.44,661484.0443,1509583.625,661484.0443,1509583.625,13.65061867,100.492971
1.6,661484.0443,1509583.625,661484.0443,1509583.625,13.65061867,100.492971
1.76,661484.0443,1509583.625,661484.0443,1509583.625,13.65061867,100.492971
1.92,661484.0443,1509583.625,661484.0443,1509583.625,13.65061867,100.492971
2.08,661484.0623,1509583.625,661484.0479,1509583.625,13.65061867,100.492971
2.24,661484.0623,1509583.625,661484.0515,1509583.625,13.65061867,100.4929711
2.4,661484.0623,1509583.625,661484.0551,1509583.625,13.65061867,100.4929711
2.56,661484.0623,1509583.625,661484.0587,1509583.625,13.65061867,100.4929711
2.72,661484.0623,1509583.625,661484.0623,1509583.625,13.65061867,100.4929712
2.88,661484.0623,1509583.625,661484.0623,1509583.625,13.65061867,100.4929712
3.04,661484.0443,1509583.625,661484.0587,1509583.625,13.65061867,100.4929711
3.2,661484.0623,1509583.625,661484.0587,1509583.625,13.65061867,100.4929711
3.36,661484.0623,1509583.625,661484.0587,1509583.625,13.65061867,100.4929711
3.52,661484.0623,1509583.625,661484.0587,1509583.625,13.65061867,100.4929711
3.68,661484.0623,1509583.625,661484.0587,1509583.625,13.65061867,100.4929711
3.84,661484.0623,1509583.625,661484.0623,1509583.625,13.65061867,100.4929712
4,661484.0623,1509583.625,661484.0623,1509583.625,13.65061867,100.4929712
4.16,661484.0623,1509583.625,661484.0623,1509583.625,13.65061867,100.4929712
4.32,661484.0622,1509583.643,661484.0623,1509583.629,13.6506187,100.4929712
4.48,661484.0442,1509583.643,661484.0587,1509583.632,13.65061873,100.4929711
4.64,661484.0621,1509583.662,661484.0586,1509583.64,13.6506188,100.4929711
4.8,661484.0439,1509583.699,661484.0549,1509583.655,13.65061893,100.4929711
4.96,661484.0437,1509583.717,661484.0512,1509583.673,13.6506191,100.4929711
5.12,661484.0434,1509583.772,661484.0475,1509583.699,13.65061933,100.492971
5.28,661484.0611,1509583.828,661484.0508,1509583.736,13.65061967,100.4929711
5.44,661484.0606,1509583.902,661484.0505,1509583.784,13.6506201,100.4929711
5.6,661484.0782,1509583.975,661484.0574,1509583.839,13.6506206,100.4929711
5.76,661484.0778,1509584.049,661484.0642,1509583.905,13.6506212,100.4929712
5.92,661484.0772,1509584.141,661484.071,1509583.979,13.65062187,100.4929713
6.08,661484.0766,1509584.234,661484.0741,1509584.06,13.6506226,100.4929713
6.24,661484.0761,1509584.326,661484.0772,1509584.145,13.65062337,100.4929713
6.4,661484.0755,1509584.418,661484.0766,1509584.234,13.65062417,100.4929713
6.56,661484.093,1509584.51,661484.0797,1509584.326,13.650625,100.4929714
6.72,661484.0923,1509584.621,661484.0827,1509584.422,13.65062587,100.4929714
6.88,661484.0917,1509584.713,661484.0857,1509584.518,13.65062673,100.4929714
7.04,661484.091,1509584.824,661484.0887,1509584.617,13.65062763,100.4929715
7.2,661484.0723,1509584.934,661484.0881,1509584.72,13.65062857,100.4929715
7.52,661484.089,1509585.156,661484.0873,1509584.85,13.65062973,100.4929715
7.68,661484.1062,1509585.285,661484.0901,1509584.982,13.65063093,100.4929715
7.84,661484.1054,1509585.414,661484.0928,1509585.122,13.6506322,100.4929715
8,661484.0866,1509585.543,661484.0919,1509585.266,13.6506335,100.4929715
8.16,661484.0858,1509585.672,661484.0946,1509585.414,13.65063483,100.4929716
8.32,661484.0849,1509585.819,661484.0938,1509585.547,13.65063603,100.4929716
8.48,661484.084,1509585.967,661484.0893,1509585.683,13.65063727,100.4929715
8.64,661484.1012,1509586.096,661484.0885,1509585.819,13.6506385,100.4929715
8.8,661484.0822,1509586.262,661484.0876,1509585.963,13.6506398,100.4929715
8.96,661484.0812,1509586.428,661484.0867,1509586.114,13.65064117,100.4929715
9.12,661484.0983,1509586.575,661484.0894,1509586.266,13.65064253,100.4929716
9.28,661484.0612,1509586.741,661484.0848,1509586.42,13.65064393,100.4929715
9.44,661484.0783,1509586.889,661484.0802,1509586.579,13.65064537,100.4929715
9.6,661484.0773,1509587.055,661484.0793,1509586.738,13.6506468,100.4929715
9.76,661484.0764,1509587.202,661484.0783,1509586.892,13.6506482,100.4929715
9.92,661484.0573,1509587.368,661484.0701,1509587.051,13.65064963,100.4929714
10.08,661484.0563,1509587.534,661484.0691,1509587.209,13.65065107,100.4929714
10.24,661484.0553,1509587.7,661484.0645,1509587.372,13.65065253,100.4929714
10.4,661484.0363,1509587.866,661484.0563,1509587.534,13.650654,100.4929713
10.56,661484.0352,1509588.032,661484.0481,1509587.7,13.6506555,100.4929713
10.72,661484.0342,1509588.198,661484.0435,1509587.866,13.650657,100.4929712
10.88,661484.0332,1509588.364,661484.0388,1509588.032,13.6506585,100.4929712
11.04,661484.0322,1509588.529,661484.0342,1509588.198,13.65066,100.4929712
11.2,661484.0311,1509588.695,661484.0332,1509588.364,13.6506615,100.4929712
