time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661489.2354,1509583.952,661489.2353,1509583.959,13.6506214,100.493019
0.16,661489.2354,1509583.952,661489.2353,1509583.956,13.65062137,100.493019
0.32,661489.2354,1509583.952,661489.2353,1509583.956,13.65062137,100.493019
0.48,661489.2354,1509583.952,661489.2354,1509583.952,13.65062133,100.493019
0.64,661489.2354,1509583.952,661489.2354,1509583.952,13.65062133,100.493019
0.8,661489.2354,1509583.952,661489.2354,1509583.952,13.65062133,100.493019
0.96,661489.2533,1509583.97,661489.2389,1509583.956,13.65062137,100.493019
1.12,661489.2533,1509583.97,661489.2425,1509583.959,13.6506214,100.4930191
1.28,661489.2352,1509583.97,661489.2425,1509583.963,13.65062143,100.4930191
1.44,661489.2352,1509583.97,661489.2425,1509583.967,13.65062147,100.4930191
1.6,661489.2352,1509583.97,661489.2425,1509583.97,13.6506215,100.4930191
1.76,661489.2352,1509583.97,661489.2389,1509583.97,13.6506215,100.493019
1.92,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
2.08,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
2.24,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
2.4,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
2.56,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
2.72,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
2.88,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
3.04,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
3.2,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
3.36,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
3.52,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
3.68,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
3.84,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
4,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
4.16,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
4.32,661489.2352,1509583.97,661489.2352,1509583.97,13.6506215,100.493019
4.48,661489.2351,1509583.989,661489.2352,1509583.974,13.65062153,100.493019
4.64,661489.2349,1509584.026,661489.2352,1509583.985,13.65062163,100.493019
4.8,661489.2348,1509584.044,661489.2351,1509584,13.65062177,100.493019
4.96,661489.2346,1509584.081,661489.2349,1509584.022,13.65062197,100.493019
5.12,661489.2523,1509584.136,661489.2383,1509584.055,13.65062227,100.493019
5.28,661489.234,1509584.173,661489.2381,1509584.092,13.6506226,100.493019
5.44,661489.2337,1509584.228,661489.2379,1509584.133,13.65062297,100.493019
5.6,661489.2514,1509584.284,661489.2412,1509584.181,13.6506234,100.4930191
5.76,661489.2329,1509584.358,661489.2408,1509584.236,13.6506239,100.4930191
5.92,661489.2324,1509584.431,661489.2369,1509584.295,13.65062443,100.493019
6.08,661489.232,1509584.505,661489.2364,1509584.361,13.65062503,100.493019
6.24,661489.2314,1509584.597,661489.236,1509584.435,13.6506257,100.493019
