time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
0.16,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
0.32,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
0.48,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
0.64,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
0.8,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
0.96,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
1.12,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
1.28,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
1.44,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
1.6,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
1.76,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
1.92,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
2.08,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
2.24,661485.5019,1509584.113,661485.5019,1509584.113,13.650623,100.4929845
2.4,661485.5017,1509584.132,661485.5018,1509584.117,13.65062303,100.4929845
2.56,661485.5198,1509584.132,661485.5054,1509584.121,13.65062307,100.4929845
2.72,661485.5017,1509584.132,661485.5054,1509584.124,13.6506231,100.4929845
2.88,661485.5016,1509584.15,661485.5053,1509584.132,13.65062317,100.4929845
3.04,661485.5015,1509584.169,661485.5053,1509584.143,13.65062327,100.4929845
3.2,661485.5014,1509584.187,661485.5052,1509584.154,13.65062337,100.4929845
3.36,661485.5013,1509584.205,661485.5015,1509584.169,13.6506235,100.4929845
3.52,661485.5011,1509584.242,661485.5014,1509584.191,13.6506237,100.4929845
3.68,661485.5008,1509584.279,661485.5012,1509584.217,13.65062393,100.4929845
3.84,661485.5004,1509584.353,661485.501,1509584.253,13.65062427,100.4929845
4,661485.5,1509584.408,661485.5007,1509584.298,13.65062467,100.4929845
4.16,661485.4995,1509584.5,661485.5004,1509584.357,13.6506252,100.4929845
4.32,661485.499,1509584.574,661485.4999,1509584.423,13.6506258,100.4929845
4.48,661485.4803,1509584.685,661485.4958,1509584.504,13.65062653,100.4929845
4.64,661485.4796,1509584.795,661485.4917,1509584.593,13.65062733,100.4929844
4.8,661485.4789,1509584.906,661485.4875,1509584.692,13.65062823,100.4929844
4.96,661485.4782,1509585.035,661485.4832,1509584.799,13.6506292,100.4929844
5.12,661485.4775,1509585.146,661485.4789,1509584.913,13.65063023,100.4929843
5.28,661485.4767,1509585.275,661485.4782,1509585.031,13.6506313,100.4929843
5.44,661485.4579,1509585.404,661485.4738,1509585.153,13.6506324,100.4929843
5.6,661485.4751,1509585.533,661485.473,1509585.278,13.65063353,100.4929843
5.76,661485.4562,1509585.68,661485.4686,1509585.407,13.6506347,100.4929843
5.92,661485.4554,1509585.809,661485.4642,1509585.54,13.6506359,100.4929842
6.08,661485.4544,1509585.957,661485.4598,1509585.677,13.65063713,100.4929842
6.24,661485.4535,1509586.104,661485.4589,1509585.817,13.6506384,100.4929842
6.4,661485.4345,1509586.27,661485.4508,1509585.964,13.65063973,100.4929841
6.56,661485.4336,1509586.418,661485.4463,1509586.112,13.65064107,100.4929841
6.72,661485.4327,1509586.565,661485.4417,1509586.263,13.65064243,100.4929841
6.88,661485.4318,1509586.713,661485.4372,1509586.414,13.6506438,100.492984
7.04,661485.4307,1509586.879,661485.4327,1509586.569,13.6506452,100.492984
7.2,661485.4118,1509587.026,661485.4281,1509586.72,13.65064657,100.492984
7.36,661485.4108,1509587.192,661485.4236,1509586.875,13.65064797,100.4929839
7.52,661485.4099,1509587.339,661485.419,1509587.03,13.65064937,100.4929839
7.68,661485.3908,1509587.505,661485.4108,1509587.188,13.6506508,100.4929838
7.84,661485.3899,1509587.653,661485.4026,1509587.343,13.6506522,100.4929838
8,661485.3709,1509587.819,661485.3945,1509587.502,13.65065363,100.4929837
8.16,661485.3699,1509587.985,661485.3863,1509587.66,13.65065507,100.4929836
8.32,661485.3688,1509588.15,661485.3781,1509587.822,13.65065653,100.4929836
8.48,661485.3678,1509588.316,661485.3735,1509587.985,13.650658,100.4929835
8.64,661485.3668,1509588.482,661485.3688,1509588.15,13.6506595,100.4929835
8.8,661485.3658,1509588.648,661485.3678,1509588.316,13.650661,100.4929835
8.96,661485.3649,1509588.796,661485.3668,1509588.479,13.65066247,100.4929835
9.12,661485.3638,1509588.962,661485.3658,1509588.641,13.65066393,100.4929835
9.28,661485.3448,1509589.128,661485.3612,1509588.803,13.6506654,100.4929835
9.44,661485.3438,1509589.293,661485.3566,1509588.965,13.65066687,100.4929834
9.6,661485.3427,1509589.459,661485.352,1509589.128,13.65066833,100.4929834
9.76,661485.3417,1509589.625,661485.3474,1509589.294,13.65066983,100.4929834
9.92,661485.3406,1509589.81,661485.3427,1509589.463,13.65067137,100.4929833
10.08,661485.3396,1509589.976,661485.3417,1509589.633,13.6506729,100.4929833
10.24,661485.3386,1509590.142,661485.3406,1509589.802,13.65067443,100.4929833
10.4,661485.3374,1509590.326,661485.3396,1509589.976,13.650676,100.4929833
10.56,661485.3364,1509590.492,661485.3385,1509590.149,13.65067757,100.4929833
10.72,661485.3533,1509590.676,661485.341,1509590.322,13.65067913,100.4929834
10.88,661485.3522,1509590.861,661485.3436,1509590.499,13.65068073,100.4929834
11.04,661485.351,1509591.045,661485.3461,1509590.68,13.65068237,100.4929834
11.2,661485.3499,1509591.23,661485.3486,1509590.861,13.650684,100.4929835
11.36,661485.3307,1509591.414,661485.3474,1509591.045,13.65068567,100.4929835
11.52,661485.3296,1509591.598,661485.3427,1509591.229,13.65068733,100.4929834
11.68,661485.3466,1509591.764,661485.3416,1509591.41,13.65068897,100.4929834
11.84,661485.3455,1509591.949,661485.3405,1509591.591,13.6506906,100.4929834
12,661485.3444,1509592.115,661485.3394,1509591.768,13.6506922,100.4929834
12.16,661485.3434,1509592.28,661485.3419,1509591.941,13.65069377,100.4929835
12.32,661485.3424,1509592.446,661485.3445,1509592.111,13.6506953,100.4929835
12.48,661485.3413,1509592.631,661485.3434,1509592.284,13.65069687,100.4929835
12.64,661485.3583,1509592.797,661485.346,1509592.454,13.6506984,100.4929835
12.8,661485.3571,1509592.981,661485.3485,1509592.627,13.65069997,100.4929836
12.96,661485.338,1509593.165,661485.3474,1509592.804,13.65070157,100.4929836
13.12,661485.355,1509593.332,661485.3499,1509592.981,13.65070317,100.4929836
13.28,661485.3358,1509593.516,661485.3488,1509593.158,13.65070477,100.4929836
13.44,661485.3347,1509593.7,661485.3441,1509593.339,13.6507064,100.4929836
13.6,661485.3336,1509593.885,661485.3394,1509593.52,13.65070803,100.4929835
13.76,661485.3325,1509594.05,661485.3383,1509593.697,13.65070963,100.4929835
13.92,661485.3314,1509594.235,661485.3336,1509593.877,13.65071127,100.4929835
14.08,661485.3304,1509594.401,661485.3325,1509594.054,13.65071287,100.4929835
14.24,661485.3474,1509594.567,661485.3351,1509594.228,13.65071443,100.4929835
14.4,661485.3464,1509594.733,661485.3376,1509594.397,13.65071597,100.4929836
14.56,661485.3454,1509594.899,661485.3402,1509594.567,13.6507175,100.4929836
14.72,661485.3442,1509595.083,661485.3427,1509594.736,13.65071903,100.4929836
14.88,661485.3431,1509595.267,661485.3453,1509594.91,13.6507206,100.4929837
15.04,661485.342,1509595.452,661485.3442,1509595.087,13.6507222,100.4929837
15.2,661485.3409,1509595.618,661485.3431,1509595.264,13.6507238,100.4929837
15.36,661485.3578,1509595.802,661485.3456,1509595.445,13.65072543,100.4929837
15.52,661485.3387,1509595.987,661485.3445,1509595.625,13.65072707,100.4929837
15.68,661485.3557,1509596.153,661485.347,1509595.802,13.65072867,100.4929837
15.84,661485.3365,1509596.337,661485.3459,1509595.979,13.65073027,100.4929837
16,661485.3354,1509596.521,661485.3448,1509596.16,13.6507319,100.4929837
16.16,661485.3344,1509596.687,661485.3401,1509596.337,13.6507335,100.4929837
16.32,661485.3332,1509596.872,661485.339,1509596.514,13.6507351,100.4929837
16.48,661485.3321,1509597.056,661485.3343,1509596.695,13.65073673,100.4929837
