time_operate,raw_x_east,raw_y_north,x_east,y_north,latitude,longitude
0,661488.0632,1509583.963,661488.0669,1509583.963,13.6506215,100.4930082
0.16,661488.0632,1509583.963,661488.0669,1509583.963,13.6506215,100.4930082
0.32,661488.0632,1509583.963,661488.0632,1509583.963,13.6506215,100.4930082
0.48,661488.0632,1509583.963,661488.0632,1509583.963,13.6506215,100.4930082
0.64,661488.0632,1509583.963,661488.0632,1509583.963,13.6506215,100.4930082
0.8,661488.0632,1509583.963,661488.0632,1509583.963,13.6506215,100.4930082
0.96,661488.0631,1509583.982,661488.0632,1509583.967,13.65062153,100.4930082
1.12,661488.0631,1509583.982,661488.0632,1509583.97,13.65062157,100.4930082
1.28,661488.0631,1509583.982,661488.0632,1509583.974,13.6506216,100.4930082
1.44,661488.0631,1509583.982,661488.0632,1509583.978,13.65062163,100.4930082
1.6,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
1.76,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
1.92,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
2.08,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
2.24,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
2.4,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
2.56,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
2.72,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
2.88,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
3.04,661488.0631,1509583.982,661488.0631,1509583.982,13.65062167,100.4930082
3.2,661488.063,1509584,661488.0631,1509583.985,13.6506217,100.4930082
3.36,661488.0629,1509584.018,661488.0631,1509583.993,13.65062177,100.4930082
3.52,661488.0627,1509584.055,661488.063,1509584.007,13.6506219,100.4930082
3.68,661488.0625,1509584.092,661488.0628,1509584.029,13.6506221,100.4930082
3.84,661488.0803,1509584.129,661488.0663,1509584.059,13.65062237,100.4930082
4,661488.0799,1509584.184,661488.0696,1509584.096,13.6506227,100.4930082
4.16,661488.0793,1509584.277,661488.0729,1509584.148,13.65062317,100.4930083
4.32,661488.0788,1509584.369,661488.0762,1509584.21,13.65062373,100.4930083
4.48,661488.0782,1509584.461,661488.0793,1509584.284,13.6506244,100.4930083
4.64,661488.0775,1509584.572,661488.0788,1509584.373,13.6506252,100.4930083
4.8,661488.0769,1509584.682,661488.0781,1509584.472,13.6506261,100.4930083
4.96,661488.0761,1509584.811,661488.0775,1509584.579,13.65062707,100.4930083
5.12,661488.0934,1509584.922,661488.0804,1509584.69,13.65062807,100.4930084
5.28,661488.0746,1509585.051,661488.0797,1509584.808,13.65062913,100.4930084
5.44,661488.0918,1509585.18,661488.0825,1509584.929,13.65063023,100.4930084
5.6,661488.1091,1509585.309,661488.089,1509585.055,13.65063137,100.4930085
5.76,661488.1083,1509585.438,661488.0954,1509585.18,13.6506325,100.4930085
5.92,661488.1074,1509585.586,661488.0982,1509585.313,13.6506337,100.4930086
6.08,661488.0885,1509585.715,661488.101,1509585.446,13.6506349,100.4930086
6.24,661488.0877,1509585.844,661488.1002,1509585.579,13.6506361,100.4930086
6.4,661488.0689,1509585.973,661488.0922,1509585.711,13.6506373,100.4930085
6.56,661488.068,1509586.12,661488.0841,1509585.848,13.65063853,100.4930085
6.72,661488.0492,1509586.249,661488.0725,1509585.98,13.65063973,100.4930084
6.88,661488.0483,1509586.397,661488.0644,1509586.117,13.65064097,100.4930083
7.04,661488.0293,1509586.544,661488.0527,1509586.257,13.65064223,100.4930082
7.2,661488.0105,1509586.673,661488.0411,1509586.397,13.6506435,100.4930081
7.36,661488.0097,1509586.802,661488.0294,1509586.533,13.65064473,100.493008
7.52,661488.0268,1509586.95,661488.0249,1509586.673,13.650646,100.493008
7.68,661488.008,1509587.079,661488.0169,1509586.81,13.65064723,100.4930079
7.84,661488.0071,1509587.226,661488.0124,1509586.946,13.65064847,100.4930079
