raw_x_east,raw_y_north,x_east,y_north
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3595,1509586.319
661490.3568,1509586.319,661490.3586,1509586.319
661490.3748,1509586.319,661490.3595,1509586.319
661490.3928,1509586.319,661490.3613,1509586.319
661490.4109,1509586.319,661490.364,1509586.319
661490.4469,1509586.319,661490.3676,1509586.319
661490.4831,1509586.301,661490.373,1509586.318
661490.5372,1509586.302,661490.382,1509586.317
661490.5733,1509586.302,661490.3929,1509586.316
661490.6454,1509586.302,661490.4073,1509586.316
661490.6995,1509586.303,661490.4244,1509586.315
661490.7896,1509586.303,661490.4461,1509586.314
661490.8618,1509586.304,661490.4713,1509586.313
661490.9519,1509586.304,661490.5011,1509586.312
661491.0601,1509586.305,661490.5362,1509586.312
661491.1864,1509586.287,661490.5777,1509586.31
661491.3126,1509586.288,661490.6255,1509586.309
661491.4749,1509586.289,661490.6814,1509586.307
661491.6372,1509586.29,661490.7454,1509586.306
661491.8176,1509586.273,661490.8185,1509586.303
661492.0161,1509586.255,661490.9015,1509586.3
661492.2144,1509586.257,661490.9943,1509586.297
661492.4308,1509586.258,661491.0971,1509586.294
661492.6292,1509586.241,661491.2089,1509586.29
661492.8456,1509586.242,661491.3307,1509586.286
661493.062,1509586.243,661491.4614,1509586.282
661493.2785,1509586.226,661491.6012,1509586.279
661493.5129,1509586.228,661491.75,1509586.275
661493.7653,1509586.229,661491.9096,1509586.271
661494.0177,1509586.231,661492.0782,1509586.268
661494.2883,1509586.214,661492.2576,1509586.263
661494.5407,1509586.216,661492.4452,1509586.259
661494.8112,1509586.217,661492.6427,1509586.255
661495.0816,1509586.219,661492.8492,1509586.25
661495.3342,1509586.202,661493.0629,1509586.245
661495.6047,1509586.204,661493.2838,1509586.241
661495.8752,1509586.187,661493.5119,1509586.236
661496.1457,1509586.189,661493.7454,1509586.231
661496.4342,1509586.19,661493.9853,1509586.226
661496.7227,1509586.192,661494.2305,1509586.222
661497.0112,1509586.194,661494.4803,1509586.219
661497.2997,1509586.196,661494.7346,1509586.216
661497.6062,1509586.198,661494.9933,1509586.213
661497.8947,1509586.199,661495.2566,1509586.211
661498.1831,1509586.22,661495.5235,1509586.21
661498.4536,1509586.203,661495.7931,1509586.208
661498.7421,1509586.205,661496.0662,1509586.206
661499.0126,1509586.206,661496.3412,1509586.205
661499.283,1509586.208,661496.6171,1509586.204
661499.5535,1509586.21,661496.8939,1509586.203
661499.842,1509586.211,661497.1716,1509586.203
661500.1305,1509586.213,661497.4511,1509586.203
661500.419,1509586.215,661497.7315,1509586.203
661500.7075,1509586.217,661498.0128,1509586.203
661500.996,1509586.218,661498.2959,1509586.204
661501.3025,1509586.22,661498.5807,1509586.204
661501.591,1509586.222,661498.8665,1509586.206
661501.8976,1509586.205,661499.1541,1509586.207
661502.2042,1509586.207,661499.4426,1509586.208
661502.5106,1509586.228,661499.732,1509586.21
661502.8171,1509586.23,661500.0223,1509586.211
661503.1056,1509586.231,661500.3126,1509586.213
661503.4121,1509586.233,661500.6029,1509586.215
661503.7006,1509586.235,661500.8932,1509586.217
661503.9892,1509586.218,661501.1835,1509586.217
661504.2957,1509586.22,661501.4756,1509586.218
661504.5842,1509586.222,661501.7677,1509586.219
661504.8727,1509586.224,661502.0607,1509586.219
661505.1612,1509586.226,661502.3546,1509586.22
661505.4497,1509586.227,661502.6494,1509586.221
661505.7383,1509586.211,661502.9443,1509586.221
661506.0268,1509586.212,661503.2391,1509586.221
661506.3153,1509586.214,661503.5339,1509586.221
661506.6039,1509586.198,661503.8287,1509586.22
661506.8924,1509586.199,661504.1235,1509586.219
661507.1809,1509586.201,661504.4174,1509586.218
661507.4694,1509586.203,661504.7114,1509586.217
661507.7579,1509586.205,661505.0044,1509586.217
661508.0464,1509586.206,661505.2965,1509586.217
661508.353,1509586.19,661505.5886,1509586.215
661508.6415,1509586.192,661505.8798,1509586.213
661508.948,1509586.194,661506.172,1509586.211
661509.2546,1509586.177,661506.4641,1509586.209
661509.5612,1509586.179,661506.7571,1509586.206
661509.8857,1509586.181,661507.0519,1509586.204
661510.2103,1509586.183,661507.3477,1509586.202
661510.5348,1509586.185,661507.6452,1509586.2
661510.8595,1509586.168,661507.9445,1509586.198
661511.1841,1509586.17,661508.2457,1509586.195
661511.5266,1509586.173,661508.5495,1509586.192
661511.8873,1509586.175,661508.857,1509586.19
661512.2479,1509586.177,661509.168,1509586.188
661512.6085,1509586.179,661509.4827,1509586.187
661512.9692,1509586.163,661509.801,1509586.185
661513.3479,1509586.165,661510.1237,1509586.183
661513.7085,1509586.168,661510.4501,1509586.182
661514.0691,1509586.17,661510.7801,1509586.18
661514.4297,1509586.172,661511.1137,1509586.178
661514.7723,1509586.174,661511.45,1509586.177
661515.1329,1509586.176,661511.789,1509586.176
661515.4756,1509586.16,661512.1307,1509586.174
661515.8182,1509586.162,661512.4742,1509586.173
661516.1788,1509586.164,661512.8204,1509586.172
661516.5395,1509586.148,661513.1693,1509586.171
661516.9002,1509586.15,661513.52,1509586.169
661517.2608,1509586.152,661513.8726,1509586.168
661517.6394,1509586.155,661514.2278,1509586.166
661518.0361,1509586.157,661514.5866,1509586.166
661518.4328,1509586.16,661514.9491,1509586.165
661518.8293,1509586.181,661515.3142,1509586.165
661519.226,1509586.183,661515.6811,1509586.166
661519.6408,1509586.167,661516.0508,1509586.165
661520.0375,1509586.17,661516.4222,1509586.165
661520.4342,1509586.172,661516.7955,1509586.165
661520.8309,1509586.174,661517.1696,1509586.166
661521.2095,1509586.177,661517.5447,1509586.166
661521.5883,1509586.161,661517.9206,1509586.166
661521.9669,1509586.163,661518.2975,1509586.165
661522.3275,1509586.165,661518.6753,1509586.165
661522.7062,1509586.168,661519.0539,1509586.164
661523.0668,1509586.17,661519.4335,1509586.165
661523.4274,1509586.172,661519.814,1509586.165
661523.788,1509586.174,661520.1944,1509586.166
661524.1668,1509586.158,661520.5758,1509586.166
661524.5274,1509586.16,661520.9571,1509586.167
661524.9061,1509586.163,661521.3394,1509586.167
661525.2847,1509586.165,661521.7217,1509586.168
661525.6635,1509586.149,661522.103,1509586.168
661526.0601,1509586.151,661522.4844,1509586.167
661526.4568,1509586.154,661522.8658,1509586.166
661526.8356,1509586.138,661523.2463,1509586.164
661527.1962,1509586.14,661523.624,1509586.162
661527.5748,1509586.142,661524.0009,1509586.161
661527.9536,1509586.126,661524.3769,1509586.158
661528.3142,1509586.128,661524.751,1509586.156
661528.6929,1509586.131,661525.1252,1509586.154
661529.0716,1509586.115,661525.4994,1509586.152
661529.4503,1509586.117,661525.8735,1509586.149
661529.8471,1509586.101,661526.2495,1509586.146
661530.2257,1509586.103,661526.6255,1509586.143
661530.6224,1509586.106,661527.0033,1509586.14
661531.0012,1509586.09,661527.382,1509586.135
661531.3978,1509586.092,661527.7624,1509586.131
661531.7766,1509586.076,661528.1429,1509586.127
661532.1552,1509586.078,661528.5243,1509586.123
661532.5159,1509586.08,661528.9048,1509586.119
661532.8766,1509586.064,661529.2844,1509586.114
661533.2372,1509586.066,661529.6631,1509586.11
661533.5979,1509586.05,661530.04,1509586.105
661533.9585,1509586.052,661530.4151,1509586.1
661534.3372,1509586.055,661530.7901,1509586.096
661534.6978,1509586.057,661531.1652,1509586.091
661535.0585,1509586.041,661531.5394,1509586.086
661535.4372,1509586.043,661531.9136,1509586.082
661535.7979,1509586.027,661532.2878,1509586.077
661536.1766,1509586.029,661532.662,1509586.072
661536.5553,1509586.013,661533.0361,1509586.067
661536.952,1509586.016,661533.4112,1509586.062
661537.3308,1509585.999,661533.7854,1509586.057
661537.7094,1509586.002,661534.1596,1509586.052
661538.1062,1509585.986,661534.5338,1509586.046
661538.4848,1509585.988,661534.908,1509586.041
661538.8455,1509585.99,661535.2804,1509586.036
661539.2061,1509585.993,661535.6518,1509586.031
661539.5667,1509585.995,661536.0224,1509586.027
661539.9273,1509585.997,661536.393,1509586.023
661540.2879,1509585.999,661536.7635,1509586.02
661540.6306,1509585.983,661537.1332,1509586.016
661540.9731,1509586.003,661537.502,1509586.013
661541.3157,1509586.005,661537.8698,1509586.011
661541.6402,1509586.007,661538.235,1509586.009
661541.9827,1509586.028,661538.5992,1509586.007
661542.3071,1509586.048,661538.9617,1509586.008
661542.6317,1509586.05,661539.3214,1509586.008
661542.9563,1509586.052,661539.6793,1509586.009
661543.2628,1509586.054,661540.0336,1509586.011
661543.5872,1509586.075,661540.3852,1509586.014
661543.8937,1509586.077,661540.7323,1509586.017
661544.1822,1509586.078,661541.0749,1509586.021
661544.4889,1509586.062,661541.4138,1509586.024
661544.7953,1509586.082,661541.7483,1509586.028
661545.1018,1509586.084,661542.0791,1509586.033
661545.3724,1509586.067,661542.4055,1509586.037
661545.6788,1509586.088,661542.7291,1509586.042
661545.9673,1509586.089,661543.0492,1509586.047
661546.2558,1509586.091,661543.3656,1509586.051
661546.5262,1509586.093,661543.6775,1509586.056
661546.8147,1509586.095,661543.9867,1509586.062
661547.1032,1509586.096,661544.2932,1509586.066
661547.3737,1509586.098,661544.5961,1509586.071
661547.6262,1509586.081,661544.8954,1509586.075
661547.8967,1509586.083,661545.1911,1509586.077
661548.1852,1509586.085,661545.485,1509586.079
661548.4556,1509586.086,661545.7762,1509586.081
661548.7261,1509586.088,661546.0647,1509586.083
661548.9966,1509586.09,661546.3514,1509586.084
661549.2671,1509586.073,661546.6354,1509586.084
661549.5376,1509586.075,661546.9176,1509586.084
661549.79,1509586.076,661547.198,1509586.084
661550.0426,1509586.059,661547.4756,1509586.084
661550.295,1509586.061,661547.7506,1509586.083
661550.5474,1509586.062,661548.0229,1509586.082
661550.7999,1509586.064,661548.2943,1509586.082
661551.0162,1509586.065,661548.5612,1509586.08
661551.2508,1509586.048,661548.8253,1509586.078
661551.4852,1509586.05,661549.0868,1509586.076
661551.7015,1509586.051,661549.3456,1509586.074
661551.9179,1509586.052,661549.6007,1509586.072
661552.1344,1509586.035,661549.8523,1509586.069
