time_operate,raw_speed,filter_speed
0.16,0.0,0.0
0.32,0.0,0.0
0.48,0.0,0.0
0.64,0.0,0.0
0.8,0.0,0.0
0.96,0.0,0.0
1.12,0.0,0.0
1.28,0.0,0.0
1.44,0.0,0.0
1.6,0.0,0.0
1.76,0.0,0.0
1.92,0.0,0.0
2.08,0.0,0.0
2.24,0.0,0.0
2.4,0.0,0.0
2.56,0.42,0.02
2.72,0.0,0.02
2.88,0.0,0.02
3.04,0.0,0.02
3.2,0.42,0.0
3.36,0.83,0.04
3.52,0.83,0.08
3.68,0.83,0.13
3.84,0.93,0.17
4.0,1.25,0.23
4.16,0.83,0.27
4.32,1.31,0.34
4.48,1.25,0.4
4.64,1.25,0.46
4.8,1.25,0.52
4.96,1.31,0.59
5.12,1.25,0.65
5.28,1.25,0.71
5.44,1.25,0.77
5.6,1.25,0.84
5.76,1.31,0.92
5.92,1.25,0.98
6.08,1.25,1.05
6.24,1.25,1.11
6.4,1.25,1.15
6.56,1.25,1.17
6.72,1.31,1.19
6.88,1.25,1.21
7.04,1.25,1.23
7.2,1.25,1.23
7.36,1.25,1.25
7.52,1.67,1.27
7.68,1.25,1.27
7.84,1.25,1.27
8.0,1.25,1.27
8.16,1.25,1.27
8.32,1.25,1.27
8.48,1.25,1.27
8.64,1.67,1.29
8.8,1.31,1.29
8.96,1.25,1.29
9.12,1.25,1.29
9.28,1.25,1.29
9.44,1.31,1.29
9.6,1.31,1.29
9.76,1.31,1.29
9.92,1.31,1.3
10.08,1.25,1.3
10.24,1.31,1.3
10.4,1.31,1.3
10.56,1.67,1.32
10.72,1.31,1.3
10.88,1.67,1.32
11.04,1.31,1.33
11.2,1.72,1.35
11.36,1.31,1.35
11.52,1.31,1.36
11.68,1.31,1.36
11.84,1.31,1.34
12.0,1.67,1.36
12.16,1.31,1.36
12.32,1.72,1.39
12.48,1.25,1.39
12.64,1.31,1.39
12.8,1.72,1.41
12.96,1.67,1.43
13.12,1.31,1.43
13.28,1.67,1.45
13.44,1.31,1.45
13.6,1.72,1.47
13.76,1.25,1.45
13.92,1.31,1.45
14.08,1.67,1.45
14.24,1.31,1.45
14.4,1.67,1.44
14.56,1.31,1.44
14.72,1.67,1.46
14.88,1.72,1.48
15.04,1.25,1.48
15.2,1.25,1.46
15.36,1.31,1.46
15.52,1.72,1.46
15.68,1.25,1.46
15.84,1.72,1.48
16.0,1.25,1.45
16.16,1.31,1.44
16.32,1.72,1.46
16.48,1.25,1.44
16.64,1.67,1.45
16.8,1.25,1.43
16.96,1.49,1.44
17.12,1.25,1.43
17.28,1.67,1.43
17.44,1.25,1.43
17.6,1.25,1.41
17.76,1.31,1.41
17.92,1.67,1.41
18.08,1.31,1.39
18.24,1.31,1.39
18.4,1.31,1.39
18.56,1.25,1.39
18.72,1.25,1.37
18.88,1.31,1.37
19.04,1.25,1.35
19.2,1.31,1.35
19.36,1.25,1.35
19.52,1.67,1.34
19.68,1.31,1.35
19.84,1.25,1.33
20.0,1.72,1.35
20.16,1.25,1.34
20.32,1.25,1.34
20.48,1.25,1.32
20.64,1.31,1.33
20.8,1.67,1.35
20.96,1.25,1.34
21.12,1.31,1.33
21.28,1.25,1.32
21.44,1.31,1.32
21.6,1.67,1.34
21.76,1.25,1.34
21.92,1.31,1.34
22.08,1.25,1.34
22.24,1.25,1.34
22.4,1.25,1.34
22.56,1.31,1.34
22.72,1.25,1.32
22.88,1.25,1.32
23.04,1.31,1.32
23.2,1.67,1.32
23.36,1.25,1.32
23.52,1.67,1.34
23.68,1.31,1.34
23.84,1.67,1.36
24.0,1.31,1.34
24.16,1.25,1.34
24.32,1.67,1.36
24.48,1.25,1.36
24.64,1.72,1.38
24.8,1.25,1.36
24.96,1.67,1.38
25.12,1.25,1.38
25.28,1.67,1.4
25.44,1.25,1.4
25.6,1.31,1.4
25.76,1.67,1.42
25.92,1.25,1.42
26.08,1.67,1.44
26.24,1.31,1.44
26.4,1.67,1.44
26.56,1.72,1.46
26.72,1.67,1.46
26.88,1.72,1.48
27.04,1.72,1.48
27.2,1.31,1.48
27.36,1.72,1.5
