lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.492638,13.64906867,100.4926382,13.64906867,0.02,33.85,33.99,00:34.0,0.142857143,0.514285714
100.492638,13.64906867,100.492638,13.64906867,0,33.99,34.13,00:34.1,0,0
100.492638,13.64906867,100.492638,13.64906867,0,34.13,34.27,00:34.3,0,0
100.492638,13.64906867,100.492638,13.64906867,0,34.27,34.42,00:34.4,0,0
100.4926378,13.64906867,100.492638,13.64906867,0.02,34.42,34.56,00:34.6,0.142857143,0.514285714
100.4926375,13.64906883,100.4926378,13.64906867,0.04,34.56,34.7,00:34.7,0.285714286,1.028571429
100.4926372,13.649069,100.4926375,13.64906883,0.04,34.7,34.85,00:34.8,0.266666667,0.96
100.4926367,13.64906917,100.4926372,13.649069,0.06,34.85,34.99,00:35.0,0.428571429,1.542857143
100.4926362,13.6490695,100.4926367,13.64906917,0.07,34.99,35.13,00:35.1,0.5,1.8
100.4926357,13.64906983,100.4926362,13.6490695,0.07,35.13,35.28,00:35.3,0.466666667,1.68
100.492635,13.64907017,100.4926357,13.64906983,0.08,35.28,35.42,00:35.4,0.571428571,2.057142857
100.4926343,13.6490705,100.492635,13.64907017,0.08,35.42,35.56,00:35.6,0.571428571,2.057142857
100.4926337,13.649071,100.4926343,13.6490705,0.09,35.56,35.7,00:35.7,0.642857143,2.314285714
100.492633,13.6490715,100.4926337,13.649071,0.09,35.7,35.85,00:35.9,0.6,2.16
100.4926322,13.649072,100.492633,13.6490715,0.11,35.85,35.99,00:36.0,0.785714286,2.828571429
100.4926315,13.6490725,100.4926322,13.649072,0.09,35.99,36.13,00:36.1,0.642857143,2.314285714
100.4926307,13.649073,100.4926315,13.6490725,0.11,36.13,36.28,00:36.3,0.733333333,2.64
100.4926298,13.6490735,100.4926307,13.649073,0.11,36.28,36.42,00:36.4,0.785714286,2.828571429
100.4926288,13.649074,100.4926298,13.6490735,0.12,36.42,36.56,00:36.6,0.857142857,3.085714286
100.492628,13.6490745,100.4926288,13.649074,0.11,36.56,36.71,00:36.7,0.733333333,2.64
100.492627,13.64907483,100.492628,13.6490745,0.11,36.71,36.85,00:36.9,0.785714286,2.828571429
100.4926262,13.64907533,100.492627,13.64907483,0.11,36.85,36.99,00:37.0,0.785714286,2.828571429
100.4926253,13.64907583,100.4926262,13.64907533,0.11,36.99,37.13,00:37.1,0.785714286,2.828571429
100.4926243,13.6490765,100.4926253,13.64907583,0.13,37.13,37.28,00:37.3,0.866666667,3.12
100.4926233,13.649077,100.4926243,13.6490765,0.12,37.28,37.42,00:37.4,0.857142857,3.085714286
100.4926223,13.64907767,100.4926233,13.649077,0.13,37.42,37.56,00:37.6,0.928571429,3.342857143
100.4926213,13.64907817,100.4926223,13.64907767,0.12,37.56,37.71,00:37.7,0.8,2.88
100.4926202,13.64907883,100.4926213,13.64907817,0.15,37.71,37.85,00:37.9,1.071428571,3.857142857
100.492619,13.6490795,100.4926202,13.64907883,0.15,37.85,37.99,00:38.0,1.071428571,3.857142857
100.4926178,13.64908,100.492619,13.6490795,0.14,37.99,38.14,00:38.1,0.933333333,3.36
100.4926168,13.64908067,100.4926178,13.64908,0.13,38.14,38.28,00:38.3,0.928571429,3.342857143
100.4926157,13.64908133,100.4926168,13.64908067,0.15,38.28,38.42,00:38.4,1.071428571,3.857142857
100.4926148,13.64908217,100.4926157,13.64908133,0.13,38.42,38.56,00:38.6,0.928571429,3.342857143
100.4926138,13.64908267,100.4926148,13.64908217,0.12,38.56,38.71,00:38.7,0.8,2.88
100.4926128,13.64908333,100.4926138,13.64908267,0.13,38.71,38.85,00:38.9,0.928571429,3.342857143
100.4926117,13.64908383,100.4926128,13.64908333,0.14,38.85,38.99,00:39.0,1,3.6
100.4926105,13.6490845,100.4926117,13.64908383,0.15,38.99,39.14,00:39.1,1,3.6
100.4926093,13.64908517,100.4926105,13.6490845,0.15,39.14,39.28,00:39.3,1.071428571,3.857142857
100.4926082,13.64908583,100.4926093,13.64908517,0.15,39.28,39.42,00:39.4,1.071428571,3.857142857
100.4926073,13.64908667,100.4926082,13.64908583,0.13,39.42,39.57,00:39.6,0.866666667,3.12
100.4926063,13.6490875,100.4926073,13.64908667,0.14,39.57,39.71,00:39.7,1,3.6
100.4926053,13.64908817,100.4926063,13.6490875,0.13,39.71,39.85,00:39.8,0.928571429,3.342857143
100.4926042,13.64908917,100.4926053,13.64908817,0.17,39.85,39.99,00:40.0,1.214285714,4.371428571
100.492603,13.64909,100.4926042,13.64908917,0.16,39.99,40.14,00:40.1,1.066666667,3.84
100.4926017,13.6490905,100.492603,13.64909,0.15,40.14,40.28,00:40.3,1.071428571,3.857142857
100.4926005,13.64909117,100.4926017,13.6490905,0.15,40.28,40.42,00:40.4,1.071428571,3.857142857
100.4925993,13.64909217,100.4926005,13.64909117,0.17,40.42,40.57,00:40.6,1.133333333,4.08
100.492598,13.649093,100.4925993,13.64909217,0.17,40.57,40.71,00:40.7,1.214285714,4.371428571
100.4925968,13.649094,100.492598,13.649093,0.17,40.71,40.85,00:40.9,1.214285714,4.371428571
100.4925955,13.64909467,100.4925968,13.649094,0.16,40.85,41,17:00:41,1.066666667,3.84
100.4925943,13.6490955,100.4925955,13.64909467,0.16,41,41.14,00:41.1,1.142857143,4.114285714
100.492593,13.64909633,100.4925943,13.6490955,0.17,41.14,41.28,00:41.3,1.214285714,4.371428571
100.4925918,13.64909717,100.492593,13.64909633,0.16,41.28,41.42,00:41.4,1.142857143,4.114285714
100.4925907,13.649098,100.4925918,13.64909717,0.16,41.42,41.57,00:41.6,1.066666667,3.84
100.4925893,13.64909867,100.4925907,13.649098,0.16,41.57,41.71,00:41.7,1.142857143,4.114285714
100.492588,13.64909917,100.4925893,13.64909867,0.15,41.71,41.85,00:41.9,1.071428571,3.857142857
100.4925868,13.6491,100.492588,13.64909917,0.16,41.85,42,17:00:42,1.066666667,3.84
100.4925857,13.64910083,100.4925868,13.6491,0.16,42,42.14,00:42.1,1.142857143,4.114285714
100.4925842,13.6491015,100.4925857,13.64910083,0.18,42.14,42.28,00:42.3,1.285714286,4.628571429
100.492583,13.64910217,100.4925842,13.6491015,0.15,42.28,42.43,00:42.4,1,3.6
100.4925815,13.64910267,100.492583,13.64910217,0.17,42.43,42.57,00:42.6,1.214285714,4.371428571
100.4925803,13.64910367,100.4925815,13.64910267,0.17,42.57,42.71,00:42.7,1.214285714,4.371428571
100.492579,13.6491045,100.4925803,13.64910367,0.17,42.71,42.85,00:42.9,1.214285714,4.371428571
100.4925778,13.64910533,100.492579,13.6491045,0.16,42.85,43,17:00:43,1.066666667,3.84
100.4925765,13.64910633,100.4925778,13.64910533,0.18,43,43.14,00:43.1,1.285714286,4.628571429
100.4925752,13.64910717,100.4925765,13.64910633,0.17,43.14,43.28,00:43.3,1.214285714,4.371428571
100.4925738,13.649108,100.4925752,13.64910717,0.17,43.28,43.43,00:43.4,1.133333333,4.08
100.4925727,13.64910867,100.4925738,13.649108,0.15,43.43,43.57,00:43.6,1.071428571,3.857142857
100.4925713,13.64910933,100.4925727,13.64910867,0.16,43.57,43.71,00:43.7,1.142857143,4.114285714
100.49257,13.64911,100.4925713,13.64910933,0.16,43.71,43.86,00:43.9,1.066666667,3.84
100.4925685,13.64911083,100.49257,13.64911,0.19,43.86,44,17:00:44,1.357142857,4.885714286
100.4925672,13.64911167,100.4925685,13.64911083,0.17,44,44.14,00:44.1,1.214285714,4.371428571
100.492566,13.6491125,100.4925672,13.64911167,0.16,44.14,44.28,00:44.3,1.142857143,4.114285714
100.4925647,13.64911333,100.492566,13.6491125,0.17,44.28,44.43,00:44.4,1.133333333,4.08
100.4925632,13.64911433,100.4925647,13.64911333,0.2,44.43,44.57,00:44.6,1.428571429,5.142857143
100.4925618,13.64911517,100.4925632,13.64911433,0.17,44.57,44.71,00:44.7,1.214285714,4.371428571
100.4925605,13.64911617,100.4925618,13.64911517,0.18,44.71,44.86,00:44.9,1.2,4.32
100.4925592,13.64911717,100.4925605,13.64911617,0.18,44.86,45,17:00:45,1.285714286,4.628571429
100.492558,13.64911817,100.4925592,13.64911717,0.17,45,45.14,00:45.1,1.214285714,4.371428571
100.4925567,13.649119,100.492558,13.64911817,0.17,45.14,45.29,00:45.3,1.133333333,4.08
100.4925553,13.64912,100.4925567,13.649119,0.18,45.29,45.43,00:45.4,1.285714286,4.628571429
100.492554,13.64912083,100.4925553,13.64912,0.17,45.43,45.57,00:45.6,1.214285714,4.371428571
100.4925527,13.64912183,100.492554,13.64912083,0.18,45.57,45.71,00:45.7,1.285714286,4.628571429
100.4925512,13.64912283,100.4925527,13.64912183,0.2,45.71,45.86,00:45.9,1.333333333,4.8
100.4925497,13.64912367,100.4925512,13.64912283,0.19,45.86,46,17:00:46,1.357142857,4.885714286
100.4925483,13.64912467,100.4925497,13.64912367,0.18,46,46.14,00:46.1,1.285714286,4.628571429
100.4925468,13.6491255,100.4925483,13.64912467,0.19,46.14,46.29,00:46.3,1.266666667,4.56
100.4925455,13.6491265,100.4925468,13.6491255,0.18,46.29,46.43,00:46.4,1.285714286,4.628571429
100.4925443,13.6491275,100.4925455,13.6491265,0.17,46.43,46.57,00:46.6,1.214285714,4.371428571
100.4925428,13.64912833,100.4925443,13.6491275,0.19,46.57,46.72,00:46.7,1.266666667,4.56
100.4925415,13.64912933,100.4925428,13.64912833,0.18,46.72,46.86,00:46.9,1.285714286,4.628571429
100.4925402,13.64913017,100.4925415,13.64912933,0.17,46.86,47,17:00:47,1.214285714,4.371428571
100.4925388,13.64913117,100.4925402,13.64913017,0.18,47,47.14,00:47.1,1.285714286,4.628571429
100.4925373,13.649132,100.4925388,13.64913117,0.19,47.14,47.29,00:47.3,1.266666667,4.56
100.492536,13.64913283,100.4925373,13.649132,0.17,47.29,47.43,00:47.4,1.214285714,4.371428571
100.4925347,13.6491335,100.492536,13.64913283,0.16,47.43,47.57,00:47.6,1.142857143,4.114285714
100.4925332,13.64913433,100.4925347,13.6491335,0.19,47.57,47.72,00:47.7,1.266666667,4.56
100.4925318,13.64913517,100.4925332,13.64913433,0.17,47.72,47.86,00:47.9,1.214285714,4.371428571
