lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.4930052,13.65140967,100.4930052,13.65140967,0,41.56,41.7,38:41.7,0,0
100.4930052,13.65140967,100.4930052,13.65140967,0,41.7,41.85,38:41.8,0,0
100.4930052,13.65140967,100.4930052,13.65140967,0,41.85,41.99,38:42.0,0,0
100.4930052,13.65140967,100.4930052,13.65140967,0,41.99,42.13,38:42.1,0,0
100.493005,13.6514095,100.4930052,13.65140967,0.03,42.13,42.27,38:42.3,0.214285714,0.771428571
100.493005,13.65140917,100.493005,13.6514095,0.04,42.27,42.42,38:42.4,0.266666667,0.96
100.493005,13.65140833,100.493005,13.65140917,0.09,42.42,42.56,38:42.6,0.642857143,2.314285714
100.4930048,13.65140717,100.493005,13.65140833,0.13,42.56,42.7,38:42.7,0.928571429,3.342857143
100.4930048,13.65140567,100.4930048,13.65140717,0.17,42.7,42.85,38:42.9,1.133333333,4.08
100.4930045,13.65140383,100.4930048,13.65140567,0.21,42.85,42.99,38:43.0,1.5,5.4
100.4930043,13.65140183,100.4930045,13.65140383,0.22,42.99,43.13,38:43.1,1.571428571,5.657142857
100.4930043,13.65139967,100.4930043,13.65140183,0.24,43.13,43.28,38:43.3,1.6,5.76
100.4930043,13.65139767,100.4930043,13.65139967,0.22,43.28,43.42,38:43.4,1.571428571,5.657142857
100.4930045,13.65139533,100.4930043,13.65139767,0.26,43.42,43.56,38:43.6,1.857142857,6.685714286
100.4930043,13.651393,100.4930045,13.65139533,0.26,43.56,43.7,38:43.7,1.857142857,6.685714286
100.4930043,13.65139067,100.4930043,13.651393,0.26,43.7,43.85,38:43.9,1.733333333,6.24
100.493004,13.65138833,100.4930043,13.65139067,0.26,43.85,43.99,38:44.0,1.857142857,6.685714286
100.4930038,13.651386,100.493004,13.65138833,0.26,43.99,44.13,38:44.1,1.857142857,6.685714286
100.4930037,13.65138367,100.4930038,13.651386,0.26,44.13,44.28,38:44.3,1.733333333,6.24
100.4930037,13.65138133,100.4930037,13.65138367,0.26,44.28,44.42,38:44.4,1.857142857,6.685714286
100.4930037,13.65137883,100.4930037,13.65138133,0.28,44.42,44.56,38:44.6,2,7.2
