time_operate,raw_speed,raw_speed_filter,filter_speed,filter_speed_filter
0.16,0.0,0,0.07,0
0.32,0.0,0,0.07,0
0.48,0.0,0,0.07,0
0.64,0.0,0,0.07,0
0.8,0.0,0,0.07,0
0.96,0.0,0,0.06,0
1.12,0.0,0,0.06,0
1.28,0.0,0,0.06,0
1.44,0.0,0,0.06,0
1.6,0.0,0,0.06,0
1.76,0.42,0,0.05,0
1.92,0.0,0,0.05,0
2.08,0.0,0,0.02,0
2.24,0.0,0,0.02,0
2.4,0.0,0,0.02,0
2.56,0.0,0,0.02,0
2.72,0.42,0,0.03,0
2.88,0.58,0,0.04,0
3.04,2.19,0,0.16,0
3.2,3.52,0,0.34,0
3.36,4.99,0.61,0.59,0.1
3.52,6.1,0.91,0.89,0.14
3.68,6.72,1.25,1.23,0.2
3.84,6.98,1.6,1.57,0.27
4.0,8.18,2.0,1.98,0.37
4.16,8.26,2.42,2.38,0.48
4.32,8.6,2.85,2.81,0.62
4.48,8.94,3.29,3.25,0.78
4.64,9.27,3.76,3.69,0.96
4.8,9.83,4.25,4.17,1.17
4.96,9.65,4.71,4.63,1.39
5.12,10.26,5.22,5.12,1.65
5.28,10.52,5.75,5.62,1.93
5.44,10.8,6.29,6.15,2.23
5.6,10.8,6.83,6.67,2.57
5.76,11.21,7.39,7.2,2.93
5.92,11.21,7.93,7.73,3.31
6.08,11.11,8.46,8.23,3.72
6.24,11.52,8.92,8.7,4.15
6.4,11.74,9.33,9.1,4.59
6.56,11.74,9.67,9.44,5.03
6.72,11.85,9.96,9.75,5.47
6.88,11.79,10.21,10.03,5.91
7.04,11.79,10.45,10.3,6.35
7.2,12.57,10.67,10.53,6.78
7.36,12.12,10.87,10.74,7.19
7.52,13.03,11.09,10.98,7.6
7.68,12.95,11.29,11.2,8.0
7.84,12.95,11.47,11.39,8.38
8.0,12.95,11.63,11.56,8.75
8.16,12.61,11.78,11.72,9.11
8.32,13.35,11.93,11.88,9.45
8.48,12.95,12.05,12.01,9.77
8.64,13.4,12.18,12.15,10.07
8.8,13.77,12.33,12.3,10.35
8.96,13.81,12.46,12.44,10.61
9.12,13.37,12.57,12.55,10.85
9.28,13.35,12.68,12.67,11.07
9.44,13.35,12.68,12.67,11.07
9.6,13.77,12.79,12.84,11.28
9.76,13.78,12.89,12.95,11.47
9.92,13.76,13.0,13.04,11.65
10.08,14.62,13.13,13.18,11.82
10.24,13.78,13.23,13.29,11.99
10.4,14.18,13.35,13.37,12.14
10.56,14.18,13.43,13.47,12.29
10.72,14.2,13.54,13.53,12.43
10.88,14.2,13.6,13.59,12.56
11.04,13.77,13.64,13.63,12.68
11.2,13.81,13.68,13.68,12.79
11.36,14.2,13.74,13.76,12.9
11.52,13.77,13.8,13.78,13.01
11.68,14.62,13.86,13.86,13.1
11.84,14.59,13.95,13.92,13.2
12.16,14.18,13.99,7.33,12.96
12.32,14.6,14.03,14.69,13.08
12.48,15.43,14.11,14.79,13.2
12.64,14.59,14.17,14.86,13.31
12.8,15.02,14.25,14.96,13.43
12.96,15.43,14.34,15.04,13.54
13.12,14.6,14.38,15.08,13.64
13.28,17.93,14.58,15.29,13.76
13.44,16.68,14.69,15.39,13.87
13.6,16.26,14.81,15.52,13.98
13.76,16.26,14.92,15.62,14.09
13.92,15.43,14.98,15.68,14.2
14.08,15.85,15.06,15.76,14.31
14.24,15.85,15.14,15.85,14.42
14.4,15.85,15.25,15.95,14.54
14.56,15.43,15.33,16.03,14.66
14.72,15.85,15.41,16.12,14.78
14.88,16.27,15.54,16.24,14.9
15.04,15.85,15.6,16.3,15.02
15.2,15.85,15.66,16.37,15.14
15.36,15.85,15.74,15.74,15.56
15.52,15.85,15.81,15.8,15.62
15.68,16.27,15.85,15.85,15.67
15.84,15.85,15.91,15.91,15.73
16.0,16.27,15.97,15.97,15.78
16.16,15.85,16.0,15.99,15.82
16.32,16.26,16.08,16.07,15.87
16.48,16.26,15.99,15.99,15.91
16.64,15.85,15.95,15.95,15.94
16.8,15.85,15.93,15.93,15.96
16.96,15.85,15.91,15.91,15.97
17.12,16.27,15.95,15.95,15.98
17.28,16.68,16.0,15.99,16.0
17.44,15.43,15.97,15.97,16.0
17.6,15.85,15.97,15.97,16.0
17.76,16.26,16.02,16.01,16.0
17.92,15.85,16.02,16.01,16.0
18.08,16.68,16.04,16.03,15.99
18.24,16.27,16.06,16.05,15.97
18.4,15.43,16.04,16.03,15.96
18.56,16.27,16.06,16.05,15.97
18.72,16.26,16.08,16.07,15.99
18.88,16.27,16.08,16.07,16.0
19.04,15.85,16.08,16.07,16.0
19.2,16.27,16.08,16.07,16.01
19.36,15.85,16.08,16.07,16.01
19.52,16.26,16.08,16.07,16.01
19.68,16.68,16.1,16.1,16.02
19.84,16.26,16.12,16.12,16.03
20.0,16.26,16.14,16.14,16.04
20.16,16.27,16.16,16.16,16.05
20.32,16.68,16.18,16.18,16.06
20.48,15.85,16.14,16.14,16.07
20.64,16.68,16.2,16.2,16.08
20.8,16.27,16.22,16.22,16.09
20.96,16.27,16.22,16.22,16.1
21.12,16.68,16.27,16.26,16.12
21.28,16.26,16.24,16.24,16.13
21.44,16.27,16.24,16.24,16.14
21.6,16.68,16.31,16.3,16.15
21.76,16.68,16.33,16.33,16.16
21.92,16.26,16.33,16.33,16.18
22.08,16.68,16.35,16.35,16.19
22.24,17.1,16.41,16.41,16.21
22.4,15.87,16.39,16.39,16.22
22.56,16.68,16.43,16.43,16.24
22.72,16.27,16.43,16.43,16.26
22.88,16.27,16.41,16.41,16.28
23.04,16.26,16.41,16.41,16.29
23.2,16.68,16.43,16.43,16.3
23.36,16.68,16.45,16.45,16.32
23.52,16.27,16.43,16.43,16.33
23.68,16.68,16.47,16.47,16.35
23.84,16.27,16.45,16.45,16.36
24.0,16.27,16.45,16.45,16.37
24.16,16.27,16.45,16.45,16.38
24.32,16.68,16.45,16.45,16.39
24.48,15.85,16.43,16.43,16.4
24.64,16.26,16.43,16.43,16.41
24.8,16.27,16.41,16.41,16.42
24.96,16.26,16.39,16.39,16.42
25.12,16.68,16.41,16.41,16.42
25.28,16.26,16.39,16.39,16.43
25.44,15.85,16.33,16.33,16.42
25.6,16.68,16.37,16.37,16.42
25.76,16.26,16.35,16.35,16.42
25.92,16.26,16.35,16.35,16.41
26.08,16.27,16.35,16.35,16.41
26.24,16.26,16.35,16.35,16.41
26.4,16.26,16.33,16.32,16.4
26.56,16.68,16.33,16.32,16.4
26.72,16.68,16.35,16.35,16.39
26.88,16.27,16.33,16.32,16.38
27.04,16.26,16.33,16.32,16.38
27.2,16.26,16.33,16.32,16.37
27.36,16.68,16.35,16.35,16.37
27.52,16.26,16.33,16.32,16.36
27.68,16.27,16.35,16.35,16.36
27.84,16.28,16.35,16.35,16.35
28.16,16.06,16.34,8.57,15.96
28.32,16.26,16.34,17.14,16.0
28.48,16.27,16.32,17.12,16.03
28.64,16.26,16.32,17.12,16.07
28.8,16.68,16.36,17.16,16.11
28.96,16.26,16.34,17.14,16.15
29.12,16.7,16.36,17.16,16.19
29.28,16.26,16.36,17.16,16.23
29.44,16.27,16.36,17.16,16.27
29.6,16.26,16.36,17.16,16.31
29.76,16.68,16.38,17.18,16.35
29.92,17.1,16.4,17.2,16.4
30.08,16.27,16.38,17.18,16.44
30.24,16.68,16.4,17.2,16.48
30.4,16.68,16.42,17.22,16.53
30.56,16.27,16.42,17.22,16.57
30.72,17.12,16.44,17.24,16.62
30.88,16.26,16.44,17.24,16.66
31.04,16.26,16.44,17.24,16.71
31.2,16.7,16.46,17.26,16.75
31.36,17.1,16.52,16.51,17.15
31.52,17.1,16.56,16.55,17.12
31.68,16.26,16.56,16.55,17.09
31.84,16.68,16.58,16.58,17.07
32.0,16.68,16.58,16.58,17.04
32.16,16.68,16.6,16.6,17.01
32.32,16.68,16.6,16.6,16.98
32.48,16.68,16.62,16.62,16.95
32.64,16.68,16.64,16.64,16.93
32.8,16.7,16.66,16.66,16.9
32.96,17.1,16.68,16.68,16.88
33.12,16.68,16.66,16.66,16.85
33.28,16.68,16.68,16.68,16.83
33.44,16.28,16.66,16.66,16.8
33.6,16.28,16.64,16.64,16.77
33.76,16.68,16.66,16.66,16.74
33.92,16.7,16.64,16.64,16.71
34.08,16.27,16.64,16.64,16.68
34.24,16.27,16.64,16.64,16.65
34.4,17.12,16.66,16.66,16.62
34.56,16.68,16.64,16.64,16.63
34.72,16.26,16.6,16.6,16.63
34.88,16.27,16.6,16.6,16.63
35.04,17.1,16.62,16.62,16.64
35.2,16.68,16.62,16.62,16.64
35.36,16.68,16.62,16.62,16.64
35.52,16.68,16.62,16.62,16.64
35.68,16.27,16.6,16.6,16.64
35.84,16.68,16.6,16.6,16.64
36.0,17.1,16.62,16.62,16.64
36.16,17.1,16.62,16.62,16.63
36.32,16.26,16.6,16.6,16.63
36.48,16.68,16.6,16.6,16.63
36.64,16.68,16.62,16.62,16.62
36.8,17.1,16.66,16.66,16.62
36.96,16.68,16.66,16.66,16.62
